pair,sigma,score,n_boot,median_D_vs_A,p25_D_vs_A,p75_D_vs_A,median_D_vs_B,p25_D_vs_B,p75_D_vs_B,median_min_DA_DB
EGFR_HER2,0.3,vina_mean_true_scores,500,0.7206,0.6996,0.7401,0.3233,0.2953,0.3531,0.3233
EGFR_HER2,0.3,oracle_min_pchembl,500,0.9722,0.9624,0.9803,0.9564,0.943,0.9701,0.9564
EGFR_HER2,0.5,vina_mean_true_scores,500,0.7218,0.6952,0.7463,0.3451,0.3107,0.378,0.3451
EGFR_HER2,0.5,oracle_min_pchembl,500,0.9415,0.9286,0.9546,0.9055,0.8837,0.9273,0.9053
EGFR_HER2,0.7,vina_mean_true_scores,500,0.719,0.6861,0.7481,0.3576,0.3172,0.3977,0.3576
EGFR_HER2,0.7,oracle_min_pchembl,500,0.914,0.8977,0.9322,0.8634,0.8392,0.8874,0.8634
PIK3CA_mTOR,0.3,vina_mean_true_scores,500,0.6711,0.6374,0.7041,0.6009,0.57,0.6419,0.6
PIK3CA_mTOR,0.3,oracle_min_pchembl,500,0.9825,0.972,0.9898,0.9734,0.9567,0.985,0.9714
PIK3CA_mTOR,0.5,vina_mean_true_scores,500,0.6519,0.6117,0.6875,0.5909,0.5415,0.6319,0.5838
PIK3CA_mTOR,0.5,oracle_min_pchembl,500,0.9568,0.9365,0.9735,0.9335,0.9034,0.9591,0.9308
PIK3CA_mTOR,0.7,vina_mean_true_scores,500,0.6394,0.6,0.6821,0.576,0.5277,0.6296,0.5714
PIK3CA_mTOR,0.7,oracle_min_pchembl,500,0.9284,0.9025,0.9514,0.8975,0.8621,0.9306,0.8938
