arm,n_dual,n_A_only,n_B_only,auroc_D_vs_A,auroc_D_vs_B,auroc_pooled,top10_A_only,top10_B_only,top10_dual,summary_min,summary_mean,pair,cutoff
vina_mean,69,22,10,0.7885,0.3609,0.6549,2,0,8,0.3609,0.5747,EGFR_HER2,5.5
rtm_min_z,69,22,10,0.6509,0.4319,0.5824,1,0,9,0.4319,0.5414,EGFR_HER2,5.5
heavy_atoms,69,22,10,0.8113,0.3681,0.6728,1,1,8,0.3681,0.5897,EGFR_HER2,5.5
vina_mean,28,38,32,0.6889,0.3114,0.5163,5,4,1,0.3114,0.5001,EGFR_HER2,6.0
rtm_min_z,28,38,32,0.5874,0.317,0.4638,5,2,3,0.317,0.4522,EGFR_HER2,6.0
heavy_atoms,28,38,32,0.6997,0.3694,0.5487,2,5,3,0.3694,0.5346,EGFR_HER2,6.0
vina_mean,26,29,29,0.7533,0.3249,0.5391,3,6,1,0.3249,0.5391,EGFR_HER2,6.5
rtm_min_z,26,29,29,0.5809,0.2759,0.4284,4,3,3,0.2759,0.4284,EGFR_HER2,6.5
heavy_atoms,26,29,29,0.7149,0.3985,0.5567,2,4,4,0.3985,0.5567,EGFR_HER2,6.5
vina_mean,33,9,5,0.4949,0.5636,0.5195,2,1,7,0.4949,0.5293,PIK3CA_mTOR,5.5
rtm_min_z,33,9,5,0.4882,0.6667,0.5519,1,0,9,0.4882,0.5774,PIK3CA_mTOR,5.5
heavy_atoms,33,9,5,0.5673,0.4939,0.5411,2,0,8,0.4939,0.5306,PIK3CA_mTOR,5.5
vina_mean,18,14,12,0.6984,0.5972,0.6517,1,3,6,0.5972,0.6478,PIK3CA_mTOR,6.0
rtm_min_z,18,14,12,0.6111,0.7917,0.6944,4,0,6,0.6111,0.7014,PIK3CA_mTOR,6.0
heavy_atoms,18,14,12,0.4643,0.463,0.4637,4,2,4,0.463,0.4636,PIK3CA_mTOR,6.0
vina_mean,17,15,12,0.6745,0.5931,0.6383,1,3,6,0.5931,0.6338,PIK3CA_mTOR,6.5
rtm_min_z,17,15,12,0.5765,0.7794,0.6667,5,0,5,0.5765,0.6779,PIK3CA_mTOR,6.5
heavy_atoms,17,15,12,0.4725,0.4681,0.4706,4,2,4,0.4681,0.4703,PIK3CA_mTOR,6.5
