pair,arm,family,auroc_D_vs_A,auroc_D_vs_B,summary_min,summary_mean,best_volume_arm,best_volume_summary_min,fail_baseline,beats_best_volume
EGFR_HER2,vina_mean,docking,0.6889,0.3114,0.3114,0.5001,cLogP,0.4821,True,False
EGFR_HER2,vina_min,docking,0.6711,0.2712,0.2712,0.4711,cLogP,0.4821,True,False
EGFR_HER2,rtm_mean,docking,0.5686,0.3203,0.3203,0.4445,cLogP,0.4821,True,False
EGFR_HER2,rtm_min,docking,0.5912,0.3237,0.3237,0.4574,cLogP,0.4821,True,False
EGFR_HER2,rtm_min_z,docking,0.5874,0.317,0.317,0.4522,cLogP,0.4821,True,False
EGFR_HER2,heavy_atoms,baseline,0.6997,0.3694,0.3694,0.5346,cLogP,0.4821,,
EGFR_HER2,MW,baseline,0.6476,0.4163,0.4163,0.5319,cLogP,0.4821,,
EGFR_HER2,cLogP,baseline,0.5263,0.4821,0.4821,0.5042,cLogP,0.4821,,
EGFR_HER2,TPSA,baseline,0.703,0.4275,0.4275,0.5652,cLogP,0.4821,,
EGFR_HER2,morgan_dual_medsim,baseline,0.555,0.5848,0.555,0.5699,cLogP,0.4821,,
PIK3CA_mTOR,vina_mean,docking,0.6984,0.5972,0.5972,0.6478,heavy_atoms,0.463,False,True
PIK3CA_mTOR,vina_min,docking,0.6825,0.588,0.588,0.6353,heavy_atoms,0.463,False,True
PIK3CA_mTOR,rtm_mean,docking,0.619,0.7639,0.619,0.6915,heavy_atoms,0.463,False,True
PIK3CA_mTOR,rtm_min,docking,0.623,0.7546,0.623,0.6888,heavy_atoms,0.463,False,True
PIK3CA_mTOR,rtm_min_z,docking,0.6111,0.7917,0.6111,0.7014,heavy_atoms,0.463,False,True
PIK3CA_mTOR,heavy_atoms,baseline,0.4643,0.463,0.463,0.4636,heavy_atoms,0.463,,
PIK3CA_mTOR,MW,baseline,0.4484,0.4722,0.4484,0.4603,heavy_atoms,0.463,,
PIK3CA_mTOR,cLogP,baseline,0.5198,0.3102,0.3102,0.415,heavy_atoms,0.463,,
PIK3CA_mTOR,TPSA,baseline,0.2599,0.4514,0.2599,0.3557,heavy_atoms,0.463,,
PIK3CA_mTOR,morgan_dual_medsim,baseline,0.6389,0.6944,0.6389,0.6667,heavy_atoms,0.463,,
