ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH40_01,dual,rdkit_meeko,9.822,9.733,103.23457346817536,96.01482106466442,96.01482106466442,110.4543258716863,38.0,547.9650000000001,5.916600000000003,101.30000000000001,3.0520311355152496,2.343415733423094,2.343415733423094
EH40_02,dual,rdkit_meeko,10.663,10.616,88.15325367169422,75.86502366938002,75.86502366938002,100.4414836740084,40.0,581.0690000000002,6.139100000000005,106.35000000000001,1.8386719674490255,1.8972414093506347,1.8386719674490255
EH40_03,dual,rdkit_meeko,9.2545,8.426,29.439186008322153,24.23259732498766,34.64577469165665,24.23259732498766,38.0,526.6580000000004,5.211020000000004,106.33000000000001,-0.6434251309381565,-1.4986423650860372,-1.4986423650860372
EH40_04,dual,rdkit_meeko,11.5165,11.208,49.00990557858027,44.51945295911753,44.51945295911753,53.50035819804301,44.0,607.6460000000003,6.920700000000005,104.52,-0.048862425748693074,-0.19446487313692043,-0.19446487313692043
EH40_05,dual,rdkit_meeko,9.824,9.411,57.300247719164545,33.71417797191255,33.71417797191255,80.88631746641654,35.0,469.54500000000024,4.953340000000003,98.26,-0.6995230359774627,1.0258591491947389,-0.6995230359774627
EH40_06,dual,rdkit_meeko,10.013,9.942,70.20280027606961,42.36587190179503,42.36587190179503,98.0397286503442,42.0,590.0590000000002,6.459300000000005,127.08000000000001,-0.17854448998064087,1.7902187075927338,-0.17854448998064087
EH40_07,dual,rdkit_meeko,9.479500000000002,9.329,61.91829393683315,60.57348968849108,63.26309818517522,60.57348968849108,29.0,390.42200000000014,3.924800000000002,90.35,1.0798225596070525,0.1207153323953484,0.1207153323953484
EH40_08,dual,rdkit_meeko,9.642499999999998,9.245,54.776122504047,47.89045520653652,47.89045520653652,61.66178980155748,39.0,519.6130000000002,4.449900000000003,106.96000000000001,0.15412901889158448,0.1692102110470856,0.15412901889158448
EH40_09,dual,rdkit_meeko,10.430499999999999,10.004,46.239515759535365,42.33542548171974,50.143606037350985,42.33542548171974,43.0,598.103,6.308080000000005,108.74000000000001,0.2898068703346248,-0.6919765895579878,-0.6919765895579878
EH40_10,dual,rdkit_meeko,8.644,8.457,53.818921137941466,34.63939095747695,34.63939095747695,72.99845131840598,30.0,432.88300000000015,5.000600000000004,96.37,-0.6438095398848811,0.6743741984203395,-0.6438095398848811
EH40_11,dual,rdkit_meeko,10.434000000000001,10.424,47.60722703130148,33.56574445458018,33.56574445458018,61.64870960802277,34.0,451.53000000000014,5.733500000000005,81.07000000000001,-0.708461248385777,0.16862735491154793,-0.708461248385777
EH40_12,dual,rdkit_meeko,10.1495,9.735,62.14101049890385,59.93764699980856,64.34437399799914,59.93764699980856,35.0,467.53300000000024,4.021900000000002,98.06000000000002,1.1449336818164106,0.09238205037227482,0.09238205037227482
EH40_13,dual,rdkit_meeko,9.8295,9.54,41.82083400577024,37.7295487498466,37.7295487498466,45.912119261693874,36.0,519.9550000000002,5.790400000000004,79.38000000000001,-0.45772968932417624,-0.5325983732445196,-0.5325983732445196
