pair,channel,role,ligand_panel_source,activity_source,activity_source_kind,label_rule,ligand_smiles_source,ligand_prep_method,ligand_prep_version,ligand_prep_seed,ligand_prep_evidence,receptor_pdb,receptor_chain_or_construct,receptor_input_file,receptor_prep_method,receptor_prep_evidence,cognate_ligand,box_file,box_definition,vina_version,dock_seed,exhaustiveness,num_modes,energy_range,score_definition,score_source_file,sample_membership_rule,analysis_script,canonical_output,figure_table_destination,provenance_status,notes
EGFR/HER2,production_vina,current_primary,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass; EH120_059 unresolved_missing_arm excluded; EH40_31 timeout_skipped,panel_v0_120.csv smiles,rdkit_etkdgv3_mmff_meeko,meeko 0.7.1,20260727,data/egfr_her2_uniform_rdkit_v1/scripts/prep_uniform_ligands.py + ligands_pdbqt 110/110 + ligand_prep_status.csv,3POZ+3RCD,A / A,"data/egfr_her2_uniform_rdkit_v1/receptors/{3POZ,3RCD}_receptor.pdbqt",not_recoverable,frozen pdbqt blobs restored from c213c485; no PPW/pH/loop record,03P / 03P,"data/egfr_her2_panel120_v0/boxes/{3POZ,3RCD}_box_corrected.json",cognate_heavy_atom_AABB+5A_min20,1.2.7,20260727,8,9,3,score_S=-vina_mode1; timeout_skipped at 600s,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,activity_eligible AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,CASE 2 uniform RDKit/Meeko is the only current EGFR production truth
EGFR/HER2,five_seed_vina,current_robustness,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass,panel_v0_120.csv smiles,rdkit_etkdgv3_mmff_meeko,,,same uniform ligands as production,3POZ+3RCD,A / A,"data/egfr_her2_uniform_rdkit_v1/receptors/{3POZ,3RCD}_receptor.pdbqt",not_recoverable,frozen pdbqt blobs,03P / 03P,"data/egfr_her2_panel120_v0/boxes/{3POZ,3RCD}_box_corrected.json",cognate_heavy_atom_AABB+5A_min20,1.2.7,"20260727,20260811-14",8,9,3,score_S=-vina_mode1; timeout_skipped at 600s,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,per-seed complete-case on current eligible panel,scripts/analysis/compute_canonical_results.py:compute_five_seed,results/canonical/five_seed_summary_min.csv,Fig 5C; Table S7,confirmed,uniform five-seed is current; historical corrected-box table is not current truth
EGFR/HER2,gnina_independent,current_robustness,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass,,rdkit_etkdgv3_mmff_meeko,,,same uniform ligands as production Vina,3POZ+3RCD,,,,,03P / 03P,"data/egfr_her2_panel120_v0/boxes/{3POZ,3RCD}_box_corrected.json",,GNINA 1.3.2 independent search (not Vina rescore),20260727,8,9,,score_S=-gnina_mode1; timeout_skipped at 600s,data/egfr_her2_uniform_rdkit_v1/tables/gnina_dock_scores_EGFR_HER2.csv,activity_eligible complete-case intersect GNINA both pockets,scripts/analysis/compute_canonical_results.py,results/canonical/computational_robustness.csv,Fig 5A; Table S7,confirmed,independent pose generation on uniform ligands; EH120_109 fail (invalid PDBQT atom type CG0); timeouts skipped
EGFR/HER2,historical_deposited_ablation,historical_not_current,data/egfr_her2_panel120_v0/tables/panel_v0_120.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass,panel_v0_120.csv smiles,not_recoverable,,,deleted production PDBQT; not used after CASE 2 promotion,3POZ+3RCD,,,,,,,,,,,,,,data/egfr_her2_panel120_v0/tables/ablation_ligand_scores.csv,,,not current,none,not_recoverable,historical deposited scores; not Table 2 after uniform promotion
PIK3CA/mTOR,production_vina,current_primary,data/pik3ca_mtor_panel48_rdkit_v0/tables/panel_v0_48.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass,panel_v0_48.csv smiles,rdkit_etkdg_meeko,protocol.yaml ligand_prep field,20260727,protocol.yaml + primary score table; ligand PDBQT not in current tree; local LigPrep job is predecessor only,4L23+4JT6,A / A,"data/pik3ca_mtor_panel48_rdkit_v0/receptors/{4L23,4JT6}_receptor.pdbqt",not_recoverable,deposited pdbqt only,X6K / X6K,"data/pik3ca_mtor_panel48_rdkit_v0/boxes/{4L23,4JT6}_box.json",deposited box json,1.2.7,20260727,16,9,,score_S=-vina_mode1,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,activity_eligible AND complete_case AND analysis_set=main,scripts/analysis/build_current_score_master.py; compute_canonical_results.py,results/canonical/primary_summary_min.csv,Table 2; Fig 2,confirmed,scores+receptors+boxes+panel exist; ligand 3D inputs not deposited; LigPrep is not current primary
PIK3CA/mTOR,five_seed_vina,current_robustness,data/pik3ca_mtor_panel48_rdkit_v0/tables/panel_v0_48.csv,data/processed/activity_adjudication/ligand_activity_aggregate_v1.csv,chembl_assay_adjudicated,theta_6.0_fourclass,,rdkit_etkdg_meeko,,,same panel as production,4L23+4JT6,,"data/pik3ca_mtor_panel48_rdkit_v0/receptors/{4L23,4JT6}_receptor.pdbqt",,,X6K / X6K,"data/pik3ca_mtor_panel48_rdkit_v0/boxes/{4L23,4JT6}_box.json",,1.2.7,"20260727,20260811-14",16,9,,score_S=-vina_mode1,data/jcim_multiseed_v0/tables/multiseed_scores_long_v1.csv,per-seed complete-case on current eligible panel,scripts/analysis/compute_canonical_results.py:compute_five_seed,results/canonical/five_seed_summary_min.csv,Fig 5C; Table S7,confirmed,deposited long scores exist
PIK3CA/mTOR,gnina_independent,current_robustness,,,chembl_assay_adjudicated,,,rdkit_etkdg_meeko,,,,4L23+4JT6,,,,,,,,GNINA independent search,,,,,score_S=-gnina_mode1,data/jcim_independent_dock_v0/tables/gnina_dock_scores_PIK3CA_mTOR.csv,,scripts/analysis/compute_canonical_results.py,results/canonical/computational_robustness.csv,Fig 5A; Table S7,confirmed,"independent pose generation, not CNN rescore of Vina"
PIK3CA/mTOR,receptor_substitution,sensitivity,,,,,,,,,,4JPS / 5DXT / 4JSX,,,,,,,,,,,,,,data/jcim_structure_robust_v0/tables/scores_vina_mode1_PM48_alt*.csv,,scripts/analysis/compute_canonical_results.py,results/canonical/receptor_substitution.csv,Fig 5B; Table S7,confirmed,sensitivity only; primary remains 4L23/4JT6
PIK3CA/mTOR,protocol_E8_and_PM110,sensitivity,,,,,,,,,,,,,,,,,,,,,,,,data/pik3ca_mtor_panel48_rdkit_v0/tables/scores_vina_E8_best.csv; data/pik3ca_mtor_panel110_rdkit_v0/tables/ablation_ligand_scores.csv,,,results/canonical/protocol_sensitivity.csv,Fig S2; Table S7,confirmed,not current primary; E=16 PM48 remains primary
PIK3CA/mTOR,historical_ligprep_scores,historical/superseded,,,,,,LigPrep (predecessor campaign),,,local Maestro log/sh/inp; maegz not in git; prep_delta_vs_ligprep.csv is comparison table,,,,,,,,,,,,,,,data/pik3ca_mtor_panel48_rdkit_v0/tables/prep_delta_vs_ligprep.csv,,,,,superseded,must not be described as current primary
