channel,pair,label_rule,bootstrap,n_dual,n_A_only,n_B_only,n_neither,n_scored_both_ends,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,summary_min,ci_lo,ci_hi,n_boot_ok,D_vs_neither_mean,D_vs_neither_ci_lo,D_vs_neither_ci_hi,note
vina_20260727,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.4133,0.3448,0.3448,0.2109,0.4773,2000,0.5188,0.3495,0.6882,primary production Vina; canonical Table 2 row for this pair
vina_20260727,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.5751,0.3649,0.3649,0.2306,0.503,2000,0.7696,0.5967,0.9055,primary production Vina; canonical Table 2 row for this pair
vina_20260727,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5884,0.7275,0.5884,0.4444,0.7246,2000,0.7299,0.5468,0.875,primary production Vina; canonical Table 2 row for this pair
vina_20260727,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.6492,0.7061,0.6492,0.5045,0.7508,2000,0.6853,0.4933,0.8482,primary production Vina; canonical Table 2 row for this pair
vina_20260727,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6465,0.4463,0.4463,0.2958,0.5841,2000,0.5647,0.3683,0.7656,primary production Vina; canonical Table 2 row for this pair
vina_seed20260727,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,12,107,0.4133,0.3448,0.3448,0.2073,0.4736,2000,0.5188,0.3494,0.6962,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260727,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.5751,0.3649,0.3649,0.2372,0.5059,2000,0.7696,0.6013,0.9101,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260727,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5884,0.7275,0.5884,0.4401,0.7211,2000,0.7299,0.5603,0.8773,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260727,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,31,32,14,109,0.6492,0.7061,0.6492,0.5104,0.7466,2000,0.6853,0.4933,0.8616,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260727,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6465,0.4463,0.4463,0.3029,0.5914,2000,0.5647,0.3638,0.7522,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260811,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.4158,0.3851,0.3851,0.24,0.5008,2000,0.5346,0.3571,0.7029,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260811,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5957,0.3979,0.3979,0.2583,0.5373,2000,0.7723,0.6049,0.9018,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260811,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5918,0.75,0.5918,0.4436,0.7323,2000,0.7344,0.558,0.8817,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260811,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.7021,0.6489,0.6489,0.5016,0.7511,2000,0.7656,0.5781,0.9129,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260811,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.624,0.4536,0.4536,0.3124,0.5943,2000,0.5402,0.346,0.7344,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260812,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.4325,0.37,0.37,0.2313,0.5031,2000,0.553,0.3847,0.7189,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260812,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5859,0.3994,0.3994,0.2602,0.5308,2000,0.7746,0.6116,0.9174,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260812,JAK1/JAK2,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.5742,0.7407,0.5742,0.4277,0.7039,2000,0.7522,0.5804,0.8996,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260812,PPARG/PPARA,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.6631,0.6514,0.6514,0.4936,0.7315,2000,0.7042,0.5178,0.8795,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260812,PPARA/PPARD,theta_6.0,ligand_non_stratified_dualA_B_pool,32,32,32,14,110,0.625,0.4629,0.4629,0.3145,0.6,2000,0.5379,0.3459,0.7299,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260813,F2/F10,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.4405,0.3629,0.3629,0.2287,0.495,2000,0.5161,0.3525,0.6774,five-seed sensitivity; primary remains 20260727; do not average into Table 2
vina_seed20260813,JAK1/TYK2,theta_6.0,ligand_non_stratified_dualA_B_pool,31,32,32,14,109,0.5832,0.377,0.377,0.2381,0.5134,2000,0.7661,0.5967,0.9079,five-seed sensitivity; primary remains 20260727; do not average into Table 2
