pair,contrast,model,n,n_pos,n_neg,n_scaffolds,n_splits,cv_auroc,rank_auroc_docking,note
EGFR/HER2,D_vs_A,physchem,66,28,38,54,5,0.7115,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4,66,28,38,54,5,0.8327,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,docking,66,28,38,54,5,0.6015,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,docking+physchem,66,28,38,54,5,0.7058,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4+docking,66,28,38,54,5,0.8242,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4+physchem,66,28,38,54,5,0.8064,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_A,ECFP4+docking+physchem,66,28,38,54,5,0.8026,0.6607,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,physchem,60,28,32,51,5,0.5525,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4,60,28,32,51,5,0.8527,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,docking,60,28,32,51,5,0.6172,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,docking+physchem,60,28,32,51,5,0.5547,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4+docking,60,28,32,51,5,0.8449,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4+physchem,60,28,32,51,5,0.8069,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
EGFR/HER2,D_vs_B,ECFP4+docking+physchem,60,28,32,51,5,0.8058,0.3237,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,physchem,53,27,26,45,5,0.5684,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4,53,27,26,45,5,0.8974,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,docking,53,27,26,45,5,0.6254,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,docking+physchem,53,27,26,45,5,0.5954,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+docking,53,27,26,45,5,0.8903,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+physchem,53,27,26,45,5,0.8034,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_A,ECFP4+docking+physchem,53,27,26,45,5,0.802,0.6524,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,physchem,55,27,28,50,5,0.7328,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,ECFP4,55,27,28,50,5,0.8426,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,docking,55,27,28,50,5,0.5529,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,docking+physchem,55,27,28,50,5,0.7209,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,ECFP4+docking,55,27,28,50,5,0.832,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,ECFP4+physchem,55,27,28,50,5,0.8161,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
AChE/BChE,D_vs_B,ECFP4+docking+physchem,55,27,28,50,5,0.8069,0.6058,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,physchem,32,18,14,31,5,0.5397,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,ECFP4,32,18,14,31,5,0.7817,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,docking,32,18,14,31,5,0.6587,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,docking+physchem,32,18,14,31,5,0.627,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,ECFP4+docking,32,18,14,31,5,0.7738,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,ECFP4+physchem,32,18,14,31,5,0.6587,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_A,ECFP4+docking+physchem,32,18,14,31,5,0.6627,0.7143,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,physchem,30,18,12,28,5,0.3796,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,ECFP4,30,18,12,28,5,0.8889,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,docking,30,18,12,28,5,0.6296,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,docking+physchem,30,18,12,28,5,0.5,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,ECFP4+docking,30,18,12,28,5,0.8889,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,ECFP4+physchem,30,18,12,28,5,0.8565,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
PIK3CA/mTOR,D_vs_B,ECFP4+docking+physchem,30,18,12,28,5,0.8611,0.6921,scaffold GroupKFold logistic; docking rank AUROC is not the logistic AUROC
