metric,old,new,absolute_delta,CI_old,CI_new,qualitative_interpretation_old,qualitative_interpretation_new,interpretation_changed,n_dual,n_A,n_B,n_neither,n_complete,summary_min_boot_valid
AUROC_D_vs_A_pocketB,0.6663533834586466,0.6607142857142858,-0.005639097744360777,"0.5237584218584672,0.793095238095238","0.5234962406015038,0.7922932330827068",above_0.5; CI_excludes_0.5_above,above_0.5; CI_excludes_0.5_above,no,28,38,32,12,110,2000
AUROC_D_vs_B_pocketA,0.4296875,0.3236607142857143,-0.1060267857142857,"0.2817924317062248,0.579011972770499","0.1875,0.4642857142857143",below_0.5; CI_includes_0.5,below_0.5; CI_excludes_0.5_below,yes,28,38,32,12,110,2000
AUROC_D_vs_neither_pocketA,0.8080357142857143,0.7857142857142857,-0.022321428571428603,,"0.5922619047619048,0.9315476190476191",above_0.5,above_0.5; CI_excludes_0.5_above,no,28,38,32,12,110,2000
summary_min,0.4296875,0.3236607142857143,-0.1060267857142857,"0.2817924317062248,0.5775046404364821","0.1953125,0.47098214285714285",below_0.5; CI_includes_0.5,below_0.5; CI_excludes_0.5_below,yes,28,38,32,12,110,2000
fixed_score_delta_pocketA,0.3783482142857143,0.4620535714285714,0.0837053571428571,"0.20161830357142851,0.5524553571428571","0.26152343750000007,0.6507347470238092",positive; CI_excludes_0,positive; CI_excludes_0,no,28,38,32,12,110,2000
AUROC_mean_D_vs_neither,0.7559523809523809,0.7589285714285714,0.0029761904761904656,"0.5625,0.9197","0.5565476190476191,0.9226190476190476",above_0.5; CI_excludes_0.5_above,above_0.5; CI_excludes_0.5_above,no,28,38,32,12,110,2000
AUROC_mean_D_vs_AplusB,0.5163265306122449,0.49642857142857144,-0.01989795918367343,,,above_0.5,below_0.5,yes,28,38,32,12,110,2000
delta_summary_min_matched_minus_mismatched,0.16964285714285715,0.05580357142857145,-0.1138392857142857,"0.059145422149122794,0.2877330714894653","-0.043526785714285754,0.15962611607142843",positive; CI_excludes_0,positive; CI_includes_0,yes,28,38,32,12,110,2000
EF_dual_10,0.3571428571428572,0.3571428571428572,0.0,,,below_1,below_1,no,28,38,32,12,110,2000
Top10_D_A_B_N,1/5/5/0,1/5/5/0,,,,top10_majority_single_target,top10_majority_single_target,no,28,38,32,12,110,2000
