pair,metric,pre_fix,post_fix,delta,pre_CI,post_CI,interpretation_changed
EGFR/HER2,AUROC_D_vs_A_pocketB,0.6663533834586466,0.6607142857142858,-0.005639097744360777,"0.5237584218584672,0.793095238095238","0.5234962406015038,0.7922932330827068",no
EGFR/HER2,AUROC_D_vs_B_pocketA,0.4296875,0.3236607142857143,-0.1060267857142857,"0.2817924317062248,0.579011972770499","0.1875,0.4642857142857143",yes
EGFR/HER2,AUROC_D_vs_neither_pocketA,0.8080357142857143,0.7857142857142857,-0.022321428571428603,,"0.5922619047619048,0.9315476190476191",no
EGFR/HER2,summary_min,0.4296875,0.3236607142857143,-0.1060267857142857,"0.2817924317062248,0.5775046404364821","0.1953125,0.47098214285714285",yes
EGFR/HER2,fixed_score_delta_pocketA,0.3783482142857143,0.4620535714285714,0.0837053571428571,"0.20161830357142851,0.5524553571428571","0.26152343750000007,0.6507347470238092",no
EGFR/HER2,AUROC_mean_D_vs_neither,0.7559523809523809,0.7589285714285714,0.0029761904761904656,"0.5625,0.9197","0.5565476190476191,0.9226190476190476",no
EGFR/HER2,AUROC_mean_D_vs_AplusB,0.5163265306122449,0.49642857142857144,-0.01989795918367343,,,yes
EGFR/HER2,delta_summary_min_matched_minus_mismatched,0.16964285714285715,0.05580357142857145,-0.1138392857142857,"0.059145422149122794,0.2877330714894653","-0.043526785714285754,0.15962611607142843",yes
EGFR/HER2,EF_dual_10,0.3571428571428572,0.3571428571428572,0.0,,,no
EGFR/HER2,Top10_D_A_B_N,1/5/5/0,1/5/5/0,,,,no
AChE/BChE,AUROC_D_vs_A_pocketB,0.6503703703703704,0.6524216524216524,0.002051282051282022,,"0.4871082621082621,0.8077279202279201",no
AChE/BChE,AUROC_D_vs_B_pocketA,0.6058201058201058,0.6058201058201058,0.0,,"0.4536375661375662,0.7513227513227514",no
AChE/BChE,summary_min,0.6058201058201058,0.6058201058201058,0.0,,"0.4536375661375662,0.8077279202279201",no
AChE/BChE,fixed_score_delta_pocketA,-0.015696649029982357,-0.015696649029982357,0.0,,"-0.14736772486772487,0.12204805996472667",no
AChE/BChE,AUROC_mean_D_vs_neither,0.6493827160493827,0.6493827160493827,0.0,,,no
AChE/BChE,AUROC_mean_D_vs_AplusB,0.5593990216631726,0.5558984910836763,-0.003500530579496286,,,no
AChE/BChE,delta_summary_min_matched_minus_mismatched,0.16137566137566137,0.17704517704517708,0.015669515669515716,,"0.04924450549450551,0.2891788766788767",no
AChE/BChE,EF_dual_10,1.7592592592592593,1.7777777777777777,0.01851851851851838,,,no
AChE/BChE,Top10_D_A_B_N,5/3/1/1,5/3/1/1,,,,no
AChE/BChE,ECFP4_OOF_D_vs_A,0.8948148148148148,0.8974358974358975,0.0026210826210826266,,,no
AChE/BChE,incremental_D_vs_A,-0.001481481481481528,-0.007122507122507171,-0.005641025641025643,,,no
AChE/BChE,ECFP4_OOF_D_vs_B,0.8214285714285714,0.8425925925925926,0.021164021164021163,,,no
AChE/BChE,incremental_D_vs_B,-0.013227513227513255,-0.010582010582010581,0.002645502645502673,,,no
AChE/BChE holdout,AUROC_D_vs_A_pocketB,0.635,0.615,-0.020000000000000018,,,no
AChE/BChE holdout,AUROC_D_vs_B_pocketA,0.6174999999999999,0.6174999999999999,0.0,,,no
AChE/BChE holdout,summary_min,0.6174999999999999,0.615,-0.0024999999999999467,,,no
AChE/BChE holdout,matched_minus_mismatched,-0.025000000000000133,0.025000000000000022,0.050000000000000155,"-0.10999999999999993,0.07250000000000001","-0.09000000000000008,0.10749999999999993",yes
