pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
AChE/BChE,20260727,AB_002,dual,A,4EY7,primary_reused,-11.841,from_production_tables
AChE/BChE,20260727,AB_002,dual,B,4BDS,primary_reused,-10.501,from_production_tables
AChE/BChE,20260727,AB_003,dual,A,4EY7,primary_reused,-8.863,from_production_tables
AChE/BChE,20260727,AB_003,dual,B,4BDS,primary_reused,-7.984,from_production_tables
AChE/BChE,20260727,AB_004,dual,A,4EY7,primary_reused,-13.025,from_production_tables
AChE/BChE,20260727,AB_004,dual,B,4BDS,primary_reused,-11.1,from_production_tables
AChE/BChE,20260727,AB_005,dual,A,4EY7,primary_reused,-12.595,from_production_tables
AChE/BChE,20260727,AB_005,dual,B,4BDS,primary_reused,-10.593,from_production_tables
AChE/BChE,20260727,AB_006,dual,A,4EY7,primary_reused,-11.127,from_production_tables
AChE/BChE,20260727,AB_006,dual,B,4BDS,primary_reused,-10.122,from_production_tables
AChE/BChE,20260727,AB_007,dual,A,4EY7,primary_reused,-11.484,from_production_tables
AChE/BChE,20260727,AB_007,dual,B,4BDS,primary_reused,-9.76,from_production_tables
AChE/BChE,20260727,AB_008,dual,A,4EY7,primary_reused,-9.327,from_production_tables
AChE/BChE,20260727,AB_008,dual,B,4BDS,primary_reused,-8.118,from_production_tables
AChE/BChE,20260727,AB_009,dual,A,4EY7,primary_reused,-10.631,from_production_tables
AChE/BChE,20260727,AB_009,dual,B,4BDS,primary_reused,-8.845,from_production_tables
AChE/BChE,20260727,AB_010,dual,A,4EY7,primary_reused,-9.541,from_production_tables
AChE/BChE,20260727,AB_010,dual,B,4BDS,primary_reused,-9.224,from_production_tables
AChE/BChE,20260727,AB_011,dual,A,4EY7,primary_reused,-10.958,from_production_tables
AChE/BChE,20260727,AB_011,dual,B,4BDS,primary_reused,-10.85,from_production_tables
AChE/BChE,20260727,AB_012,dual,A,4EY7,primary_reused,-9.742,from_production_tables
AChE/BChE,20260727,AB_012,dual,B,4BDS,primary_reused,-8.209,from_production_tables
AChE/BChE,20260727,AB_013,dual,A,4EY7,primary_reused,-9.239,from_production_tables
AChE/BChE,20260727,AB_013,dual,B,4BDS,primary_reused,-9.171,from_production_tables
AChE/BChE,20260727,AB_014,dual,A,4EY7,primary_reused,-11.676,from_production_tables
AChE/BChE,20260727,AB_014,dual,B,4BDS,primary_reused,-10.316,from_production_tables
AChE/BChE,20260727,AB_015,dual,A,4EY7,primary_reused,-10.839,from_production_tables
AChE/BChE,20260727,AB_015,dual,B,4BDS,primary_reused,-11.108,from_production_tables
AChE/BChE,20260727,AB_016,dual,A,4EY7,primary_reused,-10.706,from_production_tables
AChE/BChE,20260727,AB_016,dual,B,4BDS,primary_reused,-9.764,from_production_tables
AChE/BChE,20260727,AB_017,dual,A,4EY7,primary_reused,-11.945,from_production_tables
AChE/BChE,20260727,AB_017,dual,B,4BDS,primary_reused,-11.139,from_production_tables
AChE/BChE,20260727,AB_018,dual,A,4EY7,primary_reused,-7.006,from_production_tables
AChE/BChE,20260727,AB_018,dual,B,4BDS,primary_reused,-7.105,from_production_tables
AChE/BChE,20260727,AB_019,dual,A,4EY7,primary_reused,-12.056,from_production_tables
AChE/BChE,20260727,AB_019,dual,B,4BDS,primary_reused,-10.448,from_production_tables
AChE/BChE,20260727,AB_020,dual,A,4EY7,primary_reused,-9.364,from_production_tables
AChE/BChE,20260727,AB_020,dual,B,4BDS,primary_reused,-7.433,from_production_tables
AChE/BChE,20260727,AB_021,dual,A,4EY7,primary_reused,-10.721,from_production_tables
AChE/BChE,20260727,AB_021,dual,B,4BDS,primary_reused,-9.653,from_production_tables
AChE/BChE,20260727,AB_022,dual,A,4EY7,primary_reused,-11.864,from_production_tables
AChE/BChE,20260727,AB_022,dual,B,4BDS,primary_reused,-10.181,from_production_tables
AChE/BChE,20260727,AB_023,dual,A,4EY7,primary_reused,-11.293,from_production_tables
AChE/BChE,20260727,AB_023,dual,B,4BDS,primary_reused,-10.06,from_production_tables
AChE/BChE,20260727,AB_024,dual,A,4EY7,primary_reused,-10.283,from_production_tables
AChE/BChE,20260727,AB_024,dual,B,4BDS,primary_reused,-8.926,from_production_tables
AChE/BChE,20260727,AB_025,dual,A,4EY7,primary_reused,-10.609,from_production_tables
AChE/BChE,20260727,AB_025,dual,B,4BDS,primary_reused,-8.952,from_production_tables
AChE/BChE,20260727,AB_026,dual,A,4EY7,primary_reused,-12.539,from_production_tables
AChE/BChE,20260727,AB_026,dual,B,4BDS,primary_reused,-10.459,from_production_tables
AChE/BChE,20260727,AB_027,dual,A,4EY7,primary_reused,-12.257,from_production_tables
AChE/BChE,20260727,AB_027,dual,B,4BDS,primary_reused,-10.5,from_production_tables
AChE/BChE,20260727,AB_028,dual,A,4EY7,primary_reused,-7.749,from_production_tables
AChE/BChE,20260727,AB_028,dual,B,4BDS,primary_reused,-11.346,from_production_tables
AChE/BChE,20260727,AB_029,A_only,A,4EY7,primary_reused,-12.498,from_production_tables
AChE/BChE,20260727,AB_029,A_only,B,4BDS,primary_reused,-9.843,from_production_tables
AChE/BChE,20260727,AB_030,A_only,A,4EY7,primary_reused,-13.815,from_production_tables
AChE/BChE,20260727,AB_030,A_only,B,4BDS,primary_reused,-9.57,from_production_tables
AChE/BChE,20260727,AB_031,A_only,A,4EY7,primary_reused,-11.574,from_production_tables
AChE/BChE,20260727,AB_031,A_only,B,4BDS,primary_reused,-9.353,from_production_tables
AChE/BChE,20260727,AB_032,A_only,A,4EY7,primary_reused,-10.807,from_production_tables
AChE/BChE,20260727,AB_032,A_only,B,4BDS,primary_reused,-8.264,from_production_tables
AChE/BChE,20260727,AB_033,A_only,A,4EY7,primary_reused,-11.821,from_production_tables
AChE/BChE,20260727,AB_033,A_only,B,4BDS,primary_reused,-9.536,from_production_tables
AChE/BChE,20260727,AB_034,A_only,A,4EY7,primary_reused,-10.878,from_production_tables
AChE/BChE,20260727,AB_034,A_only,B,4BDS,primary_reused,-9.64,from_production_tables
AChE/BChE,20260727,AB_035,A_only,A,4EY7,primary_reused,-11.291,from_production_tables
AChE/BChE,20260727,AB_035,A_only,B,4BDS,primary_reused,-10.082,from_production_tables
AChE/BChE,20260727,AB_036,A_only,A,4EY7,primary_reused,-10.483,from_production_tables
AChE/BChE,20260727,AB_036,A_only,B,4BDS,primary_reused,-9.479,from_production_tables
AChE/BChE,20260727,AB_037,A_only,A,4EY7,primary_reused,-12.441,from_production_tables
AChE/BChE,20260727,AB_037,A_only,B,4BDS,primary_reused,-10.081,from_production_tables
AChE/BChE,20260727,AB_038,A_only,A,4EY7,primary_reused,-11.232,from_production_tables
AChE/BChE,20260727,AB_038,A_only,B,4BDS,primary_reused,-9.505,from_production_tables
AChE/BChE,20260727,AB_039,A_only,A,4EY7,primary_reused,-10.369,from_production_tables
AChE/BChE,20260727,AB_039,A_only,B,4BDS,primary_reused,-7.811,from_production_tables
AChE/BChE,20260727,AB_040,A_only,A,4EY7,primary_reused,-10.009,from_production_tables
AChE/BChE,20260727,AB_040,A_only,B,4BDS,primary_reused,-8.669,from_production_tables
AChE/BChE,20260727,AB_041,A_only,A,4EY7,primary_reused,-9.936,from_production_tables
AChE/BChE,20260727,AB_041,A_only,B,4BDS,primary_reused,-9.213,from_production_tables
AChE/BChE,20260727,AB_042,A_only,A,4EY7,primary_reused,-11.504,from_production_tables
AChE/BChE,20260727,AB_042,A_only,B,4BDS,primary_reused,-8.371,from_production_tables
AChE/BChE,20260727,AB_043,A_only,A,4EY7,primary_reused,-11.888,from_production_tables
AChE/BChE,20260727,AB_043,A_only,B,4BDS,primary_reused,-9.691,from_production_tables
AChE/BChE,20260727,AB_044,A_only,A,4EY7,primary_reused,-11.23,from_production_tables
AChE/BChE,20260727,AB_044,A_only,B,4BDS,primary_reused,-9.71,from_production_tables
AChE/BChE,20260727,AB_045,A_only,A,4EY7,primary_reused,-11.381,from_production_tables
AChE/BChE,20260727,AB_045,A_only,B,4BDS,primary_reused,-10.174,from_production_tables
AChE/BChE,20260727,AB_046,A_only,A,4EY7,primary_reused,-10.009,from_production_tables
AChE/BChE,20260727,AB_046,A_only,B,4BDS,primary_reused,-8.669,from_production_tables
AChE/BChE,20260727,AB_047,A_only,A,4EY7,primary_reused,-12.196,from_production_tables
AChE/BChE,20260727,AB_047,A_only,B,4BDS,primary_reused,-9.917,from_production_tables
AChE/BChE,20260727,AB_048,A_only,A,4EY7,primary_reused,-12.774,from_production_tables
AChE/BChE,20260727,AB_048,A_only,B,4BDS,primary_reused,-9.869,from_production_tables
AChE/BChE,20260727,AB_049,A_only,A,4EY7,primary_reused,-11.248,from_production_tables
AChE/BChE,20260727,AB_049,A_only,B,4BDS,primary_reused,-10.522,from_production_tables
AChE/BChE,20260727,AB_050,A_only,A,4EY7,primary_reused,-9.954,from_production_tables
AChE/BChE,20260727,AB_050,A_only,B,4BDS,primary_reused,-8.68,from_production_tables
AChE/BChE,20260727,AB_051,A_only,A,4EY7,primary_reused,-10.822,from_production_tables
AChE/BChE,20260727,AB_051,A_only,B,4BDS,primary_reused,-9.494,from_production_tables
AChE/BChE,20260727,AB_052,A_only,A,4EY7,primary_reused,-8.428,from_production_tables
AChE/BChE,20260727,AB_052,A_only,B,4BDS,primary_reused,-7.544,from_production_tables
AChE/BChE,20260727,AB_055,A_only,A,4EY7,primary_reused,-8.796,from_production_tables
AChE/BChE,20260727,AB_055,A_only,B,4BDS,primary_reused,-8.059,from_production_tables
AChE/BChE,20260727,AB_057,B_only,A,4EY7,primary_reused,-11.874,from_production_tables
AChE/BChE,20260727,AB_057,B_only,B,4BDS,primary_reused,-11.713,from_production_tables
AChE/BChE,20260727,AB_058,B_only,A,4EY7,primary_reused,-11.041,from_production_tables
AChE/BChE,20260727,AB_058,B_only,B,4BDS,primary_reused,-10.394,from_production_tables
AChE/BChE,20260727,AB_059,B_only,A,4EY7,primary_reused,-7.329,from_production_tables
AChE/BChE,20260727,AB_059,B_only,B,4BDS,primary_reused,-6.578,from_production_tables
AChE/BChE,20260727,AB_060,B_only,A,4EY7,primary_reused,-10.865,from_production_tables
AChE/BChE,20260727,AB_060,B_only,B,4BDS,primary_reused,-9.942,from_production_tables
AChE/BChE,20260727,AB_061,B_only,A,4EY7,primary_reused,-11.078,from_production_tables
AChE/BChE,20260727,AB_061,B_only,B,4BDS,primary_reused,-9.487,from_production_tables
AChE/BChE,20260727,AB_062,B_only,A,4EY7,primary_reused,-11.035,from_production_tables
AChE/BChE,20260727,AB_062,B_only,B,4BDS,primary_reused,-10.579,from_production_tables
AChE/BChE,20260727,AB_063,B_only,A,4EY7,primary_reused,-9.254,from_production_tables
AChE/BChE,20260727,AB_063,B_only,B,4BDS,primary_reused,-12.319,from_production_tables
AChE/BChE,20260727,AB_064,B_only,A,4EY7,primary_reused,-9.749,from_production_tables
AChE/BChE,20260727,AB_064,B_only,B,4BDS,primary_reused,-8.07,from_production_tables
AChE/BChE,20260727,AB_065,B_only,A,4EY7,primary_reused,-11.135,from_production_tables
AChE/BChE,20260727,AB_065,B_only,B,4BDS,primary_reused,-9.995,from_production_tables
AChE/BChE,20260727,AB_066,B_only,A,4EY7,primary_reused,-9.434,from_production_tables
AChE/BChE,20260727,AB_066,B_only,B,4BDS,primary_reused,-11.168,from_production_tables
AChE/BChE,20260727,AB_067,B_only,A,4EY7,primary_reused,-7.805,from_production_tables
AChE/BChE,20260727,AB_067,B_only,B,4BDS,primary_reused,-6.896,from_production_tables
AChE/BChE,20260727,AB_068,B_only,A,4EY7,primary_reused,-12.07,from_production_tables
AChE/BChE,20260727,AB_068,B_only,B,4BDS,primary_reused,-10.066,from_production_tables
AChE/BChE,20260727,AB_069,B_only,A,4EY7,primary_reused,-9.707,from_production_tables
AChE/BChE,20260727,AB_069,B_only,B,4BDS,primary_reused,-8.703,from_production_tables
AChE/BChE,20260727,AB_070,B_only,A,4EY7,primary_reused,-10.477,from_production_tables
AChE/BChE,20260727,AB_070,B_only,B,4BDS,primary_reused,-9.567,from_production_tables
AChE/BChE,20260727,AB_071,B_only,A,4EY7,primary_reused,-10.845,from_production_tables
AChE/BChE,20260727,AB_071,B_only,B,4BDS,primary_reused,-10.179,from_production_tables
AChE/BChE,20260727,AB_072,B_only,A,4EY7,primary_reused,-11.431,from_production_tables
AChE/BChE,20260727,AB_072,B_only,B,4BDS,primary_reused,-10.877,from_production_tables
AChE/BChE,20260727,AB_073,B_only,A,4EY7,primary_reused,-9.536,from_production_tables
AChE/BChE,20260727,AB_073,B_only,B,4BDS,primary_reused,-10.291,from_production_tables
AChE/BChE,20260727,AB_074,B_only,A,4EY7,primary_reused,-8.259,from_production_tables
AChE/BChE,20260727,AB_074,B_only,B,4BDS,primary_reused,-6.904,from_production_tables
AChE/BChE,20260727,AB_075,B_only,A,4EY7,primary_reused,-10.154,from_production_tables
AChE/BChE,20260727,AB_075,B_only,B,4BDS,primary_reused,-8.704,from_production_tables
AChE/BChE,20260727,AB_076,B_only,A,4EY7,primary_reused,-10.373,from_production_tables
AChE/BChE,20260727,AB_076,B_only,B,4BDS,primary_reused,-9.351,from_production_tables
AChE/BChE,20260727,AB_077,B_only,A,4EY7,primary_reused,-8.4,from_production_tables
AChE/BChE,20260727,AB_077,B_only,B,4BDS,primary_reused,-7.807,from_production_tables
AChE/BChE,20260727,AB_078,B_only,A,4EY7,primary_reused,-7.662,from_production_tables
AChE/BChE,20260727,AB_078,B_only,B,4BDS,primary_reused,-6.744,from_production_tables
AChE/BChE,20260727,AB_079,B_only,A,4EY7,primary_reused,-11.475,from_production_tables
AChE/BChE,20260727,AB_079,B_only,B,4BDS,primary_reused,-10.598,from_production_tables
AChE/BChE,20260727,AB_080,B_only,A,4EY7,primary_reused,-10.759,from_production_tables
AChE/BChE,20260727,AB_080,B_only,B,4BDS,primary_reused,-8.793,from_production_tables
AChE/BChE,20260727,AB_081,B_only,A,4EY7,primary_reused,-11.336,from_production_tables
AChE/BChE,20260727,AB_081,B_only,B,4BDS,primary_reused,-10.148,from_production_tables
AChE/BChE,20260727,AB_082,B_only,A,4EY7,primary_reused,-7.888,from_production_tables
AChE/BChE,20260727,AB_082,B_only,B,4BDS,primary_reused,-7.659,from_production_tables
AChE/BChE,20260727,AB_083,B_only,A,4EY7,primary_reused,-10.999,from_production_tables
AChE/BChE,20260727,AB_083,B_only,B,4BDS,primary_reused,-9.674,from_production_tables
AChE/BChE,20260727,AB_084,B_only,A,4EY7,primary_reused,-11.785,from_production_tables
AChE/BChE,20260727,AB_084,B_only,B,4BDS,primary_reused,-10.678,from_production_tables
AChE/BChE,20260727,AB_085,neither,A,4EY7,primary_reused,-9.59,from_production_tables
AChE/BChE,20260727,AB_085,neither,B,4BDS,primary_reused,-7.561,from_production_tables
AChE/BChE,20260727,AB_086,neither,A,4EY7,primary_reused,-10.419,from_production_tables
AChE/BChE,20260727,AB_086,neither,B,4BDS,primary_reused,-9.758,from_production_tables
AChE/BChE,20260727,AB_087,neither,A,4EY7,primary_reused,-11.395,from_production_tables
AChE/BChE,20260727,AB_087,neither,B,4BDS,primary_reused,-9.668,from_production_tables
AChE/BChE,20260727,AB_088,neither,A,4EY7,primary_reused,-10.266,from_production_tables
AChE/BChE,20260727,AB_088,neither,B,4BDS,primary_reused,-8.479,from_production_tables
AChE/BChE,20260727,AB_089,neither,A,4EY7,primary_reused,-11.528,from_production_tables
AChE/BChE,20260727,AB_089,neither,B,4BDS,primary_reused,-8.907,from_production_tables
AChE/BChE,20260727,AB_090,neither,A,4EY7,primary_reused,-10.336,from_production_tables
AChE/BChE,20260727,AB_090,neither,B,4BDS,primary_reused,-8.445,from_production_tables
AChE/BChE,20260727,AB_091,neither,A,4EY7,primary_reused,-10.594,from_production_tables
AChE/BChE,20260727,AB_091,neither,B,4BDS,primary_reused,-8.735,from_production_tables
AChE/BChE,20260727,AB_092,neither,A,4EY7,primary_reused,-9.566,from_production_tables
AChE/BChE,20260727,AB_092,neither,B,4BDS,primary_reused,-7.713,from_production_tables
AChE/BChE,20260727,AB_093,neither,A,4EY7,primary_reused,-10.324,from_production_tables
AChE/BChE,20260727,AB_093,neither,B,4BDS,primary_reused,-10.2,from_production_tables
AChE/BChE,20260727,AB_094,neither,A,4EY7,primary_reused,-10.472,from_production_tables
AChE/BChE,20260727,AB_094,neither,B,4BDS,primary_reused,-8.896,from_production_tables
AChE/BChE,20260727,AB_095,neither,A,4EY7,primary_reused,-10.85,from_production_tables
AChE/BChE,20260727,AB_095,neither,B,4BDS,primary_reused,-9.456,from_production_tables
AChE/BChE,20260727,AB_096,neither,A,4EY7,primary_reused,-10.472,from_production_tables
AChE/BChE,20260727,AB_096,neither,B,4BDS,primary_reused,-8.055,from_production_tables
AChE/BChE,20260727,AB_097,neither,A,4EY7,primary_reused,-10.898,from_production_tables
AChE/BChE,20260727,AB_098,neither,A,4EY7,primary_reused,-11.784,from_production_tables
AChE/BChE,20260727,AB_098,neither,B,4BDS,primary_reused,-11.206,from_production_tables
AChE/BChE,20260727,AB_099,neither,A,4EY7,primary_reused,-10.939,from_production_tables
AChE/BChE,20260727,AB_099,neither,B,4BDS,primary_reused,-8.751,from_production_tables
AChE/BChE,20260727,AB_100,neither,A,4EY7,primary_reused,-9.776,from_production_tables
AChE/BChE,20260727,AB_100,neither,B,4BDS,primary_reused,-8.384,from_production_tables
AChE/BChE,20260811,AB_001,dual,A,4EY7,timeout_skipped,,>480
AChE/BChE,20260811,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260812,AB_001,dual,A,4EY7,timeout_skipped,,>480
AChE/BChE,20260812,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260813,AB_001,dual,A,4EY7,timeout_skipped,,>480
AChE/BChE,20260813,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260811,AB_002,dual,A,4EY7,ok,-12.107,elapsed_s=292.4
AChE/BChE,20260812,AB_002,dual,A,4EY7,ok,-11.391,elapsed_s=300.6
AChE/BChE,20260812,AB_002,dual,B,4BDS,ok,-10.383,elapsed_s=425.9
AChE/BChE,20260811,AB_002,dual,B,4BDS,ok,-10.755,elapsed_s=460.3
AChE/BChE,20260814,AB_001,dual,B,4BDS,timeout_skipped,,>480
AChE/BChE,20260814,AB_001,dual,A,4EY7,timeout_skipped,,>480
AChE/BChE,20260811,AB_003,dual,B,4BDS,ok,-8.004,elapsed_s=9.5
AChE/BChE,20260811,AB_003,dual,A,4EY7,ok,-8.572,elapsed_s=10.5
AChE/BChE,20260813,AB_002,dual,A,4EY7,ok,-12.019,elapsed_s=254.0
AChE/BChE,20260812,AB_003,dual,B,4BDS,ok,-8.008,elapsed_s=14.3
AChE/BChE,20260812,AB_003,dual,A,4EY7,ok,-8.881,elapsed_s=15.4
AChE/BChE,20260813,AB_003,dual,A,4EY7,ok,-8.849,elapsed_s=15.1
AChE/BChE,20260813,AB_003,dual,B,4BDS,ok,-8.01,elapsed_s=8.5
AChE/BChE,20260814,AB_003,dual,A,4EY7,ok,-8.561,elapsed_s=8.9
AChE/BChE,20260814,AB_003,dual,B,4BDS,ok,-8.004,elapsed_s=8.4
AChE/BChE,20260814,AB_002,dual,A,4EY7,ok,-12.018,elapsed_s=285.2
AChE/BChE,20260813,AB_002,dual,B,4BDS,ok,-9.848,elapsed_s=421.6
AChE/BChE,20260811,AB_004,dual,A,4EY7,ok,-13.017,elapsed_s=205.5
AChE/BChE,20260812,AB_004,dual,A,4EY7,ok,-12.974,elapsed_s=203.4
AChE/BChE,20260813,AB_004,dual,A,4EY7,ok,-12.936,elapsed_s=160.5
AChE/BChE,20260814,AB_002,dual,B,4BDS,ok,-9.846,elapsed_s=429.7
AChE/BChE,20260811,AB_004,dual,B,4BDS,ok,-11.631,elapsed_s=334.7
AChE/BChE,20260814,AB_004,dual,A,4EY7,ok,-12.963,elapsed_s=161.1
AChE/BChE,20260811,AB_005,dual,A,4EY7,ok,-12.353,elapsed_s=106.5
AChE/BChE,20260812,AB_005,dual,A,4EY7,ok,-12.4,elapsed_s=96.3
AChE/BChE,20260812,AB_004,dual,B,4BDS,ok,-11.622,elapsed_s=326.8
AChE/BChE,20260811,AB_005,dual,B,4BDS,ok,-10.562,elapsed_s=171.8
AChE/BChE,20260813,AB_004,dual,B,4BDS,ok,-11.705,elapsed_s=335.7
AChE/BChE,20260813,AB_005,dual,A,4EY7,ok,-12.544,elapsed_s=86.9
AChE/BChE,20260812,AB_005,dual,B,4BDS,ok,-10.503,elapsed_s=155.9
AChE/BChE,20260814,AB_005,dual,A,4EY7,ok,-12.5,elapsed_s=84.8
AChE/BChE,20260813,AB_005,dual,B,4BDS,ok,-10.523,elapsed_s=152.4
AChE/BChE,20260814,AB_004,dual,B,4BDS,ok,-11.508,elapsed_s=330.2
AChE/BChE,20260814,AB_005,dual,B,4BDS,ok,-10.482,elapsed_s=149.9
AChE/BChE,20260811,AB_006,dual,A,4EY7,ok,-11.399,elapsed_s=258.1
AChE/BChE,20260812,AB_006,dual,A,4EY7,ok,-10.927,elapsed_s=253.9
AChE/BChE,20260811,AB_006,dual,B,4BDS,ok,-9.998,elapsed_s=293.7
AChE/BChE,20260813,AB_006,dual,A,4EY7,ok,-11.044,elapsed_s=257.5
AChE/BChE,20260812,AB_006,dual,B,4BDS,ok,-10.025,elapsed_s=282.8
AChE/BChE,20260813,AB_006,dual,B,4BDS,ok,-10.046,elapsed_s=278.3
AChE/BChE,20260814,AB_006,dual,A,4EY7,ok,-10.263,elapsed_s=238.8
AChE/BChE,20260814,AB_006,dual,B,4BDS,ok,-10.259,elapsed_s=239.7
AChE/BChE,20260811,AB_007,dual,A,4EY7,ok,-11.445,elapsed_s=205.1
AChE/BChE,20260812,AB_007,dual,A,4EY7,ok,-11.777,elapsed_s=203.9
AChE/BChE,20260811,AB_007,dual,B,4BDS,ok,-9.559,elapsed_s=295.9
AChE/BChE,20260811,AB_008,dual,A,4EY7,ok,-9.351,elapsed_s=9.4
AChE/BChE,20260811,AB_008,dual,B,4BDS,ok,-8.12,elapsed_s=12.1
AChE/BChE,20260812,AB_008,dual,A,4EY7,ok,-9.345,elapsed_s=8.9
AChE/BChE,20260812,AB_008,dual,B,4BDS,ok,-8.107,elapsed_s=8.4
