ligand,rtm_3POZ,rtm_mode_3POZ,rtm_3RCD,rtm_mode_3RCD
EH120_041,36.14149109122137,5-364,30.59256576898497,1-360
EH120_042,32.769765833248776,9-377,38.40809090333984,4-372
EH120_043,23.779158192970687,3-380,31.22381688117361,1-378
EH120_044,34.15892206600949,2-388,45.0475169328617,1-387
EH120_045,72.08937128915231,4-399,87.44717577510657,1-396
EH120_046,39.12747336057021,7-411,31.699757361868144,3-407
EH120_047,41.36167459007621,2-415,39.00269297475027,8-421
EH120_048,30.671494073122464,6-428,65.01170358077202,7-429
EH120_049,33.71801114272194,4-435,48.35056829845705,1-432
EH120_050,34.321298801031425,8-448,57.41687082632064,6-446
EH120_051,35.62708101406864,9-458,41.10044930159718,3-452
EH120_052,35.5552935660434,7-465,52.12520846427027,5-463
EH120_053,58.446585027230086,8-475,42.19270360071417,2-469
EH120_054,35.74000797824347,7-483,46.90229597969173,4-480
EH120_055,28.47212593772378,8-493,58.07282393017126,1-486
EH120_056,62.03903507698359,8-501,62.49107657142581,4-498
EH120_057,54.01283713252776,9-511,65.27825175073374,5-508
EH120_058,38.660425799800855,6-517,39.8028424590032,9-521
EH120_059,32.37498883494072,2-522,66.64818597877452,5-526
EH120_060,34.54523594763231,3-532,34.78112937359833,5-535
EH120_061,88.52287988136045,1-539,94.30855811060928,1-540
EH120_062,58.024063267086326,4-551,94.62487913963982,1-549
EH120_063,47.480433999443065,5-561,37.81413663039872,9-566
EH120_064,38.22065798413632,3-568,64.64691385483155,3-569
EH120_065,24.33696148982212,9-583,50.85068052932489,1-576
EH120_066,30.352847310458912,3-586,28.565269200412047,5-589
EH120_067,38.66345134269811,4-596,35.572273979604915,7-600
EH120_068,81.24007016195176,4-605,107.08512352568204,1-603
EH120_069,32.482429115610095,3-613,49.653406197706566,2-613
EH120_070,39.96404152063072,7-626,34.41130754007637,2-622
EH120_071,73.37743668098209,4-632,68.3332639667949,1-630
EH120_072,91.41405573101854,1-638,95.93240936754124,1-639
EH120_073,65.43594151683529,7-653,83.48396975599056,1-648
EH120_074,37.9709924495965,9-664,58.86866018234161,5-661
EH120_075,24.873591890493,6-670,47.9891300351348,2-667
EH120_076,28.873624743984447,2-675,28.78680499800496,4-678
EH120_077,34.27379298509965,6-688,36.01789364500838,5-688
EH120_078,45.92273604576605,9-700,47.151597898815055,2-694
EH120_079,45.43518519785172,6-706,55.90826848288444,1-702
EH120_080,40.90014159923063,9-718,54.64043530333097,2-712
EH120_081,63.15654169383266,1-719,99.46888974087976,2-721
EH120_082,73.69557910074522,1-728,90.83103089863788,1-729
EH120_083,66.2319568719919,1-736,63.94730160249844,1-738
EH120_084,52.19264593198484,1-745,63.84957896304068,2-748
EH120_085,45.52740439108943,1-754,61.769454593885214,1-756
EH120_086,47.53831703903862,1-763,73.00992835608464,1-765
EH120_087,59.66813059769872,1-771,73.2139384796293,5-778
EH120_088,49.03583745915461,2-781,68.6382960879107,2-784
EH120_089,43.02706980721786,9-797,57.172323822352695,5-796
EH120_090,71.66889643923365,3-800,95.66738274098611,3-803
EH120_091,79.90251481284965,2-808,105.52303706224356,1-810
EH120_092,55.67642644136481,1-816,67.98808355761851,1-819
EH120_093,40.65566628514557,1-825,61.13891431514862,1-828
EH120_094,47.49801706941438,2-835,40.65571215912639,2-838
EH120_095,73.1915593431084,3-845,89.76815355181895,2-847
EH120_096,54.535512014555216,2-853,69.0046815657693,1-855
EH120_097,71.22619185230593,3-863,93.27824293607507,1-864
EH120_098,53.59216420438919,1-870,62.330186221943,1-873
EH120_099,57.6358491402093,8-886,67.11538116366827,1-882
EH120_100,63.43127990907764,1-888,76.65674511823352,1-891
EH120_101,47.25087265213397,1-897,61.19188973312923,2-901
EH120_102,26.75332337290632,4-909,20.841993407424955,1-909
EH120_103,40.22905004608168,9-923,37.90676370309484,1-918
EH120_104,41.38311510443025,8-931,35.082229491454456,1-927
EH120_105,44.27539844165346,8-940,49.33103017859219,1-936
EH120_106,40.05346883735861,2-943,35.14450650087833,2-946
EH120_107,26.8528582876846,8-958,25.75831592625743,9-962
EH120_108,32.38387602513684,5-964,37.83573420217044,9-971
EH120_109,21.41471199820713,5-973,21.908616133602145,9-980
EH120_110,24.67065262859704,5-982,29.720246970076808,5-985
EH40_01,97.28943007648176,4-3,105.40176964190742,1-0
EH40_02,77.17629462955679,1-9,110.43770797564922,1-9
EH40_03,34.33388835101602,3-20,29.75308493899084,1-18
EH40_04,48.77805170841963,3-29,49.56997458125574,1-27
EH40_05,60.99787610996658,8-43,87.59656452423816,1-36
EH40_06,78.64522336151717,8-52,101.2239285278136,3-47
EH40_07,64.19194385151975,7-60,57.84405178363769,3-56
EH40_08,48.87025979720222,6-68,61.40945616964122,1-63
EH40_09,47.48564275098991,9-80,44.88216086231007,1-72
EH40_10,34.380171125017405,9-89,78.58640422426801,6-86
EH40_11,52.04478113152714,6-95,63.81312408108025,1-90
EH40_12,61.68873554487402,2-100,58.15391513281266,2-100
EH40_13,39.3775121658835,2-109,46.116626201424,7-114
EH40_14,30.142500077781985,1-117,27.95181264958552,1-117
EH40_15,48.32516270252207,8-133,63.743884640756576,1-126
EH40_16,44.759998206983326,7-141,37.228805243804445,4-138
EH40_17,34.278792077694845,5-148,77.65173061400085,5-148
EH40_18,40.30709427515222,1-153,44.22839211856876,1-153
EH40_19,34.716295071109506,9-170,32.840075428442546,3-164
EH40_20,39.28944645182288,9-179,50.947951089753126,5-175
EH40_21,23.992928995629068,7-186,75.70090573539862,7-186
EH40_22,50.09951872608561,1-189,58.31617953566154,2-190
EH40_23,78.68348134695587,5-202,107.4371840315466,2-199
EH40_24,21.67651480284433,3-209,25.31729877455744,8-214
EH40_25,16.555030404409923,4-219,64.97674386663192,3-218
EH40_26,36.477981525438274,8-232,51.57841977616788,1-225
EH40_27,37.225016620934646,3-236,48.0627505106949,2-235
EH40_28,66.12438449283907,1-243,89.98036682193685,1-243
EH40_29,54.19050980718884,3-254,50.29707135613178,3-254
EH40_30,40.07841255340781,3-263,37.52938564129891,4-264
EH40_31,63.22642303621598,8-277,71.74514985731085,1-270
EH40_32,42.20117309445504,8-286,56.44291937787853,2-280
EH40_33,44.47154520461828,8-295,105.49823892140375,4-291
EH40_34,42.48944361643685,6-302,58.34375971936665,1-297
EH40_35,48.880285662783365,9-314,78.50135079212085,1-306
EH40_36,42.21955114138672,1-315,54.56337914158171,3-317
EH40_37,49.53216443214672,1-324,73.83043607759436,1-324
EH40_38,34.863579330780134,3-335,30.816474735931656,7-339
EH40_39,44.99282568261005,7-348,52.23956791769413,3-344
EH40_40,49.48170471065359,3-353,37.00440987639227,5-355
