ligand,gnina_cnn_3POZ,gnina_aff_3POZ,gnina_cnn_3RCD,gnina_aff_3RCD
EH120_041,0.7281530499,7.5783829689,0.4837061763,7.7465395927
EH120_042,0.9380737543,7.1244983673,0.5684756637,7.1678643227
EH120_043,0.3485700786,6.4138083458,0.1542543173,5.5999264717
EH120_044,0.2660886943,6.7251763344,0.2193807662,7.0847029686
EH120_045,0.955742538,8.1061372757,0.9721394777,8.1990861893
EH120_046,0.5972930193,7.7324638367,0.240506351,7.1816673279
EH120_047,0.3229995668,7.3258681297,0.1629531682,7.5257697105
EH120_048,0.4511214495,6.1311554909,0.8308165073,7.3616471291
EH120_049,0.2695346475,6.9022088051,0.2266798615,7.1469407082
EH120_050,0.361232996,7.1872620583,0.425819546,7.7220330238
EH120_051,0.8420957923,6.7204813957,0.7026159763,6.8957915306
EH120_052,0.3376437724,6.8793673515,0.6189187169,7.3317351341
EH120_053,0.9244221449,8.2585477829,0.8986439705,8.5946016312
EH120_054,0.4122986794,5.6457095146,0.7158163786,6.659116745
EH120_055,0.8750966787,6.8984475136,0.7891188264,7.0359153748
EH120_056,0.5584113598,7.3067889214,0.5724769831,7.2597579956
EH120_057,0.8492406607,6.2448120117,0.8709614277,6.8691163063
EH120_058,0.523548305,6.9518723488,0.3277504444,6.7715849876
EH120_059,0.2712831497,6.1704802513,0.7877876759,7.269929409
EH120_060,0.4894607663,6.9077377319,0.711127162,7.7787833214
EH120_061,0.7813423872,8.1772556305,0.8804600835,8.482419014
EH120_062,0.8748109341,8.5216760635,0.8022637963,8.4554624557
EH120_063,0.7091124654,7.4866662025,0.302543819,7.2889761925
EH120_064,0.4624203146,6.0108032227,0.8644022346,7.0962638855
EH120_065,0.2217797488,5.9424190521,0.5315260291,6.4790978432
EH120_066,0.4926570058,6.6946320534,0.1151873767,6.8988289833
EH120_067,0.5328059196,5.7827167511,0.4871039987,6.1301383972
EH120_068,0.7524803281,7.7982773781,0.7966036201,8.8316602707
EH120_069,0.2762971222,6.3489432335,0.2778790593,6.6628379822
EH120_070,0.4801888466,5.8966994286,0.2377030402,5.5877585411
EH120_071,0.9270524979,7.8668532372,0.8759040236,8.0368757248
EH120_072,0.9226904511,8.0930089951,0.862070024,8.3674240112
EH120_073,0.7718366385,7.240090847,0.7439288497,7.9854736328
EH120_074,0.6829684377,6.4901747704,0.7832540274,6.8553872108
EH120_075,0.5518354177,6.2583203316,0.8991382122,7.1859755516
EH120_076,0.541438818,5.6083850861,0.7705413699,6.4047551155
EH120_077,0.2923423052,6.460258007,0.547529459,7.5984306335
EH120_078,0.2166129649,6.870414257,0.1008864716,7.1917347908
EH120_079,0.887632072,6.5751533508,0.932133019,7.1099829674
EH120_080,0.4960683882,7.5581021309,0.8321370482,8.3212080002
EH120_081,0.9054446816,8.2328691483,0.8861647248,8.5332994461
EH120_082,0.940416038,8.248875618,0.8996301293,8.3921070099
EH120_083,0.9431365728,8.6481866837,0.7870059013,8.2941513062
EH120_084,0.9229650497,8.1310119629,0.8815610409,8.374288559
EH120_085,0.8453810215,8.4310407639,0.9217066169,8.5707893372
EH120_086,0.4416638017,7.661588192,0.7265588045,8.3376493454
EH120_087,0.9333882928,8.6210241318,0.6028274298,8.3476133347
EH120_088,0.8289704323,8.2577915192,0.9352752566,8.7792863846
EH120_089,0.616298914,7.7438092232,0.8614058495,8.4548826218
EH120_090,0.8642960787,7.9258613586,0.9405248165,8.5140733719
EH120_091,0.896164,7.6520576477,0.9341194034,8.1746683121
EH120_092,0.8690131903,8.5261077881,0.8459375501,8.8837976456
EH120_093,0.6941618323,8.2548923492,0.8257698417,8.6832761765
EH120_094,0.8888368607,7.1016488075,0.8316887617,7.3979420662
EH120_095,0.877940774,7.9843482971,0.9247454405,8.3480901718
EH120_096,0.9234149456,8.4899749756,0.9362805486,8.7097816467
EH120_097,0.9188239574,8.0043830872,0.946321547,8.2329645157
EH120_098,0.8963309526,8.2655668259,0.946020484,8.8200302124
EH120_099,0.8639514446,7.8825392723,0.8778794408,8.0182714462
EH120_100,0.9471401572,8.350025177,0.9631789923,8.571103096
EH120_101,0.8930864334,8.2748603821,0.8799074292,8.6153411865
EH120_102,0.735139668,6.3380694389,0.2267151028,5.7419753075
EH120_103,0.7558658719,5.9552159309,0.4258883297,6.5852541924
EH120_104,0.3275817931,6.4557843208,0.2341079861,5.7848372459
EH120_105,0.3858737946,6.0083069801,0.2570568919,6.4573016167
EH120_106,0.4140284657,5.8150515556,0.2216293365,5.5150122643
EH120_107,0.6316232085,6.1382389069,0.184221819,6.4236602783
EH120_108,0.7585846782,5.9654698372,0.3487149179,6.6437525749
EH120_109,0.7111668587,3.8866927624,0.7185168862,4.2571692467
EH120_110,0.7687679529,6.073861599,0.27555269,5.3879909515
EH40_01,0.7621389031,7.7344069481,0.776714325,8.0549163818
EH40_02,0.9125686288,8.2654294968,0.8889389634,8.5536565781
EH40_03,0.3237091601,6.9091477394,0.3015815318,6.6556792259
EH40_04,0.398345381,7.7790837288,0.1637982875,7.7076020241
EH40_05,0.9150681496,7.8850922585,0.8919653296,7.9750976562
EH40_06,0.7097904086,8.1415348053,0.6369425058,8.55098629
EH40_07,0.909830749,7.3854756355,0.4052403867,6.8954105377
EH40_08,0.7766571641,7.8567471504,0.8167312741,8.0646820068
EH40_09,0.2537255883,7.1766896248,0.1151484177,7.4400696754
EH40_10,0.3504202366,6.8010907173,0.8952220082,7.8926634789
EH40_11,0.696426928,7.3980994225,0.5463959575,7.581802845
EH40_12,0.9035850763,8.060751915,0.5483701229,7.8062567711
EH40_13,0.3008021712,6.8700942993,0.2212595642,6.6544914246
EH40_14,0.5674022436,6.4651169777,0.613512516,6.9506173134
EH40_15,0.8853549957,6.8537049294,0.8961272836,7.374560833
EH40_16,0.7363203764,7.3333263397,0.398509115,6.8526968956
EH40_17,0.2529859245,6.4658322334,0.8500051498,7.4088916779
EH40_18,0.6048077941,7.2438063622,0.6646693945,7.4625306129
EH40_19,0.3084228337,6.3662438393,0.2478335202,6.2425580025
EH40_20,0.352847755,7.0259261131,0.1762469411,6.7996101379
EH40_21,0.2580799758,6.0320301056,0.5921087861,7.0787296295
EH40_22,0.8835116029,8.1014556885,0.7951644063,8.5580797195
EH40_23,0.746561408,7.6416535378,0.8710269332,8.1897153854
EH40_24,0.7513654828,4.7879619598,0.8006416559,5.180038929
EH40_25,0.929436028,5.9608521461,0.9103762507,6.4400238991
EH40_26,0.8887273669,6.3619208336,0.9355990887,7.0676207542
EH40_27,0.6464986205,6.0848183632,0.7172796726,6.865963459
EH40_28,0.9582152367,8.5491228104,0.8748124838,8.6336221695
EH40_29,0.7740880847,7.2500267029,0.3122248054,7.1039595604
EH40_30,0.4361860454,6.5868010521,0.4518484473,7.4221744537
EH40_31,0.8353924751,7.4866671562,0.7630948424,7.7934365273
EH40_32,0.7574747801,7.1157956123,0.7705741525,7.4957008362
EH40_33,0.3331937194,6.9041314125,0.8461134434,8.1589794159
EH40_34,0.5070884824,6.9015898705,0.8190130591,7.7342915535
EH40_35,0.8673129678,8.12408638,0.7334017158,8.174197197
EH40_36,0.7954611182,8.1239709854,0.7724382877,8.6258869171
EH40_37,0.8128625154,8.3238315582,0.8806137443,9.1242761612
EH40_38,0.5710337162,6.8624300957,0.1642038375,5.8802108765
EH40_39,0.8526822329,7.4400000572,0.4235387444,7.1598110199
EH40_40,0.7128941417,6.6127648354,0.4493049383,6.5767388344
