item,value
git_commit,c213c485fcf56ee024a96698cb657853fccb8369
official_results_overwritten,no
corrected_boxes_adopted_as_official_canonical,no — MAJOR IMPACT; remain in remediation_outputs/phase1_boxes
egfr_her2_vina_jobs,220/220 ok
vina_binary,/home/gwj/miniconda3/bin/vina
box_only_change,"yes; receptors, ligands, seeds, exhaustiveness, n_modes, energy_range held fixed"
ache_new_ligand,CHEMBL3960861 AB_056 vina ACHE=-12.777 BCHE=-9.05 seed=20260727
ache_holdout_rebuild,60 ligands; 53 kept 7 swapped; overlap ID/SMILES with new main = 0
census_2164618,not repo-reproducible; WARNING retained
gnina_independent_rerun,not run; GNINA binary not available at expected path
five_seed_rerun,not run; deferred because primary qualitative conclusions changed
rtm_cnn_rescoring,not run; deferred pending canonical-box decision
manuscript_auto_update,STOPPED after Phase 1 MAJOR IMPACT
timestamp_utc,2026-09-15T09:45:23.386824+00:00
