pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
EGFR/HER2,dual_vs_A_only,28,37,0.50,class_stratified_shared_dual,20260729,1000,2000,0.047,0.00669261,0.503294
EGFR/HER2,dual_vs_B_only,28,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.044,0.00648568,0.500354
EGFR/HER2,dual_vs_neither,28,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.056,0.00727076,0.494598
EGFR/HER2,summary_min,28,37/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.123,0.0103861,0.456672
EGFR/HER2,dual_vs_A_only,28,37,0.55,class_stratified_shared_dual,20260729,1000,2000,0.127,0.0105295,0.551513
EGFR/HER2,dual_vs_B_only,28,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.115,0.0100884,0.547994
EGFR/HER2,dual_vs_neither,28,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.088,0.00895857,0.547095
EGFR/HER2,summary_min,28,37/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.04,0.00619677,0.508313
EGFR/HER2,dual_vs_A_only,28,37,0.60,class_stratified_shared_dual,20260729,1000,2000,0.273,0.014088,0.598794
EGFR/HER2,dual_vs_B_only,28,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.289,0.0143345,0.602838
EGFR/HER2,dual_vs_neither,28,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.184,0.0122533,0.597625
EGFR/HER2,summary_min,28,37/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.063,0.00768316,0.560448
EGFR/HER2,dual_vs_A_only,28,37,0.65,class_stratified_shared_dual,20260729,1000,2000,0.548,0.0157384,0.648515
EGFR/HER2,dual_vs_B_only,28,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.508,0.0158094,0.645452
EGFR/HER2,dual_vs_neither,28,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.331,0.0148808,0.648274
EGFR/HER2,summary_min,28,37/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.255,0.0137831,0.60853
EGFR/HER2,dual_vs_A_only,28,37,0.70,class_stratified_shared_dual,20260729,1000,2000,0.818,0.0122015,0.700229
EGFR/HER2,dual_vs_B_only,28,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.796,0.012743,0.702661
EGFR/HER2,dual_vs_neither,28,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.533,0.0157769,0.695506
EGFR/HER2,summary_min,28,37/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.646,0.0151223,0.662893
EGFR/HER2,dual_vs_A_only,28,37,0.75,class_stratified_shared_dual,20260729,1000,2000,0.955,0.00655553,0.752541
EGFR/HER2,dual_vs_B_only,28,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.943,0.00733151,0.751573
EGFR/HER2,dual_vs_neither,28,12,0.75,class_stratified_shared_dual,20260729,1000,2000,0.777,0.0131632,0.750676
EGFR/HER2,summary_min,28,37/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.906,0.00922843,0.715833
JAK1/JAK2,dual_vs_A_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.05,0.00689202,0.49733
JAK1/JAK2,dual_vs_B_only,32,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.058,0.00739162,0.499874
JAK1/JAK2,dual_vs_neither,32,14,0.50,class_stratified_shared_dual,20260729,1000,2000,0.051,0.00695694,0.499496
JAK1/JAK2,summary_min,32,32/32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.121,0.010313,0.457708
JAK1/JAK2,dual_vs_A_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.119,0.0102391,0.550046
JAK1/JAK2,dual_vs_B_only,32,32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.114,0.0100501,0.547503
JAK1/JAK2,dual_vs_neither,32,14,0.55,class_stratified_shared_dual,20260729,1000,2000,0.097,0.00935901,0.551438
JAK1/JAK2,summary_min,32,32/32,0.55,class_stratified_shared_dual,20260729,1000,2000,0.02,0.00442719,0.508715
JAK1/JAK2,dual_vs_A_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.294,0.0144071,0.598575
JAK1/JAK2,dual_vs_B_only,32,32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.276,0.0141359,0.599792
JAK1/JAK2,dual_vs_neither,32,14,0.60,class_stratified_shared_dual,20260729,1000,2000,0.186,0.0123046,0.592335
JAK1/JAK2,summary_min,32,32/32,0.60,class_stratified_shared_dual,20260729,1000,2000,0.07,0.00806846,0.557893
JAK1/JAK2,dual_vs_A_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.568,0.0156645,0.649191
JAK1/JAK2,dual_vs_B_only,32,32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.549,0.0157353,0.648573
JAK1/JAK2,dual_vs_neither,32,14,0.65,class_stratified_shared_dual,20260729,1000,2000,0.409,0.0155473,0.65125
JAK1/JAK2,summary_min,32,32/32,0.65,class_stratified_shared_dual,20260729,1000,2000,0.308,0.0145992,0.612616
JAK1/JAK2,dual_vs_A_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.831,0.0118507,0.702619
JAK1/JAK2,dual_vs_B_only,32,32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.824,0.0120426,0.700464
JAK1/JAK2,dual_vs_neither,32,14,0.70,class_stratified_shared_dual,20260729,1000,2000,0.609,0.0154311,0.698971
JAK1/JAK2,summary_min,32,32/32,0.70,class_stratified_shared_dual,20260729,1000,2000,0.619,0.0153571,0.660147
JAK1/JAK2,dual_vs_A_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.957,0.0064149,0.751187
JAK1/JAK2,dual_vs_B_only,32,32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.949,0.00695694,0.751027
JAK1/JAK2,dual_vs_neither,32,14,0.75,class_stratified_shared_dual,20260729,1000,2000,0.833,0.0117945,0.751458
JAK1/JAK2,summary_min,32,32/32,0.75,class_stratified_shared_dual,20260729,1000,2000,0.917,0.00872416,0.716427
JAK1/TYK2,dual_vs_A_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.042,0.00634319,0.500989
JAK1/TYK2,dual_vs_B_only,31,32,0.50,class_stratified_shared_dual,20260729,1000,2000,0.049,0.00682635,0.50097
