pair,contrast,n,n_pos,n_neg,n_scaffolds,cv_auroc_ECFP4,cv_auroc_docking,cv_auroc_ECFP4_docking,delta_ECFP4_plus_docking_minus_ECFP4,rank_auroc_docking,note
EGFR/HER2,D_vs_A,65,28,37,53,0.7992,0.5203,0.7925,-0.0068,0.6564,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_B,60,28,32,51,0.8527,0.6172,0.8449,-0.0078,0.3237,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_A,64,32,32,48,0.8901,0.3213,0.8789,-0.0112,0.5884,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_B,64,32,32,56,0.9658,0.6934,0.9668,0.0010,0.7275,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_A,63,31,32,59,0.8528,0.3276,0.8427,-0.0101,0.5751,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_B,63,31,32,59,0.8881,0.5756,0.8871,-0.0010,0.3649,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_A,32,18,14,31,0.7817,0.6587,0.7738,-0.0079,0.7143,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_B,30,18,12,28,0.8889,0.6296,0.8889,0.0000,0.6921,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_A,53,27,26,45,0.8974,0.6254,0.8903,-0.0071,0.6524,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_B,55,27,28,50,0.8426,0.5529,0.8320,-0.0106,0.6058,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_A,63,31,32,53,0.9466,0.5605,0.9496,0.0030,0.4133,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_B,63,31,32,58,0.7571,0.6210,0.7651,0.0081,0.3448,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_A,63,32,31,51,0.8569,0.6018,0.8528,-0.0040,0.6492,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_B,64,32,32,51,0.7344,0.6621,0.7402,0.0059,0.7061,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_A,64,32,32,40,0.9453,0.4795,0.9443,-0.0010,0.6465,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_B,64,32,32,35,0.7471,0.2646,0.7383,-0.0088,0.4463,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
