pair,seed,n_intersection,n_dual,n_A_only,n_B_only,n_neither,n_primary,n_dropped_vs_primary,summary_min,auroc_D_vs_A_pocketB,auroc_D_vs_B_pocketA,available_case_summary_min,available_case_n,delta,qualitative_change,same_protocol_as_primary,same_membership_as_primary,source_kind,note
EGFR/HER2,20260727,108,28,37,31,12,108,0,0.3341,0.6631,0.3341,0.3341,108,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
EGFR/HER2,20260811,108,28,37,31,12,108,0,0.3491,0.6699,0.3491,0.3491,108,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
EGFR/HER2,20260812,108,28,37,31,12,108,0,0.3260,0.6680,0.3260,0.3260,108,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
EGFR/HER2,20260813,108,28,37,31,12,108,0,0.3168,0.6680,0.3168,0.3168,108,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
EGFR/HER2,20260814,108,28,37,31,12,108,0,0.3295,0.6631,0.3295,0.3295,108,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/JAK2,20260727,110,32,32,32,14,110,0,0.5884,0.5884,0.7275,0.5884,110,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/JAK2,20260811,110,32,32,32,14,110,0,0.5918,0.5918,0.7500,0.5918,110,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/JAK2,20260812,110,32,32,32,14,110,0,0.5742,0.5742,0.7407,0.5742,110,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/JAK2,20260813,110,32,32,32,14,110,0,0.5742,0.5742,0.7549,0.5742,110,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/JAK2,20260814,110,32,32,32,14,110,0,0.5879,0.5879,0.7520,0.5879,110,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/TYK2,20260727,109,31,32,32,14,109,0,0.3649,0.5751,0.3649,0.3649,109,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/TYK2,20260811,109,31,32,32,14,109,0,0.3785,0.5907,0.3785,0.3785,109,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/TYK2,20260812,109,31,32,32,14,109,0,0.3810,0.5776,0.3810,0.3810,109,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/TYK2,20260813,109,31,32,32,14,109,0,0.3770,0.5832,0.3770,0.3770,109,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
JAK1/TYK2,20260814,109,31,32,32,14,109,0,0.3770,0.5887,0.3770,0.3770,109,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
PIK3CA/mTOR,20260727,48,18,14,12,4,48,0,0.6921,0.7143,0.6921,0.6921,48,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
PIK3CA/mTOR,20260811,48,18,14,12,4,48,0,0.7130,0.7460,0.7130,0.7130,48,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
PIK3CA/mTOR,20260812,48,18,14,12,4,48,0,0.7262,0.7262,0.7778,0.7262,48,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
PIK3CA/mTOR,20260813,48,18,14,12,4,48,0,0.6759,0.7381,0.6759,0.6759,48,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
PIK3CA/mTOR,20260814,48,18,14,12,4,48,0,0.7037,0.7440,0.7037,0.7037,48,0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
AChE/BChE,20260727,88,25,22,27,14,95,7,0.5964,0.5964,0.6163,0.6058,94,-0.0094,no,1,0,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
AChE/BChE,20260811,88,25,22,27,14,95,7,0.5827,0.5827,0.6252,0.5988,89,-0.0161,no,1,0,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
AChE/BChE,20260812,88,25,22,27,14,95,7,0.5645,0.5645,0.6104,0.5645,88,0.0000,no,1,0,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
AChE/BChE,20260813,88,25,22,27,14,95,7,0.5909,0.5909,0.6104,0.6017,89,-0.0108,no,1,0,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
AChE/BChE,20260814,88,25,22,27,14,95,7,0.5527,0.5527,0.6119,0.5527,88,0.0000,no,1,0,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
F2/F10,20260727,107,31,32,32,12,107,0,0.3448,0.4133,0.3448,0.3448,107,-0.0000,no,1,1,fixed_membership_sensitivity,intersection of ligands with both pocket scores on all five seeds; no redock
