pair,arm,outer_fold,n_test,n_train,id_intersection,scaffold_intersection,leakage
AChE/BChE,D_vs_A,0,11,42,0,0,0
AChE/BChE,D_vs_A,1,11,42,0,0,0
AChE/BChE,D_vs_A,2,11,42,0,0,0
AChE/BChE,D_vs_A,3,10,43,0,0,0
AChE/BChE,D_vs_A,4,10,43,0,0,0
AChE/BChE,D_vs_B,0,11,44,0,0,0
AChE/BChE,D_vs_B,1,11,44,0,0,0
AChE/BChE,D_vs_B,2,11,44,0,0,0
AChE/BChE,D_vs_B,3,11,44,0,0,0
AChE/BChE,D_vs_B,4,11,44,0,0,0
EGFR/HER2,D_vs_A,0,13,52,0,0,0
EGFR/HER2,D_vs_A,1,13,52,0,0,0
EGFR/HER2,D_vs_A,2,13,52,0,0,0
EGFR/HER2,D_vs_A,3,13,52,0,0,0
EGFR/HER2,D_vs_A,4,13,52,0,0,0
EGFR/HER2,D_vs_B,0,12,47,0,0,0
EGFR/HER2,D_vs_B,1,12,47,0,0,0
EGFR/HER2,D_vs_B,2,12,47,0,0,0
EGFR/HER2,D_vs_B,3,12,47,0,0,0
EGFR/HER2,D_vs_B,4,11,48,0,0,0
F2/F10,D_vs_A,0,13,50,0,0,0
F2/F10,D_vs_A,1,13,50,0,0,0
F2/F10,D_vs_A,2,13,50,0,0,0
F2/F10,D_vs_A,3,12,51,0,0,0
F2/F10,D_vs_A,4,12,51,0,0,0
F2/F10,D_vs_B,0,13,50,0,0,0
F2/F10,D_vs_B,1,13,50,0,0,0
F2/F10,D_vs_B,2,13,50,0,0,0
F2/F10,D_vs_B,3,12,51,0,0,0
F2/F10,D_vs_B,4,12,51,0,0,0
JAK1/JAK2,D_vs_A,0,13,51,0,0,0
JAK1/JAK2,D_vs_A,1,13,51,0,0,0
JAK1/JAK2,D_vs_A,2,13,51,0,0,0
JAK1/JAK2,D_vs_A,3,13,51,0,0,0
JAK1/JAK2,D_vs_A,4,12,52,0,0,0
JAK1/JAK2,D_vs_B,0,13,51,0,0,0
JAK1/JAK2,D_vs_B,1,13,51,0,0,0
JAK1/JAK2,D_vs_B,2,13,51,0,0,0
JAK1/JAK2,D_vs_B,3,13,51,0,0,0
JAK1/JAK2,D_vs_B,4,12,52,0,0,0
JAK1/TYK2,D_vs_A,0,13,50,0,0,0
JAK1/TYK2,D_vs_A,1,13,50,0,0,0
JAK1/TYK2,D_vs_A,2,13,50,0,0,0
JAK1/TYK2,D_vs_A,3,12,51,0,0,0
JAK1/TYK2,D_vs_A,4,12,51,0,0,0
JAK1/TYK2,D_vs_B,0,13,50,0,0,0
JAK1/TYK2,D_vs_B,1,13,50,0,0,0
JAK1/TYK2,D_vs_B,2,13,50,0,0,0
JAK1/TYK2,D_vs_B,3,12,51,0,0,0
JAK1/TYK2,D_vs_B,4,12,51,0,0,0
PIK3CA/mTOR,D_vs_A,0,7,25,0,0,0
PIK3CA/mTOR,D_vs_A,1,7,25,0,0,0
PIK3CA/mTOR,D_vs_A,2,6,26,0,0,0
PIK3CA/mTOR,D_vs_A,3,6,26,0,0,0
PIK3CA/mTOR,D_vs_A,4,6,26,0,0,0
PIK3CA/mTOR,D_vs_B,0,6,24,0,0,0
PIK3CA/mTOR,D_vs_B,1,6,24,0,0,0
PIK3CA/mTOR,D_vs_B,2,6,24,0,0,0
PIK3CA/mTOR,D_vs_B,3,6,24,0,0,0
PIK3CA/mTOR,D_vs_B,4,6,24,0,0,0
PPARA/PPARD,D_vs_A,0,13,51,0,0,0
PPARA/PPARD,D_vs_A,1,13,51,0,0,0
PPARA/PPARD,D_vs_A,2,13,51,0,0,0
PPARA/PPARD,D_vs_A,3,13,51,0,0,0
PPARA/PPARD,D_vs_A,4,12,52,0,0,0
PPARA/PPARD,D_vs_B,0,13,51,0,0,0
PPARA/PPARD,D_vs_B,1,13,51,0,0,0
PPARA/PPARD,D_vs_B,2,13,51,0,0,0
PPARA/PPARD,D_vs_B,3,13,51,0,0,0
PPARA/PPARD,D_vs_B,4,12,52,0,0,0
PPARG/PPARA,D_vs_A,0,13,50,0,0,0
PPARG/PPARA,D_vs_A,1,13,50,0,0,0
PPARG/PPARA,D_vs_A,2,13,50,0,0,0
PPARG/PPARA,D_vs_A,3,12,51,0,0,0
PPARG/PPARA,D_vs_A,4,12,51,0,0,0
PPARG/PPARA,D_vs_B,0,13,51,0,0,0
PPARG/PPARA,D_vs_B,1,13,51,0,0,0
PPARG/PPARA,D_vs_B,2,13,51,0,0,0
PPARG/PPARA,D_vs_B,3,13,51,0,0,0
PPARG/PPARA,D_vs_B,4,12,52,0,0,0
