figure,panel,pair,metric,displayed_value,raw_value,source_file,source_row,matched_source_value,status
Figure 1,C,census,n_pairs_n_both_ge_1,"2,164,618",2164618.0,data/jcim_chembl_universe_v0/tables/universe_census_summary_v1.csv,slice=all,2164618,MATCH
Figure 1,C,census,n_pairs_n_both_ge_10,"63,790",63790.0,data/jcim_chembl_universe_v0/tables/universe_census_summary_v1.csv,slice=all,63790,MATCH
Figure 1,C,census,n_directional_n10,"5,253",5253.0,data/jcim_chembl_universe_v0/tables/universe_census_summary_v1.csv,slice=all,5253,MATCH
Figure 1,C,census,n_strict_thick,86,86.0,data/jcim_chembl_universe_v0/tables/universe_census_summary_v1.csv,slice=all,86,MATCH
Figure 2,A,EGFR/HER2,fixed_delta_pocketA,0.446,0.4457,results/canonical/fixed_score_negative_class_delta.csv,EGFR/HER2,0.4457,MATCH
Figure 2,A,EGFR/HER2,fixed_delta_pocketB,0.087,0.0869,results/canonical/fixed_score_negative_class_delta.csv,EGFR/HER2,0.0869,MATCH
Figure 2,B,EGFR/HER2,AUROC_D_vs_A_pocketB,0.663,0.6631,results/canonical/primary_directional_auroc.csv,EGFR/HER2,0.6631,MATCH
Figure 2,B,EGFR/HER2,AUROC_D_vs_B_pocketA,0.334,0.3341,results/canonical/primary_directional_auroc.csv,EGFR/HER2,0.3341,MATCH
Figure 2,C,EGFR/HER2,summary_min,0.334,0.3341,results/canonical/primary_summary_min.csv,EGFR/HER2,0.3341,MATCH
Figure 2,C,EGFR/HER2,D_vs_neither_vina_mean,0.759,0.7589,results/canonical/two_pocket_mean_ranking.csv,EGFR/HER2,0.7589,MATCH
Figure 2,C,EGFR/HER2,n_neither,12,12.0,results/canonical/class_counts.csv,EGFR/HER2,12,MATCH
Figure 2,A,JAK1/JAK2,fixed_delta_pocketA,-0.004,-0.0043,results/canonical/fixed_score_negative_class_delta.csv,JAK1/JAK2,-0.0043,MATCH
Figure 2,A,JAK1/JAK2,fixed_delta_pocketB,0.141,0.1415,results/canonical/fixed_score_negative_class_delta.csv,JAK1/JAK2,0.1415,MATCH
Figure 2,B,JAK1/JAK2,AUROC_D_vs_A_pocketB,0.588,0.5884,results/canonical/primary_directional_auroc.csv,JAK1/JAK2,0.5884,MATCH
Figure 2,B,JAK1/JAK2,AUROC_D_vs_B_pocketA,0.728,0.7275,results/canonical/primary_directional_auroc.csv,JAK1/JAK2,0.7275,MATCH
Figure 2,C,JAK1/JAK2,summary_min,0.588,0.5884,results/canonical/primary_summary_min.csv,JAK1/JAK2,0.5884,MATCH
Figure 2,C,JAK1/JAK2,D_vs_neither_vina_mean,0.730,0.7299,results/canonical/two_pocket_mean_ranking.csv,JAK1/JAK2,0.7299,MATCH
