pair,metric,kind,independent,canonical,abs_delta,status
EGFR/HER2,AUROC_D_vs_A_pocketB,point,0.6631274131,0.6631,0.0000274131,MATCH
EGFR/HER2,AUROC_D_vs_B_pocketA,point,0.3341013825,0.3341,0.0000013825,MATCH
EGFR/HER2,AUROC_D_vs_A_ci_lo,ci,0.5212355212,0.5212,0.0000355212,MATCH
EGFR/HER2,AUROC_D_vs_A_ci_hi,ci,0.7915057915,0.7915,0.0000057915,MATCH
EGFR/HER2,AUROC_D_vs_B_ci_lo,ci,0.1969758065,0.1970,0.0000241935,MATCH
EGFR/HER2,AUROC_D_vs_B_ci_hi,ci,0.4712845622,0.4713,0.0000154378,MATCH
EGFR/HER2,summary_min,point,0.3341013825,0.3341,0.0000013825,MATCH
EGFR/HER2,summary_min_ci_lo,ci,0.1969758065,0.1970,0.0000241935,MATCH
EGFR/HER2,summary_min_ci_hi,ci,0.4712845622,0.4713,0.0000154378,MATCH
EGFR/HER2,d_vs_neither_mean,point,0.7589285714,0.7589,0.0000285714,MATCH
EGFR/HER2,ef_dual_10pct,point,0.3506493506,0.3506,0.0000493506,MATCH
EGFR/HER2,top_k,point,11.0000000000,11,0.0000000000,MATCH
EGFR/HER2,top_dual,point,1.0000000000,1,0.0000000000,MATCH
EGFR/HER2,and_dual,point,14.0000000000,14,0.0000000000,MATCH
EGFR/HER2,matched_minus_mismatched,point,0.1071428571,0.1071,0.0000428571,MATCH
EGFR/HER2,mm_ci_lo,ci,0.0057603687,0.0058,0.0000396313,MATCH
EGFR/HER2,mm_ci_hi,ci,0.2200748848,0.2201,0.0000251152,MATCH
EGFR/HER2,fixed_delta_pocketA,point,0.4456605223,0.4457,0.0000394777,MATCH
EGFR/HER2,fixed_delta_pocketA_ci_lo,ci,0.2593966014,0.2594,0.0000033986,MATCH
EGFR/HER2,fixed_delta_pocketA_ci_hi,ci,0.6318548387,0.6319,0.0000451613,MATCH
EGFR/HER2,fixed_delta_pocketB,point,0.0868725869,0.0869,0.0000274131,MATCH
EGFR/HER2,n_dual,point,28.0000000000,28,0.0000000000,MATCH
EGFR/HER2,n_A_only,point,37.0000000000,37,0.0000000000,MATCH
EGFR/HER2,n_B_only,point,31.0000000000,31,0.0000000000,MATCH
JAK1/JAK2,AUROC_D_vs_A_pocketB,point,0.5883789062,0.5884,0.0000210938,MATCH
JAK1/JAK2,AUROC_D_vs_B_pocketA,point,0.7275390625,0.7275,0.0000390625,MATCH
JAK1/JAK2,AUROC_D_vs_A_ci_lo,ci,0.4482421875,0.4482,0.0000421875,MATCH
JAK1/JAK2,AUROC_D_vs_A_ci_hi,ci,0.7226806641,0.7227,0.0000193359,MATCH
JAK1/JAK2,AUROC_D_vs_B_ci_lo,ci,0.6015380859,0.6015,0.0000380859,MATCH
JAK1/JAK2,AUROC_D_vs_B_ci_hi,ci,0.8417968750,0.8418,0.0000031250,MATCH
JAK1/JAK2,summary_min,point,0.5883789062,0.5884,0.0000210938,MATCH
JAK1/JAK2,summary_min_ci_lo,ci,0.4482421875,0.4482,0.0000421875,MATCH
