table,row,display_metric,point_source,ci_source,same_statistic,status,note
primary_summary_min,EGFR/HER2,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,EGFR/HER2|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,EGFR/HER2|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,EGFR/HER2,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,JAK1/JAK2,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,JAK1/JAK2|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,JAK1/JAK2|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,JAK1/JAK2,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,JAK1/TYK2,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,JAK1/TYK2|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,JAK1/TYK2|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,JAK1/TYK2,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,PIK3CA/mTOR,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PIK3CA/mTOR|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PIK3CA/mTOR|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,PIK3CA/mTOR,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,AChE/BChE,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,AChE/BChE|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,AChE/BChE|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,AChE/BChE,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,F2/F10,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,F2/F10|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,F2/F10|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,F2/F10,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,PPARG/PPARA,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PPARG/PPARA|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PPARG/PPARA|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,PPARG/PPARA,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
primary_summary_min,PPARA/PPARD,summary_min [95% CI],summary_min,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PPARA/PPARD|D_vs_A,D_vs_A AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_directional_auroc,PPARA/PPARD|D_vs_B,D_vs_B AUROC [95% CI],point,ci_lo/ci_hi,1,PASS,
primary_summary_min,PPARA/PPARD,summary_min CI vs stronger-arm CI,summary_min,not_stronger_arm,1,PASS,distinct_or_weaker_ok
descriptor_baselines,EGFR/HER2,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,EGFR/HER2,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,EGFR/HER2,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,JAK1/JAK2,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,JAK1/JAK2,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,JAK1/JAK2,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,JAK1/TYK2,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,JAK1/TYK2,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,JAK1/TYK2,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,PIK3CA/mTOR,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,PIK3CA/mTOR,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,PIK3CA/mTOR,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,AChE/BChE,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,AChE/BChE,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,AChE/BChE,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,F2/F10,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,F2/F10,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,F2/F10,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,PPARG/PPARA,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,PPARG/PPARA,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,PPARG/PPARA,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
descriptor_baselines,PPARA/PPARD,nested summary_min [95% CI],nested_scaffold_cv_oof_summary_min,nested_scaffold_cv_oof_summary_min_ci_lo/hi,1,PASS,
descriptor_baselines,PPARA/PPARD,nested summary_min CI vs stronger directional CI,summary_min_ci,not_stronger_arm,1,PASS,
descriptor_baselines,PPARA/PPARD,vina_minus_best_descriptor [95% CI],vina_minus_best_descriptor,delta_ci_lo/hi,1,PASS,
two_pocket_mean_ranking,EGFR/HER2,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,JAK1/JAK2,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,JAK1/TYK2,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,PIK3CA/mTOR,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,AChE/BChE,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,F2/F10,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,PPARG/PPARA,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
two_pocket_mean_ranking,PPARA/PPARD,D-vs-neither [95% CI],two_pocket_mean_D_vs_neither,ci_lo/ci_hi,1,PASS,
matched_mismatched_pocket,EGFR/HER2,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,JAK1/JAK2,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,JAK1/TYK2,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,PIK3CA/mTOR,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,AChE/BChE,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,F2/F10,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,PPARG/PPARA,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
matched_mismatched_pocket,PPARA/PPARD,matched-minus-mismatched Δ [95% CI],delta,delta_ci_lo/hi,1,PASS,
computational_robustness,EGFR/HER2|gnina_dock_mode1,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,EGFR/HER2|gnina_dock_mode1,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,identical_ok_if_one_arm_dominates
computational_robustness,EGFR/HER2|gnina_dock_mode1,D-vs-neither [95% CI],auroc_D_vs_neither_mean,d_vs_neither_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|gnina_dock_mode1,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|gnina_dock_mode1,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PIK3CA/mTOR|gnina_dock_mode1,D-vs-neither [95% CI],auroc_D_vs_neither_mean,d_vs_neither_ci_lo/hi,1,PASS,
computational_robustness,JAK1/TYK2|gnina_dock_mode1,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,JAK1/TYK2|gnina_dock_mode1,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,identical_ok_if_one_arm_dominates
computational_robustness,JAK1/TYK2|gnina_dock_mode1,D-vs-neither [95% CI],auroc_D_vs_neither_mean,d_vs_neither_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|vina_alt_4JPS,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|vina_alt_4JPS,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PIK3CA/mTOR|vina_alt_5DXT,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|vina_alt_5DXT,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PIK3CA/mTOR|vina_alt_4JSX,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PIK3CA/mTOR|vina_alt_4JSX,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PPARG/PPARA|rtm_best9,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PPARG/PPARA|rtm_best9,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PPARG/PPARA|rtm_best9,D-vs-neither [95% CI],auroc_D_vs_neither_mean,d_vs_neither_ci_lo/hi,1,PASS,
computational_robustness,PPARG/PPARA|gnina_cnn_affinity,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
computational_robustness,PPARG/PPARA|gnina_cnn_affinity,summary_min CI vs weaker-arm directional CI,summary_min_ci,directional_ci,1,PASS,distinct
computational_robustness,PPARG/PPARA|gnina_cnn_affinity,D-vs-neither [95% CI],auroc_D_vs_neither_mean,d_vs_neither_ci_lo/hi,1,PASS,
receptor_substitution,4JPS,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
receptor_substitution,5DXT,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
receptor_substitution,4JSX,summary_min [95% CI],summary_min,summary_min_ci_lo/hi,1,PASS,
