pair,contrast,n_pos,n_neg,true_auroc,bootstrap,seed,n_mc,n_boot,p_ci_excludes_0p5,se_binomial,mean_point_auroc
EGFR/HER2,dual_vs_A_only,28,37,0.50,class_stratified_shared_dual,20260729,1000,2000,0.047,0.00669261,0.503294
EGFR/HER2,dual_vs_B_only,28,31,0.50,class_stratified_shared_dual,20260729,1000,2000,0.052,0.00702111,0.499699
EGFR/HER2,dual_vs_neither,28,12,0.50,class_stratified_shared_dual,20260729,1000,2000,0.06,0.00750999,0.495738
EGFR/HER2,summary_min,28,37/31,0.50,class_stratified_shared_dual,20260729,1000,2000,0.131,0.0106695,0.458358
EGFR/HER2,dual_vs_A_only,28,37,0.55,class_stratified_shared_dual,20260729,1000,2000,0.11,0.00989444,0.55156
EGFR/HER2,dual_vs_B_only,28,31,0.55,class_stratified_shared_dual,20260729,1000,2000,0.093,0.00918428,0.553017
EGFR/HER2,dual_vs_neither,28,12,0.55,class_stratified_shared_dual,20260729,1000,2000,0.093,0.00918428,0.546217
EGFR/HER2,summary_min,28,37/31,0.55,class_stratified_shared_dual,20260729,1000,2000,0.026,0.0050323,0.510901
EGFR/HER2,dual_vs_A_only,28,37,0.60,class_stratified_shared_dual,20260729,1000,2000,0.28,0.0141986,0.598298
EGFR/HER2,dual_vs_B_only,28,31,0.60,class_stratified_shared_dual,20260729,1000,2000,0.239,0.0134863,0.597127
EGFR/HER2,dual_vs_neither,28,12,0.60,class_stratified_shared_dual,20260729,1000,2000,0.2,0.0126491,0.604723
EGFR/HER2,summary_min,28,37/31,0.60,class_stratified_shared_dual,20260729,1000,2000,0.071,0.00812151,0.558285
EGFR/HER2,dual_vs_A_only,28,37,0.65,class_stratified_shared_dual,20260729,1000,2000,0.583,0.015592,0.65314
EGFR/HER2,dual_vs_B_only,28,31,0.65,class_stratified_shared_dual,20260729,1000,2000,0.533,0.0157769,0.651016
EGFR/HER2,dual_vs_neither,28,12,0.65,class_stratified_shared_dual,20260729,1000,2000,0.358,0.0151603,0.650711
EGFR/HER2,summary_min,28,37/31,0.65,class_stratified_shared_dual,20260729,1000,2000,0.259,0.0138535,0.60887
EGFR/HER2,dual_vs_A_only,28,37,0.70,class_stratified_shared_dual,20260729,1000,2000,0.8,0.0126491,0.6996
EGFR/HER2,dual_vs_B_only,28,31,0.70,class_stratified_shared_dual,20260729,1000,2000,0.792,0.012835,0.697662
EGFR/HER2,dual_vs_neither,28,12,0.70,class_stratified_shared_dual,20260729,1000,2000,0.541,0.0157581,0.699723
