pair,pocket,receptor_pdb,unique_14slot,receptor_chain_or_construct,cognate_ligand,receptor_input_file,receptor_file_exists,box_file,box_file_exists,box_definition,waters,cofactor_peptide,protonation,missing_loops,calcrrms_top1_A,calcrrms_best_A,receptor_file_status,receptor_prep_status,notes
EGFR/HER2,A,3POZ,1,A,03P,data/egfr_her2_uniform_rdkit_v1/receptors/3POZ_receptor.pdbqt,1,data/egfr_her2_panel120_v0/boxes/3POZ_box_corrected.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,git blob 2b398c62 from c213c485,not_recoverable,not_recoverable,1.019,1.019,confirmed,not_recoverable,git blob 2b398c62 from c213c485
EGFR/HER2,B,3RCD,1,A,03P,data/egfr_her2_uniform_rdkit_v1/receptors/3RCD_receptor.pdbqt,1,data/egfr_her2_panel120_v0/boxes/3RCD_box_corrected.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,git blob c338094b from c213c485,not_recoverable,not_recoverable,1.947,1.947,confirmed,not_recoverable,git blob c338094b from c213c485
PIK3CA/mTOR,A,4L23,1,A,X6K,data/pik3ca_mtor_panel48_rdkit_v0/receptors/4L23_receptor.pdbqt,1,data/pik3ca_mtor_panel48_rdkit_v0/boxes/4L23_box.json,1,cognate_heavy_atom_box_file,none_in_pdbqt,deposited pdbqt; prep script not in current tree,not_recoverable,not_recoverable,0.624,0.624,confirmed,not_recoverable,deposited pdbqt; prep script not in current tree
PIK3CA/mTOR,B,4JT6,1,A,X6K,data/pik3ca_mtor_panel48_rdkit_v0/receptors/4JT6_receptor.pdbqt,1,data/pik3ca_mtor_panel48_rdkit_v0/boxes/4JT6_box.json,1,cognate_heavy_atom_box_file,none_in_pdbqt,deposited pdbqt; prep script not in current tree,not_recoverable,not_recoverable,7.118,0.445,confirmed,not_recoverable,deposited pdbqt; prep script not in current tree
AChE/BChE,A,4EY7,1,AB,E20,data/ache_bche_panel_v0/receptors/ACHE_receptor.pdbqt,1,data/ache_bche_panel_v0/boxes/4EY7_box.json,1,cognate_heavy_atom_box_file,none_in_pdbqt,deposited pdbqt (alias 4EY7_receptor.pdbqt); dimer AB; prep script not in current tree,not_recoverable,not_recoverable,0.339,0.339,confirmed,not_recoverable,deposited pdbqt (alias 4EY7_receptor.pdbqt); dimer AB; prep script not in current tree
AChE/BChE,B,4BDS,1,A,THA,data/ache_bche_panel_v0/receptors/BCHE_receptor.pdbqt,1,data/ache_bche_panel_v0/boxes/4BDS_box.json,1,cognate_heavy_atom_box_file,none_in_pdbqt,deposited pdbqt (alias 4BDS_receptor.pdbqt); prep script not in current tree,not_recoverable,not_recoverable,4.794,0.386,confirmed,not_recoverable,deposited pdbqt (alias 4BDS_receptor.pdbqt); prep script not in current tree
F2/F10,A,4UDW,1,HIL,N6L,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/4UDW_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/4UDW_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,deposited pdbqt; chains H/I/L; Track-B yaml site thrombin S1 chain H,not_recoverable,not_recoverable,0.382,0.382,confirmed,not_recoverable,deposited pdbqt; chains H/I/L; Track-B yaml site thrombin S1 chain H
F2/F10,B,2JKH,1,AL,BI7,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/2JKH_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/2JKH_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,deposited pdbqt; SI notes OpenBabel SDF issue then CCD for BI7,not_recoverable,not_recoverable,0.658,0.658,confirmed,not_recoverable,deposited pdbqt; SI notes OpenBabel SDF issue then CCD for BI7
JAK1/JAK2,A,6N7A,1,AB,KEV,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/6N7A_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6N7A_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,shared JAK1 receptor with JAK1/TYK2,not_recoverable,not_recoverable,0.459,0.459,confirmed,not_recoverable,shared JAK1 receptor with JAK1/TYK2
JAK1/JAK2,B,8BXH,1,A,C87,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/8BXH_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/8BXH_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,deposited pdbqt,not_recoverable,not_recoverable,10.596,0.807,confirmed,not_recoverable,deposited pdbqt
JAK1/TYK2,A,6N7A,0,AB,KEV,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/6N7A_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6N7A_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,same file as JAK1/JAK2 pocket A,not_recoverable,not_recoverable,0.459,0.459,confirmed,not_recoverable,same file as JAK1/JAK2 pocket A
JAK1/TYK2,B,3LXP,1,A,IZA,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/3LXP_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/3LXP_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,JH1 ATP not JH2 (yaml),not_recoverable,not_recoverable,0.196,0.196,confirmed,not_recoverable,JH1 ATP not JH2 (yaml)
PPARG/PPARA,A,9V8H,1,AB,BRL,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/9V8H_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/9V8H_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,chain B is 11-residue peptide (yaml: keep PG08-NL peptide); confirmed in pdbqt,not_recoverable,not_recoverable,7.085,1.636,confirmed,not_recoverable,chain B is 11-residue peptide (yaml: keep PG08-NL peptide); confirmed in pdbqt
PPARG/PPARA,B,6LXA,1,A,EPA,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/6LXA_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6LXA_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,shared PPARA receptor with PPARA/PPARD,not_recoverable,not_recoverable,7.857,1.401,confirmed,not_recoverable,shared PPARA receptor with PPARA/PPARD
PPARA/PPARD,A,6LXA,0,A,EPA,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/6LXA_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/6LXA_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,same file as PPARG/PPARA pocket B,not_recoverable,not_recoverable,7.857,1.401,confirmed,not_recoverable,same file as PPARG/PPARA pocket B
PPARA/PPARD,B,5U3Q,1,A,7UJ,data/jcim_chembl_universe_v0/local_track_b_v0/receptors/5U3Q_receptor.pdbqt,1,data/jcim_chembl_universe_v0/local_track_b_v0/boxes/5U3Q_box.json,1,cognate_heavy_atom_AABB+5A_min20,none_in_pdbqt,yaml: LBD agonist 1 not PEG,not_recoverable,not_recoverable,1.51,1.51,confirmed,not_recoverable,yaml: LBD agonist 1 not PEG
