pair,ligand_id,master_score_A,master_score_B,source_score_A,source_score_B,source_file,abs_delta_A,abs_delta_B,status
EGFR/HER2,EH40_03,8.992,9.707,8.992,9.707,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,0.000000,0.000000,MATCH
EGFR/HER2,EH120_066,8.818,8.628,8.818,8.628,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,0.000000,0.000000,MATCH
EGFR/HER2,EH120_108,8.011,7.852,8.011,7.852,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,0.000000,0.000000,MATCH
EGFR/HER2,EH40_40,7.7,8.379,7.7,8.379,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,0.000000,0.000000,MATCH
EGFR/HER2,EH120_086,10.433,10.698,10.433,10.698,data/egfr_her2_uniform_rdkit_v1/tables/scores_vina_mode1_fiveseed.csv,0.000000,0.000000,MATCH
PIK3CA/mTOR,PM48_28,8.226,9.343,8.226,9.343,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
PIK3CA/mTOR,PM48_45,9.596,9.339,9.596,9.339,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
PIK3CA/mTOR,PM48_07,9.278,10.489,9.278,10.489,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
PIK3CA/mTOR,PM48_22,7.429,7.951,7.429,7.951,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
PIK3CA/mTOR,PM48_37,7.835,7.888,7.835,7.888,data/pik3ca_mtor_panel48_rdkit_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
AChE/BChE,AB_065,11.135,9.995,11.135,9.995,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
AChE/BChE,AB_100,9.776,8.384,9.776,8.384,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
AChE/BChE,AB_058,11.041,10.394,11.041,10.394,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
AChE/BChE,AB_074,8.259,6.904,8.259,6.904,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
AChE/BChE,AB_056,12.777,9.05,12.777,9.05,data/ache_bche_panel_v0/tables/ablation_ligand_scores.csv,0.000000,0.000000,MATCH
JAK1/JAK2,J1J2_039,8.397,8.84,8.397,8.84,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/JAK2,J1J2_029,10.413,11.806,10.413,11.806,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/JAK2,J1J2_047,9.394,9.296,9.394,9.296,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/JAK2,J1J2_024,9.512,8.9,9.512,8.9,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/JAK2,J1J2_108,7.984,7.978,7.984,7.978,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/TYK2,J1TYK2_001,8.558,8.142,8.558,8.142,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/TYK2,J1TYK2_094,9.172,9.318,9.172,9.318,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/TYK2,J1TYK2_085,10.684,9.513,10.684,9.513,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/TYK2,J1TYK2_102,8.185,8.378,8.185,8.378,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
JAK1/TYK2,J1TYK2_061,10.374,9.741,10.374,9.741,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
F2/F10,F2F10_043,10.643,9.945,10.643,9.945,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
F2/F10,F2F10_076,10.499,10.072,10.499,10.072,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
F2/F10,F2F10_013,8.434,8.942,8.434,8.942,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
F2/F10,F2F10_062,9.371,10.028,9.371,10.028,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
F2/F10,F2F10_102,9.392,8.719,9.392,8.719,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
PPARG/PPARA,PGPA_012,8.539,9.024,8.539,9.024,data/jcim_chembl_universe_v0/local_track_b_v0/tables/scores_vina_mode1_v1.csv,0.000000,0.000000,MATCH
