table,row,column,displayed_value,raw_value,source_file,source_row,calculation,rounding_rule,status
Table1,EGFR/HER2,n_scored_D/A/B,28 / 37 / 31,28/37/31,results/canonical/class_counts.csv,EGFR/HER2,complete-case theta6,as_typeset,MATCH
Table1,EGFR/HER2,PDB,3POZ/3RCD,3POZ/3RCD,analysis_config.RECEPTORS,EGFR/HER2,config,verbatim,MATCH
Table1,EGFR/HER2,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,EGFR/HER2,PRIMARY E,verbatim,MATCH
Table1,EGFR/HER2,quota_D/A/B/N,28 / 38 / 32 / 12,"(28, 38, 32, 12)",panel construction CSVs / Table 1 prose,EGFR/HER2,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,JAK1/JAK2,n_scored_D/A/B,32 / 32 / 32,32/32/32,results/canonical/class_counts.csv,JAK1/JAK2,complete-case theta6,as_typeset,MATCH
Table1,JAK1/JAK2,PDB,6N7A/8BXH,6N7A/8BXH,analysis_config.RECEPTORS,JAK1/JAK2,config,verbatim,MATCH
Table1,JAK1/JAK2,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,JAK1/JAK2,PRIMARY E,verbatim,MATCH
Table1,JAK1/JAK2,quota_D/A/B/N,32 / 32 / 32 / 14,"(32, 32, 32, 14)",panel construction CSVs / Table 1 prose,JAK1/JAK2,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,JAK1/TYK2,n_scored_D/A/B,31 / 32 / 32,31/32/32,results/canonical/class_counts.csv,JAK1/TYK2,complete-case theta6,as_typeset,MATCH
Table1,JAK1/TYK2,PDB,6N7A/3LXP,6N7A/3LXP,analysis_config.RECEPTORS,JAK1/TYK2,config,verbatim,MATCH
Table1,JAK1/TYK2,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,JAK1/TYK2,PRIMARY E,verbatim,MATCH
Table1,JAK1/TYK2,quota_D/A/B/N,32 / 32 / 32 / 14,"(32, 32, 32, 14)",panel construction CSVs / Table 1 prose,JAK1/TYK2,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,PIK3CA/mTOR,n_scored_D/A/B,18 / 14 / 12,18/14/12,results/canonical/class_counts.csv,PIK3CA/mTOR,complete-case theta6,as_typeset,MATCH
Table1,PIK3CA/mTOR,PDB,4L23/4JT6,4L23/4JT6,analysis_config.RECEPTORS,PIK3CA/mTOR,config,verbatim,MATCH
Table1,PIK3CA/mTOR,exhaustiveness,16,16,docs/PROTOCOL_LEVELS.md,PIK3CA/mTOR,PRIMARY E,verbatim,MATCH
Table1,PIK3CA/mTOR,quota_D/A/B/N,18 / 14 / 12 / 4,"(18, 14, 12, 4)",panel construction CSVs / Table 1 prose,PIK3CA/mTOR,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,AChE/BChE,n_scored_D/A/B,27 / 26 / 28,27/26/28,results/canonical/class_counts.csv,AChE/BChE,complete-case theta6,as_typeset,MATCH
Table1,AChE/BChE,PDB,4EY7/4BDS,4EY7/4BDS,analysis_config.RECEPTORS,AChE/BChE,config,verbatim,MATCH
Table1,AChE/BChE,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,AChE/BChE,PRIMARY E,verbatim,MATCH
Table1,AChE/BChE,quota_D/A/B/N,28 / 28 / 28 / 16,"(28, 28, 28, 16)",panel construction CSVs / Table 1 prose,AChE/BChE,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,F2/F10,n_scored_D/A/B,31 / 32 / 32,31/32/32,results/canonical/class_counts.csv,F2/F10,complete-case theta6,as_typeset,MATCH
Table1,F2/F10,PDB,4UDW/2JKH,4UDW/2JKH,analysis_config.RECEPTORS,F2/F10,config,verbatim,MATCH
Table1,F2/F10,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,F2/F10,PRIMARY E,verbatim,MATCH
Table1,F2/F10,quota_D/A/B/N,32 / 32 / 32 / 14,"(32, 32, 32, 14)",panel construction CSVs / Table 1 prose,F2/F10,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,PPARG/PPARA,n_scored_D/A/B,32 / 31 / 32,32/31/32,results/canonical/class_counts.csv,PPARG/PPARA,complete-case theta6,as_typeset,MATCH
Table1,PPARG/PPARA,PDB,9V8H/6LXA,9V8H/6LXA,analysis_config.RECEPTORS,PPARG/PPARA,config,verbatim,MATCH
Table1,PPARG/PPARA,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,PPARG/PPARA,PRIMARY E,verbatim,MATCH
Table1,PPARG/PPARA,quota_D/A/B/N,32 / 32 / 32 / 14,"(32, 32, 32, 14)",panel construction CSVs / Table 1 prose,PPARG/PPARA,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table1,PPARA/PPARD,n_scored_D/A/B,32 / 32 / 32,32/32/32,results/canonical/class_counts.csv,PPARA/PPARD,complete-case theta6,as_typeset,MATCH
Table1,PPARA/PPARD,PDB,6LXA/5U3Q,6LXA/5U3Q,analysis_config.RECEPTORS,PPARA/PPARD,config,verbatim,MATCH
Table1,PPARA/PPARD,exhaustiveness,8,8,docs/PROTOCOL_LEVELS.md,PPARA/PPARD,PRIMARY E,verbatim,MATCH
Table1,PPARA/PPARD,quota_D/A/B/N,32 / 32 / 32 / 14,"(32, 32, 32, 14)",panel construction CSVs / Table 1 prose,PPARA/PPARD,construction quota not Table2 n,verbatim,QUOTA_NOT_N_SCORED
Table2,EGFR/HER2,n_scored,28 / 37 / 31,28 / 37 / 31,primary_summary_min.csv,EGFR/HER2,n_dual/A/B,typeset,MATCH
Table2,EGFR/HER2,D_vs_A,0.663,0.6631,primary_directional_auroc.csv / primary_summary_min.csv,EGFR/HER2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,EGFR/HER2,D_vs_A_lo,0.521,0.5212,primary_directional_auroc.csv / primary_summary_min.csv,EGFR/HER2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,EGFR/HER2,D_vs_A_hi,0.792,0.7915,primary_directional_auroc.csv / primary_summary_min.csv,EGFR/HER2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
Table2,EGFR/HER2,D_vs_B,0.334,0.3341,primary_directional_auroc.csv / primary_summary_min.csv,EGFR/HER2,class-stratified B=2000 seed=20260729,3dp from 4dp CSV,ROUNDING_MATCH
