file,claim,matched_text,context,expected,status
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"r and direction. On EGFR/HER2, the EGFR-pocket AUROC for dual-versus-B-only was 0.334 and rose to 0.780 against neither (difference 0.446 [0.259, 0.632]); JAK1/TYK2 ",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"rences. Using the EGFR-pocket score, the EGFR/HER2 dual-versus-B-only AUROC was 0.334 and rose to 0.780 against neither (difference 0.446 [0.259, 0.632]). Using the ",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"6.  Under unified \(\theta=6.0\) labels, the two directional AUROCs ranged from 0.334 to 0.728, whereas the descriptive weaker-arm \(\mathrm{summary}_{\min}\) ranged",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"728, whereas the descriptive weaker-arm \(\mathrm{summary}_{\min}\) ranged from 0.334 to 0.692. The PPARG/PPARA \(\mathrm{summary}_{\min}\) interval lay entirely abo",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"649 [0.511, 0.746]), the EGFR/HER2 and F2/F10 intervals lay entirely below 0.5 (0.334 [0.197, 0.471] and 0.345 [0.216, 0.482]), and the remaining 5 pairs crossed 0.5",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"--:|----------------------| | EGFR/HER2 | 28 / 37 / 31 | 0.663 [0.521, 0.792] | 0.334 [0.197, 0.471] | 0.334 [0.197, 0.471] | | JAK1/JAK2 | 32 / 32 / 32 | 0.588 [0.4",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"---| | EGFR/HER2 | 28 / 37 / 31 | 0.663 [0.521, 0.792] | 0.334 [0.197, 0.471] | 0.334 [0.197, 0.471] | | JAK1/JAK2 | 32 / 32 / 32 | 0.588 [0.448, 0.723] | 0.728 [0.6",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,".613, 0.906], whereas their directional \(\mathrm{summary}_{\min}\) values were 0.334 and 0.365 (Figure 2C; Table 3). The PIK3CA/mTOR neither sample was \(n=4\). Bec",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334,"as Table 2; the production seed matches the primary \(\mathrm{summary}_{\min}\) 0.334, and the five-seed range is 0.317–0.349. The EGFR/HER2 fixed-score task differe",0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR summary_min,0.334, denominator. Class flips: EGFR/HER2 5/109 (primary \(\mathrm{summary}_{\min}\) 0.334); AChE/BChE 1/94 (CHEMBL659; max 0.606 to 0.629); PPARA/PPARD 1/110 (CHEMBL121;,0.3341,MATCH
docs/MANUSCRIPT_JCIM_EN.md,analysis Python,3.12.3,"nly with RDKit, NumPy, pandas, SciPy, and scikit-learn (analysis freeze: Python 3.12.3; Table S1). Ligand PDBQT for Track-B, PIK3CA/mTOR, and AChE/BChE follow recover",3.12.3,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR scaffold cluster CI,"[0.232, 0.637]","he frozen scaffold and document groupings, the EGFR/HER2 cluster intervals were [0.232, 0.637] (scaffold) and [0.117, 0.636] (document); both exclude 0. JAK1/TYK2 scaffold-cl",MATCH,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR document cluster CI,"[0.117, 0.636]","t groupings, the EGFR/HER2 cluster intervals were [0.232, 0.637] (scaffold) and [0.117, 0.636] (document); both exclude 0. JAK1/TYK2 scaffold-cluster was [0.220, 0.631] (excl",MATCH,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR D-vs-neither CI,"[0.551, 0.926]"," dual-versus-neither AUROCs ranged from 0.514 to 0.770. EGFR/HER2 reached 0.759 [0.551, 0.926] and JAK1/TYK2 reached 0.770 [0.613, 0.906], whereas their directional \(\mathrm",MATCH,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR D-vs-neither CI,"[0.551, 0.926]",":|----------------:|-------------------------------------:| | EGFR/HER2 | 0.759 [0.551, 0.926] | 12 | 1 / 4 / 6 / 0 | 0.351 | | JAK1/JAK2 | 0.730 [0.558, 0.882] | 14 | 6 / 5 ",MATCH,MATCH
docs/MANUSCRIPT_JCIM_EN.md,EGFR Top-10 composition,1 / 4 / 6 / 0,"-----------------------------------:| | EGFR/HER2 | 0.759 [0.551, 0.926] | 12 | 1 / 4 / 6 / 0 | 0.351 | | JAK1/JAK2 | 0.730 [0.558, 0.882] | 14 | 6 / 5 / 0 / 0 | 1.875 | | J",MATCH,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"照类别及其对应化合物集合改变了表观对接判别，且该变化因靶对和方向而异：EGFR/HER2 中 EGFR 口袋评分对 dual–B-only 的 AUROC 为 0.334，对 neither 升至 0.780（差值 0.446 [0.259, 0.632]）；JAK1/TYK2 出现类似差值（0.444 [0.261, 0.63",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"而异。EGFR/HER2 与 JAK1/TYK2 的固定评分差最大。EGFR/HER2 使用 EGFR 口袋评分时，dual–B-only 的 AUROC 为 0.334，将对照换成 neither 后升至 0.780，差值 0.446 [0.259, 0.632]。JAK1/TYK2 使用 JAK1 口袋评分时，对应差值为 0",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,信区间包含 0（Figure 2A；Table S4）。簇重采样见 3.6 节。  在统一 \(\theta=6.0\) 标签下，两个方向性 AUROC 介于 0.334 至 0.728，描述性较弱臂 \(\mathrm{summary}_{\min}\) 介于 0.334 至 0.692。PPARG/PPARA 的 \(\ma,0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"ta=6.0\) 标签下，两个方向性 AUROC 介于 0.334 至 0.728，描述性较弱臂 \(\mathrm{summary}_{\min}\) 介于 0.334 至 0.692。PPARG/PPARA 的 \(\mathrm{summary}_{\min}\) 区间完全高于 0.5（0.649 [0.511, 0.74",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"{summary}_{\min}\) 区间完全高于 0.5（0.649 [0.511, 0.746]），EGFR/HER2 与 F2/F10 完全低于 0.5（0.334 [0.197, 0.471] 和 0.345 [0.216, 0.482]），其余 5 对穿过 0.5（Figure 2B；Table 2）。这些数值是靶对特",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"--:|----------------------| | EGFR/HER2 | 28 / 37 / 31 | 0.663 [0.521, 0.792] | 0.334 [0.197, 0.471] | 0.334 [0.197, 0.471] | | JAK1/JAK2 | 32 / 32 / 32 | 0.588 [0.4",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,"---| | EGFR/HER2 | 28 / 37 / 31 | 0.663 [0.521, 0.792] | 0.334 [0.197, 0.471] | 0.334 [0.197, 0.471] | | JAK1/JAK2 | 32 / 32 / 32 | 0.588 [0.448, 0.723] | 0.728 [0.6",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,", 0.926]，JAK1/TYK2 为 0.770 [0.613, 0.906]，而其方向性 \(\mathrm{summary}_{\min}\) 分别为 0.334 和 0.365（Figure 2C；Table 3）。PIK3CA/mTOR 的 neither 样本为 \(n=4\)。Table 3 同时改变了评分聚合和",0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,。EGFR/HER2 使用与 Table 2 相同的校正 cognate 重原子盒子；生产种子与主分析 \(\mathrm{summary}_{\min}\) 0.334 一致，五种子范围为 0.317–0.349。EGFR/HER2 的固定评分任务差在五个种子上均为正。PPARG/PPARA 的同姿态 RTMScore 与 G,0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR summary_min,0.334,把全部已评分配体与 dump 缺失记录混为一谈。EGFR/HER2 有 5/109 个类别翻转（主分析 \(\mathrm{summary}_{\min}\) 0.334）；AChE/BChE 有 1/94 个翻转（CHEMBL659；max 0.606 变为 0.629）；PPARA/PPARD 有 1/110 个翻转（CHE,0.3341,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,analysis Python,3.12.3,计算及统计分析均在 Python 环境中完成，主要使用 RDKit、NumPy、pandas、SciPy 和 scikit-learn（分析冻结：Python 3.12.3；Table S1）。Track-B、PIK3CA/mTOR 与 AChE/BChE 配体 PDBQT 遵循已恢复的 RDKit/Meeko 脚本，精确生产文件,3.12.3,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR scaffold cluster CI,"[0.232, 0.637]","/HER2 口袋 A 的配体层固定评分差值为 0.446 [0.259, 0.632]。将校正盒评分代入原冻结的骨架簇与文献簇后，EGFR/HER2 簇区间为 [0.232, 0.637]（骨架）和 [0.117, 0.636]（文献），均排除 0。JAK1/TYK2 骨架簇区间为 [0.220, 0.631]，排除 0；文献簇无法在本冻结中重算",MATCH,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR document cluster CI,"[0.117, 0.636]","值为 0.446 [0.259, 0.632]。将校正盒评分代入原冻结的骨架簇与文献簇后，EGFR/HER2 簇区间为 [0.232, 0.637]（骨架）和 [0.117, 0.636]（文献），均排除 0。JAK1/TYK2 骨架簇区间为 [0.220, 0.631]，排除 0；文献簇无法在本冻结中重算（配体–文献分组映射与 ChEMBL 3",MATCH,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR D-vs-neither CI,"[0.551, 0.926]","|  采用双靶虚拟筛选常用的双口袋平均排序时，dual–neither 比较 AUROC 介于 0.514 至 0.770。EGFR/HER2 为 0.759 [0.551, 0.926]，JAK1/TYK2 为 0.770 [0.613, 0.906]，而其方向性 \(\mathrm{summary}_{\min}\) 分别为 0.334 和 ",MATCH,MATCH
docs/MANUSCRIPT_JCIM_ZH.md,EGFR D-vs-neither CI,"[0.551, 0.926]",":|----------------:|-------------------------------------:| | EGFR/HER2 | 0.759 [0.551, 0.926] | 12 | 1 / 4 / 6 / 0 | 0.351 | | JAK1/JAK2 | 0.730 [0.558, 0.882] | 14 | 6 / 5 ",MATCH,MATCH
