smiles,pAct_JNK2
C#CCNC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,7.23
C#Cc1csc(NC(=O)Cc2ccc(OC)cc2)c1C(=O)OCC,4.55
C=C(C)CNC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.2
C=CC(=O)Nc1ccc(C(=O)Nc2cccc(-n3cc(NC(=O)Nc4cccc5ccccc45)cn3)c2)cc1,5.88
C=CC(=O)Nc1cccc(C(=O)Nc2cccc(-n3cc(NC(=O)Nc4cccc5ccccc45)cn3)c2)c1,6.08
C=CCNC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.9
CC(=O)NCC(=O)N1CCC(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)CC1,7.34
CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,7.31
CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3nnc4ccccc43)n2)CC1,6.64
CC(=O)Nc1cc(-c2n[nH]c(=O)n2-c2ccc3ccccc3c2)ccn1,5.82
CC(=O)Nc1cc(N)c(C#N)c(-c2ccccc2)n1,5.11
CC(=O)Nc1cc(N)c(C#N)c(NC(C)C)n1,5.52
CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,6.33
CC(=O)Nc1cc(N)c(C#N)c(OC2CCOC2)n1,5.54
CC(=O)Nc1cc(N)c(C#N)c(OCCC(=O)O)n1,5.31
CC(=O)Nc1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,6.53
CC(C)(C)C(=O)N1CCC[C@H](Nc2nccc(-n3c(CC#N)cnc3-c3ccc(Cl)c(Cl)c3)n2)C1,7.09
CC(C)(C)NC(=O)c1cccc(-n2cc(NC(=O)Nc3cccc4ccccc34)cn2)c1,5.39
CC(C)(C)Nc1nc(N[C@H]2CC[C@H](O)CC2)ncc1C(N)=O,7.75
