purchase_priority,compound_id,ligand_id,group,compound_name,chembl_id,molecular_formula,molecular_weight,inchi_key,smiles,smiles_validation,pose_grade_overall,pass_md_overall,RMSD_JNK1,RMSD_JNK2,RMSD_JNK3,hinge_occ_JNK1,buy_reason,assay_panel,vendor_suggestion
1,control_SP600125,SP600125,G3_control,SP600125,CHEMBL7064,C14H8N2O,220.23,ACPOUJIDANTYHO-UHFFFAOYSA-N,O=C1c2ccccc2-c2n[nH]c3cccc1c23,RDKit_validated,F,False,0.1243,0.15825,0.16665,0.148,G3 assay calibration control (always included),JNK1+JNK2+JNK3 IC50 same batch,Selleck/MCE/Cayman (CAS 129-56-6)
2,control_CC-90001,CC-90001,G3_control,CC-90001,CHEMBL4847106,C16H27N5O2,321.43,QBBRJRLJWXRSHQ-CKYFFXLPSA-N,C[C@@H]1CC[C@@H](Nc2nc(NC(C)(C)C)ncc2C(N)=O)C[C@H]1O,RDKit_validated; matches literature_benchmarks,A,True,1.0692,1.1938,1.101,0.605,G3 assay calibration control (always included),JNK1+JNK2+JNK3 IC50 same batch,MedChemExpress / custom synthesis
3,control_CC-930,CC-930,G3_control,Tanzisertib (CC-930),CHEMBL1950289,C21H23F3N6O2,448.45,IBGLGMOPHJQDJB-IHRRRGAJSA-N,O[C@H]1CC[C@H](Nc2ncc3nc(Nc4c(F)cc(F)cc4F)n([C@H]4CCOC4)c3n2)CC1,RDKit_validated; matches literature_benchmarks,F,False,0.564,1.0963,0.4242,0.0002,G3 assay calibration control (always included),JNK1+JNK2+JNK3 IC50 same batch,MedChemExpress / Cayman
4,control_E1,E1,G3_control,E1,CHEMBL6177556,C22H25BrN6O3,501.39,UBZQKRQTHMVINB-UHFFFAOYSA-N,COc1ccc(Nc2ncc(Br)c(Nc3ccc(OCCN(C)C)cc3C(N)=O)n2)cc1,RDKit_validated; matches literature_benchmarks,B,True,1.2483,1.3121,1.8178,0.397,G3 assay calibration control (always included),JNK1+JNK2+JNK3 IC50 same batch,Literature supplier / custom synthesis
5,690,690,G1,,,C18H20N4O2,324.38,MCNXOFSIOYVWLS-UHFFFAOYSA-N,Cc1ccc(NC(=O)Nc2ncc3c(n2)CC(C)(C)CC3=O)cc1,RDKit_validated,A,True,0.7216,1.9827,0.6079,1.0,"G1 pass_md_overall grade=A; triple-isoform MD pass; chemotype_sim=0.233",JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 690)
6,2232,2232,G1,,,C17H17ClN4O2,344.80,FLFITPPGIVNIPZ-UHFFFAOYSA-N,CC1(C)CC(=O)c2cnc(NC(=O)Nc3ccc(Cl)cc3)nc2C1,RDKit_validated,A,True,0.5653,0.2949,1.3053,1.0,"G1 pass_md_overall grade=A; chemotype_sim=0.230",JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 2232)
7,2157,2157,G1,,,C16H19N3O2,285.35,DQIHJFVJOHHOFX-UHFFFAOYSA-N,Cc1cnc(NCc2cccc3c2OCCCO3)nc1C,RDKit_validated,A,True,0.4856,1.1273,0.3538,0.849,"G1 pass_md_overall grade=A; chemotype_sim=0.225",JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 2157)
8,2231,2231,G2,,,C17H19FN4O2,330.36,BPOKFKZPHBDWIT-UHFFFAOYSA-N,COc1nc(NCc2ccccc2CN2CCCC2=O)ncc1F,RDKit_validated,C,False,0.4812,1.1729,0.6555,0.913,G2 backup: pass JNK1 only (grade C); JNK2/3 pose risk,JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 2231)
9,1280,1280,G2,,,C18H20ClN3O3,361.83,CFBLHADONRKWIB-UHFFFAOYSA-N,O=C(NCCC(=O)N1CCN(c2ccc(Cl)cc2)CC1)c1ccoc1,RDKit_validated,F,False,1.9121,1.0034,1.5616,0.004,G2 off-target pose backup: JNK2/3 stable; JNK1 failed QC,JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 1280)
10,4795,4795,G2,,,C21H23ClN2O3,386.88,NLMPSKWWWYWIMS-UHFFFAOYSA-N,O=C(c1ccc(N2CCCC2)c(Cl)c1)N1CCOc2ccc(CO)cc2C1,RDKit_validated,F,False,0.8174,1.2342,0.4321,0.039,G2 off-target pose backup: JNK2/3 stable; JNK1 failed QC,JNK1+JNK2+JNK3 IC50 same batch,Enamine — order by SMILES (library ID 4795)
