"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL259060","","None","526.41","1","4.67","11g","COC(=O)c1c(-c2ccccc2)c2cc(Br)ccc2c(=O)n1Cc1ccc(S(C)(=O)=O)cc1","IC50","'='","34.0","nM","7.47","","","UO_0000065","14.19","0.31","2.80","9.06","0","CHEMBL934576","Inhibition of JNK2","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1142440","1","Scientific Literature","Bioorg Med Chem","2008","None","","","","34.0"
"CHEMBL388978","STAUROSPORINE","None","466.54","0","4.35","staurosporine","CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4","IC50","'='","2270.0","nM","5.64","","","UO_0000065","12.10","0.22","1.29","8.13","0","CHEMBL3807908","Inhibition of JNK2 (unknown origin) by mobility shift assay","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL3804794","1","Scientific Literature","Eur J Med Chem","2016","None","","","","2270.0"
"CHEMBL4245507","","None","437.57","0","3.06","28","O=C(Cc1cccc(OCCCN2CCNCC2)c1)Nc1nc(-c2ccncc2)cs1","IC50","'>'","10000.0","nM","","","","UO_0000065","","","","","0","CHEMBL4233344","Inhibition of JNK2 (unknown origin)","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL4229420","1","Scientific Literature","Bioorg Med Chem Lett","2018","None","","","","10000.0"
"CHEMBL1681995","","None","387.38","0","4.13","7","CCOC(=O)c1c(C(F)(F)F)csc1NC(=O)Cc1ccc(OC)cc1","IC50","'>'","50000.0","nM","","","","UO_0000065","","","","","0","CHEMBL1686759","Inhibition of recombinant JNK2 after 60 mins by TR-FRET assay","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1681717","1","Scientific Literature","Bioorg Med Chem Lett","2011","None","","","","50.0"
"CHEMBL1681996","","None","344.39","0","2.99","8","CCOC(=O)c1c(C#N)csc1NC(=O)Cc1ccc(OC)cc1","IC50","'='","930.0","nM","6.03","","","UO_0000065","17.51","0.34","3.04","6.82","0","CHEMBL1686759","Inhibition of recombinant JNK2 after 60 mins by TR-FRET assay","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1681717","1","Scientific Literature","Bioorg Med Chem Lett","2011","None","","","","0.93"
"CHEMBL1682001","","None","416.54","0","3.89","18","COC(=O)c1c(C)csc1NC(=O)Cc1ccc(OCCCN2CCCC2)cc1","IC50","'='","2571.0","nM","5.59","","","UO_0000065","13.42","0.26","1.70","8.24","0","CHEMBL1686759","Inhibition of recombinant JNK2 after 60 mins by TR-FRET assay","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1681717","1","Scientific Literature","Bioorg Med Chem Lett","2011","None","","","","2571.0"
"CHEMBL1682011","","None","349.42","0","3.57","32","Cc1csc(NC(=O)Cc2cccc3ncccc23)c1-c1ncn[nH]1","IC50","'='","125.0","nM","6.90","","","UO_0000065","19.76","0.38","3.33","8.26","0","CHEMBL1686759","Inhibition of recombinant JNK2 after 60 mins by TR-FRET assay","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1681717","1","Scientific Literature","Bioorg Med Chem Lett","2011","None","","","","125.0"
"CHEMBL1078665","","None","477.35","0","4.89","5,PHA-745052","Cc1cc(OCc2ccc(F)cc2F)c(Br)c(=O)n1Cc1ccc(CN(C)C)cc1","IC50","'>'","200000.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL1110044","Inhibition of JNK2","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1157781","1","Scientific Literature","Bioorg Med Chem Lett","2010","None","","","","200.0"
"CHEMBL1096092","","None","444.09","1","5.02","20","O=c1c(Br)c(OCc2ccc(F)cc2)cnn1-c1c(Cl)cccc1Cl","IC50","'>'","200000.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL1110044","Inhibition of JNK2","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1157781","1","Scientific Literature","Bioorg Med Chem Lett","2010","None","","","","200.0"
"CHEMBL1099099","","None","465.25","0","3.95","32","COC(=O)c1ccc(C)c(-n2ncc(OCc3ccc(F)cc3F)c(Br)c2=O)c1","IC50","'>'","200000.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL1110044","Inhibition of JNK2","B","BAO_0000357","single protein format","None","None","None","None","None","","","","CHEMBL4179","Mitogen-activated protein kinase 9","Homo sapiens","SINGLE PROTEIN","CHEMBL1157781","1","Scientific Literature","Bioorg Med Chem Lett","2010","None","","","","200.0"
