smiles,mol_id,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
CC(C)Oc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,7.590371,6.4187107,5.6169,7.590371,1.1716604,2.4536431378127315,0.7678628003049776,0.7603621079156563
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)ncc32)cs1,,6.363361,6.772024,8.547109,8.547109,-2.1837478,2.8558913964034556,0.5320600132020054,0.7433944776648614
CNC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.272301,7.3677955,8.935261,8.935261,-1.6629596,3.7281849895655075,0.38968895716912905,0.74117980199273
CNC(=O)C1Cc2nc(-c3ccc4ccccc4c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.272301,7.3677955,8.935261,8.935261,-1.6629596,3.7281849895655075,0.38968895716912905,0.74117980199273
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,6.7788196,7.4812546,8.731402,8.731402,-1.9525828,3.774511550344818,0.47906820544891904,0.7399779508449722
CNC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,6.7788196,7.4812546,8.731402,8.731402,-1.9525828,3.774511550344818,0.47906820544891904,0.7399779508449722
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,6.7339916,7.442118,8.962933,8.962933,-2.228941,3.75119152162552,0.41088734737554733,0.7386367208695721
CCOC(=O)C1Cc2nc(-c3ccc(Cl)c(Cl)c3)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,6.7339916,7.442118,8.962933,8.962933,-2.228941,3.75119152162552,0.41088734737554733,0.7386367208695721
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,,6.3600307,6.7802453,8.382714,8.382714,-2.0226836,2.7830840037960627,0.5320600132020054,0.7350309073038259
C/C=C\c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,7.05536,6.309659,5.6062136,7.05536,0.74570084,2.6762736931473015,0.827666336184374,0.7326457191329164
C/C=C/c1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,7.05536,6.309659,5.6062136,7.05536,0.74570084,2.6762736931473015,0.827666336184374,0.7326457191329164
CNC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,,6.351749,6.7205567,8.367825,8.367825,-2.0160756,2.664411676123734,0.5074270413350219,0.7303478761500847
CC(C)(O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.9079723,7.223287,6.211668,7.9079723,0.68468523,3.041492403580949,0.5121449249771703,0.7255721244667046
CC(C)COc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,7.2057195,6.7080765,5.7234,7.2057195,0.497643,2.470467868549303,0.7217979611001337,0.7240552765029787
CC(C)n1c(=O)ccc2cnc(NC3CCOCC3)nc21,,6.5058846,6.603567,5.34396,6.603567,-0.097682476,2.5862674665860155,0.9347338219991849,0.7218685512322373
CC(C)C(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.5719724,6.629087,5.8463454,6.629087,-0.0571146,2.578827566386739,0.9089356244928047,0.719178218207472
CC(C)n1c(=O)ccc2cnc(N[C@H]3CC[C@H](O)CC3)nc21,,6.507121,6.652415,5.3638787,6.652415,-0.14529371,2.5996647963927124,0.9072015349379458,0.7189332892459827
CNC(=O)c1ccc(C(=O)NCc2c(C(=O)OC)n(-c3ccccc3)c3cc(Cl)ccc3c2=O)cc1,,8.0466385,6.729559,5.9868755,8.0466385,1.3170795,2.3844134689454037,0.38997296248328295,0.7174151520210699
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.0826387,7.4842505,8.348722,8.348722,-1.2660837,3.8123075359846057,0.44729905262422437,0.7167560514568079
CCOC(=O)C1Cc2nc(-c3ccc4c(c3)OCO4)n(-c3ccnc(N[C@@H]4CCCN(C(=O)C5CC5)C4)n3)c2C1,,7.0826387,7.4842505,8.348722,8.348722,-1.2660837,3.8123075359846057,0.44729905262422437,0.7167560514568079
CC(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.7280993,7.271082,6.3434944,7.7280993,0.45701742,2.9170108809345496,0.5237045616796614,0.7165377577578491
CCCN1Cc2cccc(C(=O)NCc3ccc4c(c3)OCO4)c2C1=O,,6.546112,5.6615834,4.6796837,6.546112,0.88452864,2.2837464125405837,0.898388631060955,0.7150681063250666
CC(C)Nc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,,7.182064,6.3697567,5.684279,7.182064,0.81230736,2.4966307036715314,0.6853566051884361,0.7148494979487259
CCNC(=O)N1CCC(Nc2ncc3ccc(=O)n(C(C)C)c3n2)CC1,,6.597456,6.6742387,5.9711328,6.6742387,-0.0767827,2.588642766597486,0.8718035918026087,0.7145192578690769
CCOc1nc(C(=O)NCc2ccccc2)cc(N)c1C#N,,6.575711,6.3376155,5.092455,6.575711,0.23809528,2.1751707517277,0.8766617058540564,0.7138803877962956
CN(C)S(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.9960284,7.195139,6.0842295,7.9960284,0.8008895,3.113338391389979,0.4193571640025237,0.7124600385182578
CCOc1nc(C(=O)NCc2cccnc2)cc(N)c1C#N,,6.595386,6.6471214,5.2427244,6.6471214,-0.0517354,2.382018890685517,0.858341736670672,0.712370627471011
CCNC(=O)[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1,,7.7744217,7.267047,6.2999597,7.7744217,0.50737476,2.9220165382336294,0.4865550913218293,0.7123003713146467
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(C)nc32)cs1,,6.2688837,6.8285513,8.093404,8.093404,-1.8245201,2.855347174652925,0.5070438501512778,0.7120257637530867
