feature,shap_diff_sel_vs_non
Bit_182,0.09754130989313126
Bit_231,0.04587564989924431
Bit_230,0.03104577586054802
NumHeteroatoms,0.030813705176115036
Bit_43,0.020477695390582085
Bit_350,0.019967250525951385
Bit_9,0.01953505165874958
Bit_407,0.014821311458945274
NumAromaticRings,0.010532916523516178
FractionCSP3,0.009146598167717457
MolWt,0.00852945540100336
NumHAcceptors,0.005531483329832554
Bit_787,0.004438440781086683
Bit_1294,0.00422175507992506
Bit_1647,0.003945128060877323
Bit_702,0.003879943862557411
Bit_1722,0.0037021073512732983
QED,0.0032427916303277016
Bit_1114,0.0031264186836779118
Bit_861,0.0030815345235168934
