feature,mean_abs_shap,mean_shap,direction,example_substructure,example_smiles
Bit_182,0.02489320933818817,-0.009738135151565075,inhibits,C[C@@H](C)Nc(n)n,CS(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1
NumHeteroatoms,0.02415487729012966,0.006692827213555574,promotes,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
MolWt,0.023006733506917953,0.012220846489071846,promotes,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
Bit_656,0.012875383719801903,-0.0026265359483659267,inhibits,,O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nnco1
Bit_231,0.010774461552500725,-0.004706256557255983,inhibits,cc(c)N(CC)CC,CS(=O)(=O)N[C@H]1CC[C@H](Nc2nccc(-n3ccc4c(N5CCC(S(C)(=O)=O)CC5)cccc43)n2)CC1
Bit_1738,0.010009811259806156,-0.00016700006381142884,inhibits,CCC,COC(=O)c1c(C)csc1NC(=O)CN1C(=O)CCc2ccccc21
Bit_43,0.00770393805578351,-0.0001190275143017061,inhibits,cnn,COc1ccc(CC(=O)Nc2ccsc2-n2nccn2)cc1
FractionCSP3,0.007672301959246397,0.00034820547443814576,promotes,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
Bit_1722,0.006809926126152277,9.211972064804286e-05,promotes,Cc,Cc1nnc(-c2sccc2NC(=O)Cc2cccc3ccccc23)o1
Bit_1114,0.006560837849974632,0.0010183471022173762,promotes,,COC(=O)c1n[nH]cc1NC(=O)Cc1cccc2ccccc12
NumAromaticRings,0.00636665802448988,-0.002108110813423991,inhibits,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
Bit_1230,0.006154223345220089,-0.004236813634634018,inhibits,cnc([nH]n)-c(c)s,COc1ccc(CC(=O)Nc2ccsc2-c2nc(C3CC3)n[nH]2)cc1
Bit_230,0.005860776174813509,-0.004089169204235077,inhibits,cc(n)Cn(c)n,O=c1n(Cc2ccccn2)nc(-c2ccnc(NC3CCOCC3)c2)n1-c1ccc2ccccc2c1
MolLogP,0.005767045076936483,-0.0015785376308485866,inhibits,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
Bit_8,0.005398856941610575,-0.004053586628288031,inhibits,ccc(-c(n)n)c(N)s,O=C(Cn1c(=O)ccc2cc(F)c(F)cc21)Nc1sccc1-c1ncon1
Bit_9,0.004698123782873154,-0.0028838953003287315,inhibits,NC1CC1,O=c1[nH]nc(-c2ccnc(NC3CC3)c2)n1-c1ccc2ccccc2c1
BertzCT,0.004691493697464466,-0.0008274685242213309,inhibits,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
QED,0.004609166644513607,-0.0024725357070565224,inhibits,,COC(=O)c1ccccc1NC(=O)Cc1cccc2ccccc12
Bit_350,0.004448660183697939,-0.0029205854516476393,inhibits,cnc(Nc)sc,O=c1[nH]nc(-c2ccnc(Nc3nccs3)c2)n1-c1ccc2ccccc2c1
Bit_114,0.004320295061916113,-0.0012932715471833944,inhibits,,COc1ccc(CC(=O)Nc2ccsc2-c2n[nH]c(C(F)(F)F)n2)cc1
