molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL4519013,,C=Cc1c(C(=O)O)ccc2c1CCc1c-2ccc(O)c1C,5.96,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL38650,,C=Cc1c(C)c(O)cc2c1-c1ccc(O)c(C)c1CC2,5.19,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL4562825,,C=Cc1cc(C(=O)O)cc2c1-c1ccc(O)c(C)c1CC2,5.96,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL4582456,,C=Cc1cc(C(=O)O)cc2c1CCc1c-2ccc(O)c1C,5.55,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL205119,EFFUSOL,C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,4.64,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL4584575,,C=Cc1cc2c(cc1C(=O)O)CCc1c-2ccc(O)c1C,5.89,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL897,PROBENECID,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,5.18,2,c1ccccc1,OAT3,CHEMBL1641348
CHEMBL1144,PRAVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,4.86,1,C1=CC2=CCCCC2CC1,OAT3,CHEMBL1641348
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,4.03,1,c1c[nH]cn1,OAT3,CHEMBL1641348
CHEMBL4525573,,COC(C)c1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,5.08,1,c1ccc2c(c1)CCc1ccccc1-2,OAT3,CHEMBL1641348
CHEMBL6143249,,COc1c(F)c(F)cc(-c2c(C(=O)O)sc3cc(F)ccc23)c1F,6.17,1,c1ccc(-c2csc3ccccc23)cc1,OAT3,CHEMBL1641348
CHEMBL4527448,,COc1cc(C(=O)c2ccc(O)c(OC)c2)ccc1O,5.64,1,O=C(c1ccccc1)c1ccccc1,OAT3,CHEMBL1641348
CHEMBL67,COMBRETASTATIN A4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,4.79,1,C(=Cc1ccccc1)c1ccccc1,OAT3,CHEMBL1641348
CHEMBL270050,,COc1ccc(CNC(=O)c2cc3c(=O)n(Cc4ccc(C(=O)O)cc4)cnc3cn2)cc1,4.23,1,O=C(NCc1ccccc1)c1cc2c(=O)n(Cc3ccccc3)cnc2cn1,OAT3,CHEMBL1641348
CHEMBL4112930,PAMIPARIB,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,4.62,1,O=C1NN=C2CN3CCCC3c3[nH]c4cccc1c4c32,OAT3,CHEMBL1641348
CHEMBL603656,,Cc1cc(-c2nnn(C[C@H]3CC[C@H](C(=O)O)CC3)n2)cc(C(=O)NCc2ccc(F)cc2)n1,5.22,1,O=C(NCc1ccccc1)c1cc(-c2nnn(CC3CCCCC3)n2)ccn1,OAT3,CHEMBL1641348
CHEMBL496942,,Cn1c(=O)n(Cc2ccc(C(=O)O)cc2)c(=O)c2cc(C#CCc3ccccc3)ccc21,4.75,1,O=c1[nH]c2ccc(C#CCc3ccccc3)cc2c(=O)n1Cc1ccccc1,OAT3,CHEMBL1641348
CHEMBL3688197,,N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(CO)c(Cl)c1,6.3,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,OAT3,CHEMBL1641348
CHEMBL3683287,,N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl,6.14,1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,OAT3,CHEMBL1641348
CHEMBL1231530,BETAMIPRON,O=C(O)CCNC(=O)c1ccccc1,5.0,1,c1ccccc1,OAT3,CHEMBL1641348
CHEMBL119625,ZONAMPANEL,O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc21,5.18,1,O=c1[nH]c2ccc(-n3ccnc3)cc2[nH]c1=O,OAT3,CHEMBL1641348
CHEMBL3924161,,O=S(=O)(Nc1ccc(C(F)(F)F)nc1)c1ccccc1C(F)(F)F,5.48,1,O=S(=O)(Nc1cccnc1)c1ccccc1,OAT3,CHEMBL1641348
CHEMBL3929544,,O=S(=O)(Nc1cncc(C(F)(F)F)c1)c1ccccc1C(F)(F)F,5.47,1,O=S(=O)(Nc1cccnc1)c1ccccc1,OAT3,CHEMBL1641348
