molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL6147593,,C#CC1(N(COP(=O)([O-])[O-])C(=O)C(=O)c2c(C)c(C(=O)Nc3ccc(F)c(C#N)c3)n(C)c2C)COC1.[Na+].[Na+],4.97,1,O=C(NC1COC1)C(=O)c1c[nH]c(C(=O)Nc2ccccc2)c1,OAT1,CHEMBL1641347
CHEMBL4519013,,C=Cc1c(C(=O)O)ccc2c1CCc1c-2ccc(O)c1C,4.74,1,c1ccc2c(c1)CCc1ccccc1-2,OAT1,CHEMBL1641347
CHEMBL4562825,,C=Cc1cc(C(=O)O)cc2c1-c1ccc(O)c(C)c1CC2,5.36,1,c1ccc2c(c1)CCc1ccccc1-2,OAT1,CHEMBL1641347
CHEMBL205119,EFFUSOL,C=Cc1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,4.63,1,c1ccc2c(c1)CCc1ccccc1-2,OAT1,CHEMBL1641347
CHEMBL4584575,,C=Cc1cc2c(cc1C(=O)O)CCc1c-2ccc(O)c1C,5.08,1,c1ccc2c(c1)CCc1ccccc1-2,OAT1,CHEMBL1641347
CHEMBL2074590,INDOLE ACETATE,CC(=O)Oc1c[nH]c2ccccc12,4.08,1,c1ccc2[nH]ccc2c1,OAT1,CHEMBL1641347
CHEMBL563,FLURBIPROFEN,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,5.82,1,c1ccc(-c2ccccc2)cc1,OAT1,CHEMBL1641347
CHEMBL571,KETOPROFEN,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,5.869999999999999,2,O=C(c1ccccc1)c1ccccc1,OAT1,CHEMBL1641347
CHEMBL922,ADEFOVIR DIPIVOXIL,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,4.87,1,c1ncc2nc[nH]c2n1,OAT1,CHEMBL1641347
CHEMBL3707347,VERINURAD,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,5.34,1,c1cncc(-c2cccc3ccccc23)c1,OAT1,CHEMBL1641347
CHEMBL5170470,,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-].[Na+],4.89,1,c1cncc(-c2cccc3ccccc23)c1,OAT1,CHEMBL1641347
CHEMBL521,IBUPROFEN,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.1,1,c1ccccc1,OAT1,CHEMBL1641347
CHEMBL897,PROBENECID,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,4.92,5,c1ccccc1,OAT1,CHEMBL1641347
CHEMBL622,ETODOLAC,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,4.3,1,c1ccc2c3c([nH]c2c1)COCC3,OAT1,CHEMBL1641347
CHEMBL388590,BENZBROMARONE,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,5.505,2,O=C(c1ccccc1)c1coc2ccccc12,OAT1,CHEMBL1641347
CHEMBL527,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,4.69,1,O=C(Nc1ccccn1)C1=Cc2ccccc2S(=O)(=O)N1,OAT1,CHEMBL1641347
CHEMBL4525573,,COC(C)c1cc(O)cc2c1-c1ccc(O)c(C)c1CC2,4.37,1,c1ccc2c(c1)CCc1ccccc1-2,OAT1,CHEMBL1641347
CHEMBL6143249,,COc1c(F)c(F)cc(-c2c(C(=O)O)sc3cc(F)ccc23)c1F,5.48,1,c1ccc(-c2csc3ccccc23)cc1,OAT1,CHEMBL1641347
CHEMBL5190525,,COc1cc(C(=O)[O-])ccc1CSc1ccncc1N(C)c1ccc(C#N)c2ccccc12.[Na+],4.59,1,c1ccc(CSc2ccncc2Nc2cccc3ccccc23)cc1,OAT1,CHEMBL1641347
CHEMBL4527448,,COc1cc(C(=O)c2ccc(O)c(OC)c2)ccc1O,5.46,1,O=C(c1ccccc1)c1ccccc1,OAT1,CHEMBL1641347
CHEMBL67,COMBRETASTATIN A4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,4.38,1,C(=Cc1ccccc1)c1ccccc1,OAT1,CHEMBL1641347
CHEMBL6,INDOMETHACIN,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,5.52,1,O=C(c1ccccc1)n1ccc2ccccc21,OAT1,CHEMBL1641347
CHEMBL154,NAPROXEN,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,5.24,1,c1ccc2ccccc2c1,OAT1,CHEMBL1641347
CHEMBL4112930,PAMIPARIB,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,4.32,1,O=C1NN=C2CN3CCCC3c3[nH]c4cccc1c4c32,OAT1,CHEMBL1641347
