molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold,source_target,source_chembl_id
CHEMBL691,ETHINYL ESTRADIOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.66,1,c1ccc2c(c1)CCC1C2CCC2CCCC21,OCT2,CHEMBL1743122
CHEMBL1200629,VECURONIUM BROMIDE,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1.[Br-],5.46,1,C1CCN(C2CCC3CCC4C5CC([NH+]6CCCCC6)CC5CCC4C3C2)CC1,OCT2,CHEMBL1743122
CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.57,1,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,OCT2,CHEMBL1743122
CHEMBL6151074,,CC(C(=O)Nc1ccc(F)cc1)n1nc(C(=O)Nc2ccccc2)c2ccccc21,4.18,1,O=C(Cn1nc(C(=O)Nc2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL6161464,,CC(C(=O)Nc1ccccc1)n1nc(C(=O)Nc2ccccc2)c2ccccc21,4.36,1,O=C(Cn1nc(C(=O)Nc2ccccc2)c2ccccc21)Nc1ccccc1,OCT2,CHEMBL1743122
CHEMBL4062501,,CC(C)(C)c1ccc(N=C(N)N)cc1,5.08,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL5280198,,CC(C)=CCc1c(O)cc(O)c2c(=O)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12,4.25,1,O=c1c(OC2OCCCC2OC2CCCCO2)c(-c2ccccc2)oc2ccccc12,OCT2,CHEMBL1743122
CHEMBL5266270,,CC(C)=CCc1cc(-c2cc(=O)c3c(O)cc(O)c(CC=C(C)C)c3o2)cc(O)c1O,4.48,1,O=c1cc(-c2ccccc2)oc2ccccc12,OCT2,CHEMBL1743122
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,5.54,1,c1ccc(Cc2ccccn2)cc1,OCT2,CHEMBL1743122
CHEMBL163,RITONAVIR,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.61,1,O=C(CNC(=O)NCc1cscn1)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,OCT2,CHEMBL1743122
CHEMBL753,PHENOXYBENZAMINE,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,5.31,1,c1ccc(CNCCOc2ccccc2)cc1,OCT2,CHEMBL1743122
CHEMBL959,RIMANTADINE,CC(N)C12CC3CC(CC(C3)C1)C2,5.36,1,C1C2CC3CC1CC(C2)C3,OCT2,CHEMBL1743122
CHEMBL6049097,,CC1C[C@@H]2C[C@H]1OC1Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,6.57,2,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL5841931,,CC1C[C@@H]2C[C@H]1O[C@H]1Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,6.45,2,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL5830493,,CC1C[C@H]2C[C@@H]1O[C@@H]1Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21,6.69,2,O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1C3CCC(C3)OC1C2,OCT2,CHEMBL1743122
CHEMBL1197556,,CCN1/C(=C/c2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,5.95,1,C1=Cc2ccccc2NC1=Cc1ccc2ccccc2[nH+]1,OCT2,CHEMBL1743122
CHEMBL87563,GABEXATE,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,6.05,1,c1ccccc1,OCT2,CHEMBL1743122
CHEMBL84,TOPOTECAN,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,4.21,1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,OCT2,CHEMBL1743122
CHEMBL481,IRINOTECAN,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,5.57,1,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,OCT2,CHEMBL1743122
CHEMBL590799,CAMOSTAT,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,4.78,1,O=C(Oc1ccccc1)c1ccccc1,OCT2,CHEMBL1743122
CHEMBL11,IMIPRAMINE,CN(C)CCCN1c2ccccc2CCc2ccccc21,6.22,1,c1ccc2c(c1)CCc1ccccc1N2,OCT2,CHEMBL1743122
CHEMBL2074900,,CN(CCCl)C1c2ccccc2-c2ccccc21,7.0,1,c1ccc2c(c1)Cc1ccccc1-2,OCT2,CHEMBL1743122
CHEMBL30,CIMETIDINE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,4.64,1,c1c[nH]cn1,OCT2,CHEMBL1743122
CHEMBL289469,GRANISETRON,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,5.37,1,O=C(NC1CC2CCCC(C1)N2)c1n[nH]c2ccccc12,OCT2,CHEMBL1743122
CHEMBL1732,DIHYDROERGOTAMINE,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,4.3,1,O=C(NC1OC2C3CCCN3C(=O)C(Cc3ccccc3)N2C1=O)C1CNC2Cc3c[nH]c4cccc(c34)C2C1,OCT2,CHEMBL1743122
CHEMBL5769471,,COc1c2n(cc(C(=O)NC3(c4ccc(F)cc4F)CC3)c1=O)C[C@@H]1OCC[C@@H](C)N1C2=O,5.65,1,O=C(NC1(c2ccccc2)CC1)c1cn2c(cc1=O)C(=O)N1CCCOC1C2,OCT2,CHEMBL1743122
