ligand_id,name,role,smiles,note,pdbqt
NP3-146,NP3-146,crystal_positive,CC(C)c1cc(Cl)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1,7ALV co-crystal RM5,
MCC950,MCC950,tool_positive,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,"sulfonylurea tool; analog pocket, not co-crystal",
CHEMBL4204644,CHEMBL4204644,chembl_sulfonylurea_active,[2H]C([2H])([2H])C(O)(c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1)C([2H])([2H])[2H],pChEMBL=8.3,
CHEMBL3183703,CHEMBL3183703,chembl_sulfonylurea_active,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,pChEMBL=8.3,
CHEMBL5219789,CHEMBL5219789,chembl_sulfonylurea_active,CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,pChEMBL=8.27,
CHEMBL4212407,CHEMBL4212407,chembl_sulfonylurea_active,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1,pChEMBL=8.22,
CHEMBL6143743,CHEMBL6143743,chembl_sulfonylurea_active,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,pChEMBL=8.22,
CHEMBL4209503,CHEMBL4209503,chembl_sulfonylurea_active,[2H]C1([2H])CCc2cc3c(c(NC(=O)NS(=O)(=O)c4cc(C(C)(C)O)co4)c21)C([2H])([2H])CC3,pChEMBL=8.22,
CHEMBL4216836,CHEMBL4216836,chembl_sulfonylurea_active,[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1([2H])[2H],pChEMBL=8.15,
CHEMBL6171925,CHEMBL6171925,chembl_sulfonylurea_active,CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,pChEMBL=8.1,
REP_01181,JT-001,clinical_acid_background,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01181.pdbqt
REP_03306,GLISAMURIDE,clinical_acid_background,CC1CCC(NC(=O)NS(=O)(=O)c2ccc(CCNC(=O)N(C)c3ccccn3)cc2)CC1,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_03306.pdbqt
REP_01346,BARDOXOLONE,clinical_acid_background,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01346.pdbqt
REP_07910,PF-05241328,clinical_acid_background,Cc1nn(-c2cnc(OCC(C)C)c(Cl)c2)c2ccc(C(=O)NS(C)(=O)=O)cc12,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_07910.pdbqt
REP_01494,BALOFLOXACIN,clinical_acid_background,CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01494.pdbqt
REP_01131,EXISULIND,clinical_acid_background,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01131.pdbqt
REP_01178,ALEGLITAZAR,clinical_acid_background,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_01178.pdbqt
REP_00476,TIANEPTINE,clinical_acid_background,CN1c2ccccc2C(NCCCCCCC(=O)O)c2ccc(Cl)cc2S1(=O)=O,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_00476.pdbqt
REP_00077,PARECOXIB,clinical_acid_background,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,Acid-track chemistry-pass sample,data/campaigns/c1/01_ligand_prep/acid_clinical_chemistry_pass/pdbqt/REP_00077.pdbqt
