ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,pose_selection_status,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_00015,True,4.654057799383232,0.694591343,5.71259308,a2_geometry_then_cnnscore,True,0.689725578,5.98758078,True
REP_00077,False,,,,a2_no_geometry_pass,True,0.589485168,6.1130538,False
REP_00092,True,2.873100938011046,0.567421198,6.99737406,a2_geometry_then_cnnscore,False,0.382178217,6.5029335,False
REP_00142,True,3.2484791826330053,0.661750197,5.64501953,a2_geometry_then_cnnscore,False,0.431991875,5.65687895,False
REP_00153,True,3.121939941766978,0.877343357,7.38770294,a2_geometry_then_cnnscore,False,0.475343734,5.77123022,False
REP_00207,True,3.9267220426202694,0.670793176,6.56401682,a2_geometry_then_cnnscore,True,0.939515471,6.63356161,True
REP_00300,False,,,,a2_no_geometry_pass,True,0.822667181,5.49476814,False
REP_00308,False,,,,a2_no_geometry_pass,False,0.326112002,6.28456497,False
REP_00325,False,,,,a2_no_geometry_pass,True,0.826880455,5.47009087,False
REP_00476,False,,,,a2_no_geometry_pass,False,0.394173265,5.48952055,False
REP_00572,False,,,,a2_no_geometry_pass,True,0.821804643,5.57700348,False
REP_00600,False,,,,a2_no_geometry_pass,False,0.210471913,5.85911512,False
REP_00697,True,2.890898476252661,0.581627667,5.7125144,a2_geometry_then_cnnscore,True,0.70193249,5.98905182,True
REP_00698,True,5.5341417582132895,0.339963943,6.17055511,a2_geometry_then_cnnscore,True,0.630557179,5.72430611,True
REP_00729,True,2.9121088578554124,0.792883277,6.2142067,a2_geometry_then_cnnscore,True,0.531196773,6.64506483,True
REP_00745,True,6.75405759525338,0.617151976,6.73706245,a2_geometry_then_cnnscore,False,0.362890482,5.60535192,False
REP_00833,True,3.0863214349772425,0.643421769,7.29302359,a2_geometry_then_cnnscore,False,0.447399795,6.29353952,False
REP_00853,True,7.350201970014155,0.629134655,6.26409483,a2_geometry_then_cnnscore,False,0.422130853,5.97528505,False
REP_00857,True,5.142816057375568,0.352999061,6.99216127,a2_geometry_then_cnnscore,False,0.39495942,6.70470381,False
REP_00940,True,2.913446412755867,0.816896975,7.38613653,a2_geometry_then_cnnscore,True,0.55553937,6.61936522,True
REP_00944,True,5.651778304215403,0.435148835,6.72497129,a2_geometry_then_cnnscore,True,0.79643327,6.63690042,True
REP_00950,True,4.402491226567064,0.724445939,7.09229898,a2_geometry_then_cnnscore,True,0.649919927,6.98062706,True
REP_00992,True,3.0243510047611752,0.673511803,6.54150391,a2_geometry_then_cnnscore,True,0.933082283,7.05069494,True
REP_01122,True,6.540979360921413,0.312429786,6.89771986,a2_geometry_then_cnnscore,False,0.0490424447,5.48778009,False
REP_01131,True,2.854250339406122,0.781184077,7.045187,a2_geometry_then_cnnscore,False,0.568535566,5.75300837,False
REP_01147,True,3.0838887787986105,0.830628335,7.23662901,a2_geometry_then_cnnscore,True,0.769597828,6.02315283,True
REP_01178,True,2.9615798148960906,0.705230296,7.08492422,a2_geometry_then_cnnscore,True,0.688225806,6.69010925,True
REP_01181,False,,,,a2_no_geometry_pass,True,0.915901303,6.84720612,False
REP_01274,True,2.9528956974468206,0.601823151,6.23252487,a2_geometry_then_cnnscore,False,0.422647417,5.83697176,False
REP_01310,True,7.483414594955962,0.397036731,6.59048986,a2_geometry_then_cnnscore,False,0.246821105,6.37850046,False
REP_01345,True,5.804228630920732,0.772345185,5.62476301,a2_geometry_then_cnnscore,True,0.675283968,5.38107824,True
REP_01346,True,5.291926397825277,0.605442286,7.01123476,a2_geometry_then_cnnscore,False,0.340360582,6.22959948,False
REP_01404,True,3.9336718215936632,0.630825162,7.3888669,a2_geometry_then_cnnscore,False,0.455151767,5.82585526,False
REP_01458,False,,,,a2_no_geometry_pass,True,0.549748421,5.69786263,False
REP_01474,True,6.979825642521445,0.566199183,6.5304451,a2_geometry_then_cnnscore,True,0.591802955,6.36959457,True
REP_01485,True,2.7950760275885047,0.494932294,6.29168081,a2_geometry_then_cnnscore,True,0.645309091,6.3255558,True
REP_01494,True,3.0266051939425456,0.333255947,6.59705544,a2_geometry_then_cnnscore,False,0.276867241,5.56399155,False
REP_01593,True,4.5868732269379375,0.709075928,6.99314117,a2_geometry_then_cnnscore,True,0.573161423,6.95367861,True
REP_01595,True,2.951533330321713,0.703858018,7.44675016,a2_geometry_then_cnnscore,False,0.386399657,7.05568695,False
REP_01598,True,2.8556121935584953,0.49862957,7.2903924,a2_geometry_then_cnnscore,True,0.557345748,6.28156471,True
REP_01601,True,6.922467623615155,0.329110712,6.3307023,a2_geometry_then_cnnscore,False,0.333147109,5.66255808,False
REP_01948,False,,,,a2_no_geometry_pass,False,0.456805438,6.2050209,False
REP_02001,False,,,,a2_no_geometry_pass,False,0.234632626,5.72127914,False
REP_02143,True,5.639107553505252,0.460989684,7.16659164,a2_geometry_then_cnnscore,True,0.547978163,6.91540766,True
REP_02354,True,6.968726928212923,0.761400223,6.19930267,a2_geometry_then_cnnscore,True,0.778140068,6.10552931,True
REP_02366,True,5.859393398637777,0.834339976,7.23728609,a2_geometry_then_cnnscore,False,0.479330152,5.94176245,False
REP_02379,True,6.089435031265212,0.751681864,7.88584089,a2_geometry_then_cnnscore,False,0.317057192,7.17620707,False
REP_02650,True,5.467475560073405,0.756789565,7.18870783,a2_geometry_then_cnnscore,True,0.579818487,6.82052374,True
REP_02721,True,3.0744347447945515,0.79139924,6.04761267,a2_geometry_then_cnnscore,True,0.863415539,6.88486862,True
REP_03238,True,3.230944289213289,0.506937504,7.2258153,a2_geometry_then_cnnscore,False,0.395395428,6.57619095,False
REP_03306,False,,,,a2_no_geometry_pass,True,0.644685984,7.2875309,False
REP_03680,False,,,,a2_no_geometry_pass,False,0.227930665,5.29615498,False
REP_03855,True,3.0376635758424513,0.378587246,5.94840479,a2_geometry_then_cnnscore,True,0.595998049,5.84221125,True
REP_03974,True,7.501018730812499,0.586199343,5.43731689,a2_geometry_then_cnnscore,True,0.932242334,6.11595678,True
REP_04229,True,5.734986137733902,0.702218831,6.04328299,a2_geometry_then_cnnscore,False,0.665367663,6.33042097,False
REP_04246,True,5.234835718530237,0.735167503,5.91163015,a2_geometry_then_cnnscore,False,0.390871167,6.23026085,False
REP_04441,False,,,,a2_no_geometry_pass,False,0.499381483,6.57480383,False
REP_04463,True,3.2058310934919865,0.775819957,7.0207715,a2_geometry_then_cnnscore,False,0.473585188,5.24849749,False
REP_04566,True,2.9015986972701797,0.626949847,7.03675222,a2_geometry_then_cnnscore,True,0.754119754,6.21635628,True
REP_04581,True,7.696186198371239,0.796239853,6.95602036,a2_geometry_then_cnnscore,True,0.574564576,6.40377808,True
REP_04582,True,6.303681781308437,0.37633267,6.45268774,a2_geometry_then_cnnscore,False,0.342820704,5.51037931,False
REP_04623,True,3.093998383968551,0.794474542,7.14101076,a2_geometry_then_cnnscore,True,0.582873881,6.15694046,True
REP_04681,True,5.9083224353449095,0.663578808,6.68717575,a2_geometry_then_cnnscore,False,0.310914785,5.77180099,False
REP_04687,True,6.450953030366906,0.690454125,6.63474989,a2_geometry_then_cnnscore,True,0.97669673,7.17908335,True
REP_04971,True,3.006387034298799,0.494931608,6.98876429,a2_geometry_then_cnnscore,False,0.407803148,6.57440519,False
REP_04975,True,3.0949688205214567,0.740926802,6.90604734,a2_geometry_then_cnnscore,False,0.19570902,5.7759881,False
REP_04977,False,,,,a2_no_geometry_pass,False,0.290614814,6.14429092,False
REP_04990,True,5.043853388035768,0.528282762,6.19471693,a2_geometry_then_cnnscore,True,0.573177993,6.20117617,True
REP_05102,True,6.75405759525338,0.617151976,6.73706245,a2_geometry_then_cnnscore,False,0.362890482,5.60535192,False
REP_05113,True,6.420701129939004,0.505557597,6.9954896,a2_geometry_then_cnnscore,False,0.472714573,6.84619522,False
REP_05141,True,7.675933102887225,0.654662669,6.34944534,a2_geometry_then_cnnscore,True,0.650252998,6.68000269,True
REP_05219,True,3.1468563678693617,0.782812178,7.2998538,a2_geometry_then_cnnscore,False,0.157497615,5.34319305,False
REP_05252,True,2.9557844982339345,0.62953198,7.23594284,a2_geometry_then_cnnscore,False,0.334816217,6.06392527,False
REP_05267,False,,,,a2_no_geometry_pass,True,0.882285118,6.83310175,False
REP_05288,True,4.069173626180128,0.510509193,7.46176529,a2_geometry_then_cnnscore,True,0.503210306,6.83568525,True
REP_05302,True,6.267380712865613,0.762060285,6.75742722,a2_geometry_then_cnnscore,True,0.664981306,6.91635466,True
REP_05411,False,,,,a2_no_geometry_pass,False,0.353814423,6.77430868,False
REP_05440,False,,,,a2_no_geometry_pass,True,0.925873041,6.83837748,False
REP_05460,True,2.9817743040008873,0.657848775,6.08835983,a2_geometry_then_cnnscore,True,0.705459356,5.6822753,True
REP_05466,True,2.9376939935942907,0.504287302,7.08116674,a2_geometry_then_cnnscore,False,0.463675052,6.17202616,False
REP_05470,True,5.535020596167638,0.791874707,7.6864295,a2_geometry_then_cnnscore,True,0.830967784,6.87684774,True
REP_05543,True,3.1045735616989325,0.621001422,7.22970438,a2_geometry_then_cnnscore,True,0.668603837,6.83028936,True
REP_05567,False,,,,a2_no_geometry_pass,False,0.234632626,5.72127914,False
REP_05724,False,,,,a2_no_geometry_pass,False,0.246025294,6.27808237,False
REP_05729,False,,,,a2_no_geometry_pass,True,0.715363443,7.12674284,False
REP_05763,False,,,,a2_no_geometry_pass,False,0.297817111,6.53785563,False
REP_05784,False,,,,a2_no_geometry_pass,True,0.575728238,6.68412542,False
REP_05813,False,,,,a2_no_geometry_pass,False,0.275421083,5.77333117,False
REP_05846,True,3.142289292856401,0.68086791,5.92929459,a2_geometry_then_cnnscore,True,0.953264773,7.03478479,True
REP_05864,True,7.091739772439476,0.516220391,7.37407303,a2_geometry_then_cnnscore,False,0.281345606,6.69883728,False
REP_05869,True,5.459151857202728,0.643165529,5.53835154,a2_geometry_then_cnnscore,False,0.473964483,5.58089209,False
REP_05906,True,3.0271380873689915,0.554747403,6.3198204,a2_geometry_then_cnnscore,False,0.457505614,5.64777994,False
REP_05922,True,5.11110252293964,0.653596938,7.23869371,a2_geometry_then_cnnscore,False,0.403886855,6.23788691,False
REP_06119,True,2.9966464589604134,0.635743916,6.08600235,a2_geometry_then_cnnscore,True,0.672377706,5.8837142,True
REP_06303,True,6.242795928107854,0.587828398,7.32653666,a2_geometry_then_cnnscore,False,0.222345546,6.32695341,False
REP_06427,False,,,,a2_no_geometry_pass,True,0.558195829,7.18639612,False
REP_06464,True,5.264416871791205,0.812960863,7.31463766,a2_geometry_then_cnnscore,False,0.172080249,5.77783346,False
REP_06470,True,3.109893567310622,0.543469846,4.95344782,a2_geometry_then_cnnscore,True,0.776813388,5.35395288,True
REP_06524,True,2.9240242817049182,0.574109793,6.35063601,a2_geometry_then_cnnscore,True,0.678085148,6.61098862,True
REP_06583,True,3.0604955481098113,0.553466797,6.70228434,a2_geometry_then_cnnscore,True,0.574060917,6.70628881,True
REP_06643,True,3.0861022342106565,0.85463959,7.48018408,a2_geometry_then_cnnscore,True,0.650032461,7.00301981,True
REP_06668,False,,,,a2_no_geometry_pass,False,0.230996236,6.80938196,False
REP_06722,True,2.799621581571335,0.623000622,7.18837357,a2_geometry_then_cnnscore,True,0.528385222,5.4058919,True
REP_06855,True,2.9617057585114597,0.688925803,7.9658618,a2_geometry_then_cnnscore,False,0.265720576,6.8942132,False
REP_06875,True,6.878127942979834,0.605334997,6.95511198,a2_geometry_then_cnnscore,True,0.534676671,7.11669588,True
REP_06925,True,7.3827746139239485,0.68155092,7.04620981,a2_geometry_then_cnnscore,False,0.254401684,5.93839645,False
REP_06973,True,2.905891257428589,0.697641194,7.28380442,a2_geometry_then_cnnscore,False,0.374109417,6.12090826,False
REP_06986,False,,,,a2_no_geometry_pass,False,0.348981619,6.99333715,False
REP_06990,True,5.735478184074976,0.530353725,6.42233133,a2_geometry_then_cnnscore,False,0.436206728,5.4249444,False
REP_07000,True,3.818890414767098,0.358371913,6.43638086,a2_geometry_then_cnnscore,False,0.315677226,6.52843857,False
REP_07012,True,3.100998871331611,0.65464431,7.3730073,a2_geometry_then_cnnscore,False,0.426117659,6.37042284,False
REP_07015,True,2.921527340279389,0.733871698,6.89647293,a2_geometry_then_cnnscore,True,0.751993716,6.47951269,True
REP_07021,True,4.901341653057859,0.554028034,7.25187922,a2_geometry_then_cnnscore,False,0.337048382,6.64673185,False
REP_07040,True,4.0617858141462735,0.609225214,7.12205124,a2_geometry_then_cnnscore,True,0.589639187,6.48992109,True
REP_07055,False,,,,a2_no_geometry_pass,True,0.543581307,7.03746653,False
REP_07056,True,2.8742312015563356,0.657770574,7.05530024,a2_geometry_then_cnnscore,False,0.489350557,6.90244436,False
REP_07073,False,,,,a2_no_geometry_pass,False,0.449347854,6.59058237,False
REP_07074,False,,,,a2_no_geometry_pass,True,0.541528106,6.7008357,False
REP_07101,False,,,,a2_no_geometry_pass,True,0.507596791,5.79759598,False
REP_07105,True,7.101023236125895,0.438931108,7.25518465,a2_geometry_then_cnnscore,False,0.315462172,6.11728668,False
REP_07120,True,6.2956989286337395,0.53274399,6.75543451,a2_geometry_then_cnnscore,False,0.356335938,6.72073126,False
REP_07126,True,6.087222190786205,0.418428123,6.23402023,a2_geometry_then_cnnscore,True,0.693882883,6.92829752,True
REP_07166,True,5.331932857791812,0.522322237,7.05953074,a2_geometry_then_cnnscore,False,0.338287443,6.14112425,False
REP_07300,False,,,,a2_no_geometry_pass,True,0.791519821,6.86808014,False
REP_07338,True,2.965731275756447,0.634065151,7.37666845,a2_geometry_then_cnnscore,True,0.606778383,5.86193419,True
REP_07580,True,3.2377540054797214,0.642952561,7.19753408,a2_geometry_then_cnnscore,True,0.623751402,6.97798109,True
REP_07635,True,7.130271313211013,0.720851183,7.13333654,a2_geometry_then_cnnscore,True,0.524357557,6.39549971,True
REP_07645,True,4.337127736186703,0.511205792,5.69998026,a2_geometry_then_cnnscore,False,0.415969223,6.36953163,False
REP_07702,True,2.9753141010656363,0.653556228,6.87680864,a2_geometry_then_cnnscore,False,0.46937421,6.78358793,False
REP_07704,True,3.4848779031696333,0.684087932,6.54660273,a2_geometry_then_cnnscore,True,0.647723436,6.62993622,True
REP_07735,True,5.308309146988324,0.279581994,6.93747902,a2_geometry_then_cnnscore,False,0.0880857632,5.02915716,False
REP_07754,True,3.1219394612964444,0.640714526,6.63298035,a2_geometry_then_cnnscore,False,0.352353871,6.31632376,False
REP_07775,True,6.693379490212698,0.395346731,6.69003153,a2_geometry_then_cnnscore,False,0.349850476,5.84939814,False
REP_07825,True,4.474998324022027,0.869004071,8.01220226,a2_geometry_then_cnnscore,True,0.664161801,6.90873766,True
REP_07837,True,5.2702832940933995,0.511311173,7.44957542,a2_geometry_then_cnnscore,False,0.27084583,6.48081541,False
REP_07838,True,4.94919650044328,0.681215942,7.4548955,a2_geometry_then_cnnscore,True,0.500561535,7.17738199,True
REP_07859,False,,,,a2_no_geometry_pass,True,0.52906251,7.16000175,False
REP_07874,True,7.633328500726268,0.82828784,6.99887228,a2_geometry_then_cnnscore,False,0.252819538,6.31052589,False
