ligand_id,keep_urat1_acid,acid_arg477_min_A,u_CNNscore,u_CNNaffinity,keep_nlrp3_pose,n_CNNscore,n_CNNaffinity,keep_dual_acid_geometry
REP_00015,True,4.705643951681849,0.733554125,5.52814245,True,0.703059375,6.01441956,True
REP_00077,False,,,,True,0.591356575,6.12468958,False
REP_00092,True,3.2553522082871353,0.544800758,6.89233971,False,0.359622538,6.53960562,False
REP_00142,True,2.9380336961988642,0.661680937,5.88866663,False,0.451155216,5.78707552,False
REP_00153,True,2.8592833018083357,0.785280764,7.20342016,False,0.496968091,5.81338882,False
REP_00207,True,7.019541366784582,0.715349972,6.60151911,True,0.87410754,6.46723938,True
REP_00300,False,,,,True,0.815998733,5.51315117,False
REP_00308,False,,,,False,0.405944914,6.31836557,False
REP_00325,False,,,,True,0.815218627,5.44191599,False
REP_00476,False,,,,False,0.340574652,5.38829184,False
REP_00572,False,,,,True,0.818680227,5.57353735,False
REP_00600,True,5.0424165833457195,0.485876054,6.80194521,False,0.211488545,5.85886526,False
REP_00697,True,3.3432207525079645,0.543879569,6.15447998,True,0.857767642,6.69094467,True
REP_00698,True,5.528410259740141,0.329340518,6.15395117,False,0.229801506,5.52687025,False
REP_00729,True,5.50656925862192,0.729131401,6.67712545,True,0.754244566,5.03821039,True
REP_00745,False,,,,False,0.370489389,6.26902914,False
REP_00833,True,3.140107163776415,0.636859596,7.28124571,False,0.447117209,6.38290405,False
REP_00853,True,6.906268818978881,0.664481878,6.74470472,False,0.476919502,6.11683321,False
REP_00857,False,,,,False,0.443720698,6.80348349,False
REP_00940,True,2.8190070947055066,0.920685112,7.44095659,True,0.648308456,6.24062967,True
REP_00944,True,5.559234749495647,0.44775933,6.74127436,True,0.79484266,6.62214661,True
REP_00950,True,5.024337269730205,0.632709146,6.93429899,True,0.56864351,6.79599047,True
REP_00992,True,6.405646337412011,0.671535432,6.87913132,True,0.93566221,7.05368471,True
REP_01122,True,5.666777302841536,0.43417573,7.03496981,False,0.0968006924,5.87363577,False
REP_01131,True,2.862308683562971,0.768597901,6.89402914,False,0.581311345,5.76292944,False
REP_01147,True,5.526088037662807,0.746941745,7.03847885,True,0.506836414,6.57028198,True
REP_01178,True,2.9411332849770697,0.672681451,7.01628447,True,0.664571702,6.66311646,True
REP_01181,False,,,,True,0.895092726,7.02001333,False
REP_01274,True,2.922952445730164,0.653790057,6.3050499,True,0.577916205,6.10157776,True
REP_01310,True,7.432525613813915,0.368123174,6.55816984,False,0.394095421,6.58153296,False
REP_01345,True,5.811039493928781,0.80373466,5.48220205,True,0.72286272,5.53931093,True
REP_01346,True,5.272878625570657,0.604313076,7.00498915,False,0.374068111,5.97299576,False
REP_01404,True,3.803049039915207,0.534775496,7.31563139,False,0.369588375,5.23139811,False
REP_01458,False,,,,True,0.684057295,5.16972399,False
REP_01474,True,5.1994154479133465,0.695002437,6.55718756,True,0.823167622,6.79961634,True
REP_01485,True,2.8022605160834013,0.681718111,6.15313387,True,0.646382093,6.31251001,True
REP_01494,True,2.8100471526292896,0.354146123,6.85226583,False,0.305168301,5.58656931,False
REP_01593,True,2.788429486287931,0.806165278,7.45943832,True,0.580438316,6.98513842,True
REP_01595,True,2.8076429616316956,0.738584876,7.50644827,False,0.406618863,7.03228998,False
REP_01598,True,3.094523065029564,0.472497851,7.26722002,True,0.568258703,6.30517244,True
REP_01601,True,5.340577122371699,0.353492975,6.48593903,False,0.281655133,5.64070272,False
REP_01948,True,6.443168940824072,0.562828362,6.13505697,False,0.459193259,6.18252945,False
REP_02001,False,,,,False,0.298623949,5.74935007,False
REP_02143,True,6.358567999164593,0.532595754,6.94847345,True,0.553689599,6.81695938,True
REP_02354,True,7.591839500410955,0.648288071,6.07762718,True,0.796548724,5.80475235,True
REP_02366,True,6.427602585723544,0.791662812,7.16074705,True,0.796440661,6.38916159,True
REP_02379,True,3.0095084316213416,0.712299407,7.79513407,False,0.3050825,7.16091394,False
REP_02650,True,5.226779601245878,0.688002467,6.55095911,True,0.610093296,6.49266386,True
REP_02721,True,3.0910380133540905,0.778337002,6.03363562,True,0.867768109,6.84923697,True
REP_03238,True,3.299920302067912,0.447698355,6.91774511,True,0.564385533,6.71529627,True
REP_03306,False,,,,False,0.43551904,6.99845505,False
REP_03680,False,,,,False,0.392885745,5.85053778,False
REP_03855,True,3.1099405139005416,0.436208278,6.28848124,False,0.346108377,5.47773504,False
REP_03974,True,3.0226035135293507,0.627181292,5.32456636,True,0.935204864,6.07405472,True
REP_04229,True,5.087778493606016,0.702258468,5.79687881,False,0.594988465,5.24416542,False
REP_04246,True,3.1245417263976387,0.730264723,5.96399498,False,0.435498357,6.03025293,False
REP_04441,False,,,,False,0.436287284,6.53941393,False
REP_04463,True,3.120884810434367,0.701308787,6.84263372,False,0.580113947,5.31052923,False
REP_04566,False,,,,True,0.798993468,6.29293585,False
REP_04581,True,7.668889424160442,0.79764986,6.97901583,True,0.652739346,6.18423796,True
REP_04582,True,2.9725359543662324,0.393745124,6.62146616,False,0.274664879,5.77050924,False
REP_04623,True,3.112036310842149,0.794149399,7.13052225,False,0.615140796,5.48404074,False
REP_04681,True,4.0826698372511,0.567168951,6.84167719,False,0.10318619,5.46151018,False
REP_04687,True,3.7740500791589913,0.868654549,6.04073191,True,0.974991262,7.13700247,True
REP_04971,True,2.882566564712774,0.531426847,7.13957167,False,0.471066415,6.39699697,False
REP_04975,True,3.0545603611649255,0.753270388,7.0049057,False,0.185768172,5.75817871,False
REP_04977,False,,,,False,0.235089689,6.01853418,False
REP_04990,False,,,,False,0.414551288,6.17284441,False
REP_05102,False,,,,False,0.370489389,6.26902914,False
REP_05113,True,6.5352277695578405,0.486889154,6.96315527,True,0.538683772,7.01339102,True
REP_05141,True,7.484515014347946,0.697449207,6.42854071,True,0.582603395,6.49552584,True
REP_05219,True,3.1760327454231203,0.773973346,7.27391768,False,0.174841255,5.38250351,False
REP_05252,True,2.9225706150579107,0.650826693,7.24849844,False,0.304172248,5.98368263,False
REP_05267,False,,,,True,0.766942501,6.44929504,False
REP_05288,True,3.1952153292070897,0.507378697,6.99387598,True,0.570189118,6.76399279,True
REP_05302,True,6.663186399914079,0.613501728,6.97810602,True,0.792537272,7.00528526,True
REP_05411,False,,,,True,0.573650479,7.17962503,False
REP_05440,False,,,,True,0.90232414,6.76683474,False
REP_05460,True,3.07335451908822,0.665523648,6.09760427,True,0.724298418,5.33087683,True
REP_05466,True,6.798498804883313,0.382145882,6.67647552,False,0.465387315,6.75273275,False
REP_05470,True,5.942596318108771,0.694451749,7.59211969,True,0.821435153,6.96509504,True
REP_05543,True,3.178045940511237,0.575951576,7.14925241,True,0.758257806,6.72783804,True
REP_05567,False,,,,False,0.298623949,5.74935007,False
REP_05724,False,,,,False,0.387045562,5.93092203,False
REP_05729,False,,,,True,0.718267858,7.12999725,False
REP_05763,True,4.5827125155305115,0.515924752,6.70014429,False,0.2028348,6.17704058,False
REP_05784,True,3.028625760968161,0.44679144,6.33873606,True,0.870903492,6.90518999,True
REP_05813,False,,,,False,0.279178977,5.77783966,False
REP_05846,True,3.069882408171348,0.700318158,5.97409964,True,0.952110946,6.94458914,True
REP_05864,True,7.288603569957686,0.49953711,7.31924677,False,0.165159225,5.74315405,False
REP_05869,True,3.0354106806163803,0.608636498,6.26491165,False,0.49170199,5.61206961,False
REP_05906,True,5.776674302745484,0.696680725,5.93672419,True,0.534469783,6.52045393,True
REP_05922,True,5.4343251650964,0.496230245,7.105021,False,0.382002145,6.73253775,False
REP_06119,True,2.8065795908899487,0.530275822,5.96094751,True,0.671626747,5.87989044,True
REP_06303,True,6.348462648547287,0.60574007,6.9143157,False,0.191031441,6.21236038,False
REP_06427,False,,,,False,0.304677397,6.86522293,False
REP_06464,True,5.240294361960968,0.85884124,7.45478773,False,0.210927293,5.94439077,False
REP_06470,True,3.0639392944378034,0.663883269,5.11675882,True,0.809165299,4.95888758,True
REP_06524,True,4.2201248796688455,0.679883778,6.24494791,True,0.663715839,6.60966253,True
REP_06583,True,3.2879140803859235,0.574749529,6.59110594,True,0.623894453,6.73919487,True
REP_06643,True,3.0435980352208,0.856610656,7.47379494,True,0.651058435,7.03563309,True
REP_06668,False,,,,False,0.241309717,7.04781723,False
REP_06722,True,2.804582856682964,0.623648286,7.18869019,False,0.481199175,5.31451416,False
REP_06855,True,2.841404758213792,0.698189199,7.95522261,False,0.26938808,6.88764238,False
REP_06875,True,6.898808157935688,0.596922159,6.92989492,True,0.529574156,7.15366554,True
REP_06925,True,6.417683148925312,0.679864764,7.01047516,False,0.289346755,6.11234522,False
REP_06973,True,2.8521271009546516,0.729591966,7.00705957,True,0.616439104,6.82543421,True
REP_06986,False,,,,False,0.303361058,6.91587687,False
REP_06990,True,5.738181680637164,0.582159817,6.2681222,False,0.432845235,5.62789869,False
REP_07000,True,7.034532962464531,0.285754919,6.44387674,False,0.244303599,6.34551764,False
REP_07012,True,3.1091945902435794,0.573158979,7.02600861,False,0.485913634,6.61120653,False
REP_07015,True,2.885065337215081,0.722051919,6.88848877,True,0.720949769,6.41609716,True
REP_07021,True,4.8994444583034085,0.534576178,7.23133421,False,0.345387548,6.70275927,False
REP_07040,True,4.097727296929351,0.693238854,7.23830843,True,0.590265989,6.43411303,True
REP_07055,False,,,,True,0.524413824,6.99661255,False
REP_07056,True,3.251579616125058,0.681641579,6.92585611,True,0.594574511,6.94152689,True
REP_07073,True,3.0261369764106787,0.584902227,7.02783728,False,0.457946926,6.18798018,False
REP_07074,False,,,,True,0.55147171,6.71621323,False
REP_07101,False,,,,True,0.52421087,5.83665323,False
REP_07105,True,7.273670943890701,0.480272084,7.24477911,False,0.249507695,6.10885286,False
REP_07120,True,2.932572249749353,0.509754241,6.47652435,False,0.383642852,6.68148994,False
REP_07126,False,,,,True,0.688865423,6.92264748,False
REP_07166,True,6.60493050682595,0.307071745,6.09378958,False,0.336345404,6.17790842,False
REP_07300,False,,,,True,0.792185307,6.85472822,False
REP_07338,True,2.9646144774658225,0.644074619,7.38504934,True,0.631628096,5.85615873,True
REP_07580,True,3.232865447246448,0.643611848,7.19731712,True,0.620133162,6.97240305,True
REP_07635,True,6.367374733750162,0.471403718,6.70929193,False,0.371444046,6.24775696,False
REP_07645,True,5.893067876751463,0.466293067,5.93402052,False,0.487291217,6.38796616,False
REP_07702,True,2.861249202708487,0.415273219,6.78106833,True,0.504693747,6.45858526,True
REP_07704,True,3.2896828114576593,0.749780238,6.72723722,True,0.711437404,6.5822506,True
REP_07735,True,5.734892065244117,0.449060082,6.99952507,False,0.275948405,6.73027563,False
REP_07754,True,2.881431241588105,0.62298882,6.50649118,False,0.276662022,6.36320829,False
REP_07775,True,3.002777714050764,0.619730771,6.77632332,False,0.279874474,6.32559633,False
REP_07825,True,5.060763381151105,0.852462232,7.97016144,True,0.654784441,6.88466501,True
REP_07837,True,6.845456595436129,0.555158675,7.29787302,False,,,False
REP_07838,True,4.976847998482567,0.684395373,7.47650576,True,0.580343485,7.0218997,True
REP_07859,False,,,,False,0.430283934,6.83878183,False
REP_07874,True,3.289363160248498,0.733830214,7.31444311,False,0.219004199,6.15311813,False
REP_07880,True,6.406739810543261,0.668731749,7.57695532,False,0.272288084,6.48092842,False
REP_07885,True,7.449974563714958,0.602264345,7.68729067,False,0.254043043,6.24848032,False
REP_07899,True,2.84264243266718,0.583314478,6.83152533,False,0.475650609,6.11238241,False
REP_07907,True,3.0340985481687963,0.769180357,8.42643738,True,0.838747084,7.59364271,True
REP_07910,False,,,,True,0.833877027,6.91791582,False
REP_07969,True,3.337042103420333,0.691191018,6.22872734,True,0.665997803,6.76931047,True
REP_07977,True,3.0039873501730843,0.755296528,6.88939428,False,0.447802305,6.39891243,False
