ligand_id,target,seed,pose_selection_rule,pose_selection_status,n_poses,n_geometry_pass_modes,sdf,selected_mode,CNNscore,CNNaffinity,C1_P2star,C1_VS,acid_arg477_min_A,has_carboxylate_oxy_in_pose,pass_arg_A1,centroid_to_crystal_lig_A,pass_pocket_centroid,keep_urat1_acid,keep_nlrp3_pose,error
REP_01593,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,5.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01593_out.sdf,2.0,0.709075928,6.99314117,6.99314117,4.9586680647527555,4.5868732269379375,True,True,3.2662309759966375,True,True,,
REP_01593,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01593_out.sdf,1.0,0.573161423,6.95367861,,,,,,3.773489121309455,True,,True,
REP_05922,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,2.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_05922_out.sdf,2.0,0.653596938,7.23869371,7.23869371,4.73118804397586,5.11110252293964,True,True,1.0658284157431397,True,True,,
REP_05922,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_05922_out.sdf,1.0,0.403886855,6.23788691,,,,,,4.318369354159289,True,,False,
REP_03238,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,2.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_03238_out.sdf,7.0,0.506937504,7.2258153,7.2258153,3.663036772547011,3.230944289213289,True,True,2.531474936366007,True,True,,
REP_03238,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_03238_out.sdf,1.0,0.395395428,6.57619095,,,,,,2.784818400456836,True,,False,
REP_01122,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,5.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_01122_out.sdf,2.0,0.312429786,6.89771986,6.89771986,2.15505313974775,6.540979360921413,True,True,3.2971004127135393,True,True,,
REP_01122,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_01122_out.sdf,1.0,0.0490424447,5.48778009,,,,,,1.0633603750066447,True,,False,
REP_04971,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,1.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_04971_out.sdf,6.0,0.494931608,6.98876429,6.98876429,3.4589603479826785,3.006387034298799,True,True,2.1252837961980013,True,True,,
REP_04971,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_04971_out.sdf,1.0,0.407803148,6.57440519,,,,,,1.3705697561960508,True,,False,
REP_07580,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,2.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07580_out.sdf,1.0,0.642952561,7.19753408,7.19753408,4.627672969620779,3.2377540054797214,True,True,1.3326498073491757,True,True,,
REP_07580,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_07580_out.sdf,1.0,0.623751402,6.97798109,,,,,,1.9368589390933522,True,,True,
REP_06464,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,8.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_06464_out.sdf,1.0,0.812960863,7.31463766,7.31463766,5.946514144605901,5.264416871791205,True,True,0.6998502286617634,True,True,,
REP_06464,nlrp3_7alv,42,a1_nlrp3_unchanged,,9,,data/campaigns/c1/07_clinical_dock/acid_dual/nlrp3_7alv/seed42/REP_06464_out.sdf,1.0,0.172080249,5.77783346,,,,,,3.0090835188974245,True,,False,
REP_07120,urat1_9dkb,42,a2,a2_geometry_then_cnnscore,9,5.0,data/campaigns/c1/07_clinical_dock/acid_dual/urat1_9dkb/seed42/REP_07120_out.sdf,2.0,0.53274399,6.75543451,6.75543451,3.5989171350410945,6.2956989286337395,True,True,3.177180328964332,True,True,,
