repurposing_id,canonical_smiles
C5W4D_001,O=C(Nc1ncc(Cc2ccc(Cl)c(Cl)c2)s1)c1cc2c([nH]c1=O)CCC2
C5W4D_002,CC(=O)NC12CC3CC(C1)CC(C(=O)OCC(=O)Nc1sc4c(c1C#N)CCCCC4)(C3)C2
C5W4D_003,O=C(Nc1ccc(C(=O)NC2(c3ccc(F)cc3)CCCC2)s1)c1ccco1
C5W4D_004,Cc1nc(Nc2nc(CSc3ccc(Cl)cc3)cc(=O)[nH]2)nc2c(C)cccc12
C5W4D_005,Cc1ccc(C(=O)OCC(=O)c2c[nH]c3ccccc23)cc1NC(=O)c1ccco1
C5W4D_006,CC(=O)Nc1ccccc1N/C=C1\C(=O)[N-]C(=O)N(CCC2=CCCCC2)C1=O
C5W4D_007,N#CC1=C(N)OC2=C(C(=O)CC(c3ccco3)C2)C1c1c[nH]nc1-c1ccc(F)cc1
C5W4D_008,Cc1cccc(-n2nc3nc(NCc4cccnc4)nc(-c4ccsc4)c3c2N)c1
C5W4D_009,COC(=O)c1cn(CC(c2ccccc2)c2c[nH]c3ccccc23)cc2c(O)nnc1-2
C5W4D_010,CCn1c2ccccc2c2cc(NC(=O)COC(=O)c3cc(=O)[nH]c4ccccc34)ccc21
C5W4D_011,COc1ccc(Cn2c(N)c(C(=O)NCc3cccs3)c3nc4ccccc4nc32)cc1
C5W4D_012,O=C(NC(CO)c1nc(-c2ccccc2)no1)c1ccc2c(c1)Cc1ccccc1-2
C5W4D_013,Cc1ccc2[nH]c(=O)c3cc(C(=O)NCCOC45CC6CC(C)(CC(C)(C6)C4)C5)sc3c2c1
C5W4D_014,Cc1n[nH]c(=O)c2c(NC(=O)COC(=O)c3cccc4ccccc34)oc(C)c12
C5W4D_015,CCCc1cc(=O)oc2c(C)c(O)c(-c3ccc4c(=O)n(-c5ccccc5)[nH]c4n3)cc12
C5W4D_016,CCc1oc2ccccc2c1C1CC(=O)Nc2cc(OC)c(NC(C)=O)cc21
C5W4D_017,COc1cccc(C(=O)Nc2ccc(C)cc2-c2nc3ccc(C)cc3nc2O)c1
C5W4D_018,Cc1cncc(CCNC(=O)Nc2ccc(-c3nc(C4CC4)no3)cc2C)n1
C5W4D_019,CCn1c2ccccc2c2cc(NC(=O)Cc3c(C)nc4nc(N)nn4c3C)ccc21
C5W4D_020,CN1C(=O)c2ccc(NC(=S)NC(=O)c3ccc(-c4ccccc4[N+](=O)[O-])o3)cc2C1=O
C5W4D_021,CCc1ccc2nc(C)cc(C(=O)NCCC(=O)NC3CCCCC3)c2c1
C5W4D_022,CCc1cccc2c(C(=O)CN3C(=O)NC4(CCCCc5ccccc54)C3=O)c[nH]c12
C5W4D_023,CC(C)Cn1c(=O)c(=O)[nH]c2cc(-c3noc(Cc4c[nH]c5ccccc45)n3)ccc21
C5W4D_024,CC(=O)c1cc2c(cc1NC(=O)COc1ccc(NC(=O)c3ccccc3)cc1)OCO2
C5W4D_025,Cc1cc(C)c2nc(NC(=O)c3cccc(NC(=O)C4CCCO4)c3)sc2c1
C5W4D_026,CCOCCCNC(=O)[C@@H]1CC(=O)N(C)CCCCCCCCCCCOc2ccccc2C(=O)N1
C5W4D_027,CC(=O)Nc1ccc(S(=O)(=O)[N-]c2sc3c(c2C(N)=O)CCCCCC3)cc1
C5W4D_028,Cc1ccc(N/C(=N\OCc2ccc(Cl)cc2Cl)c2nonc2N)c(C)c1
C5W4D_029,NC(=O)c1c(NC(=O)c2cnn3c(C(F)F)cc(C4CC4)nc23)sc2c1CCCCC2
C5W4D_030,O=C(Nc1cccc(NC(=O)C2(S(=O)(=O)c3ccccc3)CCCC2)c1)c1ccco1
C5W4D_031,COc1cc2c(cc1NC(=S)Nc1ccc3c(C)cc(=O)oc3c1)oc1ccccc12
C5W4D_032,CCC(=O)N1CCCc2ccc(NC(=O)Nc3ccc4c(c3)OCO4)cc21
C5W4D_033,O=C(Nc1ccc(NC(=O)N2CCOC3CCCCC32)cc1)c1ccco1
C5W4D_034,O=C(CCNC(=O)c1ccc(Cl)cc1)Nn1cnc2scc(-c3ccco3)c2c1=O
C5W4D_035,CN(C)c1cc(NC(=O)Nc2ccc3c(c2)CCN3C(=O)c2cccnc2)cc(C(F)(F)F)c1
C5W4D_036,N=C(NC1=NC2=Nc3ccc(Br)cc3C2=N1)N(c1ccccc1)c1ccccc1
C5W4D_037,CC(=O)Nc1ccc(CC(=O)Nc2nc(-c3ccc4c(c3)CCCC4)cs2)cc1
C5W4D_038,O=C(Nc1cccc(S(=O)(=O)NCc2ccco2)c1)c1cc(-c2cccnc2)on1
C5W4D_039,Cc1ccc(CSc2nc3c(c(=O)[nH]2)C(C(C)C)C2=C(CC(C)(C)CC2=O)N3)c(C)c1
C5W4D_040,CCOC(=O)c1[nH]c2ccc(Cl)cc2c1NC(=O)C1(c2ccc(C)cc2)CC1
