decoy_id,canonical_smiles,max_tc_nlrp3_positive,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,source_row,decoy_source
C5W4D_001,O=C(Nc1ncc(Cc2ccc(Cl)c(Cl)c2)s1)c1cc2c([nH]c1=O)CCC2,0.20833333333333334,420.32100000000025,4.470000000000002,74.85,2,4,4,3335,property_matched
C5W4D_002,CC(=O)NC12CC3CC(C1)CC(C(=O)OCC(=O)Nc1sc4c(c1C#N)CCCCC4)(C3)C2,0.1368421052631579,469.6070000000003,3.845480000000003,108.28999999999999,2,6,5,4288,property_matched
C5W4D_003,O=C(Nc1ccc(C(=O)NC2(c3ccc(F)cc3)CCCC2)s1)c1ccco1,0.14814814814814814,398.4590000000002,4.9318000000000035,71.34,2,4,5,4268,property_matched
C5W4D_004,Cc1nc(Nc2nc(CSc3ccc(Cl)cc3)cc(=O)[nH]2)nc2c(C)cccc12,0.13861386138613863,423.92900000000014,5.0192400000000035,83.56,2,6,5,4363,property_matched
C5W4D_005,Cc1ccc(C(=O)OCC(=O)c2c[nH]c3ccccc23)cc1NC(=O)c1ccco1,0.14285714285714285,402.4060000000002,4.361320000000003,101.39999999999999,2,5,6,3316,property_matched
C5W4D_006,CC(=O)Nc1ccccc1N/C=C1\C(=O)[N-]C(=O)N(CCC2=CCCCC2)C1=O,0.1485148514851485,395.4390000000003,3.693800000000002,109.68,2,5,6,4564,property_matched
C5W4D_007,N#CC1=C(N)OC2=C(C(=O)CC(c3ccco3)C2)C1c1c[nH]nc1-c1ccc(F)cc1,0.08849557522123894,416.4120000000001,4.017280000000003,117.93000000000002,2,6,3,2992,property_matched
C5W4D_008,Cc1cccc(-n2nc3nc(NCc4cccnc4)nc(-c4ccsc4)c3c2N)c1,0.0990990990990991,413.51000000000016,4.441720000000002,94.54,2,7,5,3451,property_matched
C5W4D_009,COC(=O)c1cn(CC(c2ccccc2)c2c[nH]c3ccccc23)cc2c(O)nnc1-2,0.10377358490566038,412.4490000000002,4.188500000000004,93.03,2,5,5,129,property_matched
C5W4D_010,CCn1c2ccccc2c2cc(NC(=O)COC(=O)c3cc(=O)[nH]c4ccccc34)ccc21,0.11650485436893204,439.4710000000001,4.451400000000003,93.19,2,4,5,4076,property_matched
