subset,ligand_id,seed,status,sdf
positives,MCC950,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/MCC950_out.sdf
positives,MCC950,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/MCC950_out.sdf
positives,CHEMBL4204644,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL4204644_out.sdf
positives,MCC950,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/MCC950_out.sdf
positives,CHEMBL4204644,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL4204644_out.sdf
positives,CHEMBL4204644,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL4204644_out.sdf
positives,CHEMBL5219789,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL5219789_out.sdf
positives,CHEMBL5219789,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL5219789_out.sdf
positives,CHEMBL4212407,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL4212407_out.sdf
positives,CHEMBL5219789,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL5219789_out.sdf
positives,CHEMBL4212407,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL4212407_out.sdf
positives,CHEMBL4212407,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL4212407_out.sdf
positives,CHEMBL6143743,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL6143743_out.sdf
positives,CHEMBL6143743,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL6143743_out.sdf
positives,CHEMBL4209503,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL4209503_out.sdf
positives,CHEMBL6143743,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL6143743_out.sdf
positives,CHEMBL4209503,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL4209503_out.sdf
positives,CHEMBL4209503,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL4209503_out.sdf
positives,CHEMBL4216836,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL4216836_out.sdf
positives,CHEMBL4216836,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL4216836_out.sdf
positives,CHEMBL4216836,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL4216836_out.sdf
positives,CHEMBL6171925,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed42/CHEMBL6171925_out.sdf
positives,CHEMBL6171925,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed43/CHEMBL6171925_out.sdf
positives,CHEMBL6171925,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/positives/seed44/CHEMBL6171925_out.sdf
background,REP_07837,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/background/seed43/REP_07837_out.sdf
background,REP_07837,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/background/seed44/REP_07837_out.sdf
decoys,C5W4D_001,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_001_out.sdf
decoys,C5W4D_001,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_001_out.sdf
decoys,C5W4D_002,42,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_002_out.sdf
decoys,C5W4D_002,43,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_002_out.sdf
decoys,C5W4D_002,44,fail,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_002_out.sdf
decoys,C5W4D_001,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_001_out.sdf
decoys,C5W4D_003,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_003_out.sdf
decoys,C5W4D_003,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_003_out.sdf
decoys,C5W4D_003,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_003_out.sdf
decoys,C5W4D_004,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_004_out.sdf
decoys,C5W4D_004,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_004_out.sdf
decoys,C5W4D_004,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_004_out.sdf
decoys,C5W4D_005,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_005_out.sdf
decoys,C5W4D_005,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_005_out.sdf
decoys,C5W4D_005,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_005_out.sdf
decoys,C5W4D_006,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_006_out.sdf
decoys,C5W4D_006,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_006_out.sdf
decoys,C5W4D_006,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_006_out.sdf
decoys,C5W4D_007,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_007_out.sdf
decoys,C5W4D_007,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_007_out.sdf
decoys,C5W4D_008,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_008_out.sdf
decoys,C5W4D_007,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_007_out.sdf
decoys,C5W4D_008,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_008_out.sdf
decoys,C5W4D_008,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_008_out.sdf
decoys,C5W4D_009,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_009_out.sdf
decoys,C5W4D_009,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_009_out.sdf
decoys,C5W4D_009,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_009_out.sdf
decoys,C5W4D_010,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_010_out.sdf
decoys,C5W4D_010,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_010_out.sdf
decoys,C5W4D_010,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_010_out.sdf
decoys,C5W4D_011,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_011_out.sdf
decoys,C5W4D_011,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_011_out.sdf
decoys,C5W4D_012,42,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed42/C5W4D_012_out.sdf
decoys,C5W4D_011,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_011_out.sdf
decoys,C5W4D_012,43,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed43/C5W4D_012_out.sdf
decoys,C5W4D_012,44,ok,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/02_nlrp3_panel/decoys/seed44/C5W4D_012_out.sdf
