ligand_id,sdf,n_poses,keep_urat1_ifp,keep_urat1_ifp_best_of_9,selected_mode_cnn,acid_arg477_min_A,pocket_overlap_frac,ifp_jaccard_vs_crystal_union,n_key_contacts,key_frac,clash,pass_arg,pass_overlap,pass_ifp,pass_key,pass_clash,CNNscore,CNNaffinity,ifp_bits,best_of_9_mode,best_of_9_ifp_jaccard,label,canonical_smiles,set_role,keep_a1,keep_a2,keep_a1_and_a2
mol_00024,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00024_out.sdf,9,True,True,1,3.4132623587998627,0.88,0.8846153846153846,10,0.9090909090909091,False,True,True,True,True,True,0.7259992957,6.7667756081,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE364;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:LYS393;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE364;CONTACT:PHE365;CONTACT:PHE449;CONTACT:SER35;HBOND:ARG477;HBOND:GLN473;HBOND:LYS393;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE364;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,4,0.92,1,C/C(=C\C(=O)O)Sc1ccc2ccccc2c1-c1ccc(C#N)cc1,active,True,True,True
mol_00025,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00025_out.sdf,9,True,False,1,2.843619415463324,0.92,0.6923076923076923,8,0.7272727272727273,False,True,True,True,True,True,0.5761833787,6.5154175758,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:LYS393;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HBOND:MET214;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,2,0.7692307692307693,1,C/C(=C\C(=O)O)c1ccc2cncc(-c3ccc([N+](=O)[O-])cc3)c2c1,active,True,True,True
mol_00026,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00026_out.sdf,9,True,False,1,3.16465123986831,0.8,0.6538461538461539,7,0.6363636363636364,False,True,True,True,True,True,0.7440925241,6.8156781197,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HBOND:GLN473;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,6,0.92,1,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,active,True,True,True
mol_00027,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00027_out.sdf,9,False,False,1,11.924059282811365,0.8846153846153846,0.8,9,0.8181818181818182,False,False,True,True,True,True,0.5793101192,6.1624073982,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:LYS393;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;CONTACT:SER35;HBOND:GLN473;HBOND:LYS393;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,3,0.88,1,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)cc1)CC2=O)C(=O)O,active,False,True,False
mol_00028,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00028_out.sdf,9,True,False,1,3.086829049364408,0.8333333333333334,0.6538461538461539,7,0.6363636363636364,False,True,True,True,True,True,0.670917213,5.7942385674,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HBOND:GLN473;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,5,0.92,1,C/C(=C\Cc1c(O)ccc2c1OC(c1cccs1)CC2=O)C(=O)O,active,True,True,True
mol_00029,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00029_out.sdf,9,True,False,1,3.1442041552672673,0.75,0.7692307692307693,8,0.7272727272727273,False,True,True,True,True,True,0.6392946839,5.9385104179,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE364;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE364;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HBOND:GLN473;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE364;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,2,0.88,1,C/C(=C\Cc1c(O)ccc2c1OC(c1ccsc1)CC2=O)C(=O)O,active,True,True,True
mol_00030,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00030_out.sdf,9,True,False,1,3.1597702258233906,0.8928571428571429,0.8461538461538461,10,0.9090909090909091,False,True,True,True,True,True,0.7563765645,6.5908694267,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE364;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:LYS393;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE364;CONTACT:PHE365;CONTACT:PHE449;CONTACT:SER35;HBOND:ARG477;HBOND:GLN473;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE364;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,3,0.92,1,C/C(=C\Cc1c(O)ccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O,active,True,True,True
mol_00031,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00031_out.sdf,9,True,False,1,3.0943026031724887,0.75,0.68,7,0.6363636363636364,False,True,True,True,True,True,0.6427295804,6.0171742439,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,3,0.88,1,C/C(=C\Cc1cccc2c1OC(c1cc(Br)cs1)CC2=O)C(=O)O,active,True,True,True
mol_00032,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00032_out.sdf,9,True,False,1,3.155183419391016,0.7931034482758621,0.68,7,0.6363636363636364,False,True,True,True,True,True,0.7175181508,6.6758880615,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:GLN473;CONTACT:MET214;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE365;CONTACT:PHE449;HBOND:ARG477;HYDROPHOBIC:MET214;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,9,0.92,1,C/C(=C\Cc1cccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,active,True,True,True
mol_00033,/home/gwj/work/c1-campaign/URAT1_NLRP3_DualTarget_AIDD_Project/docking_export_20260820/01_phase1_benchmark_URAT1_9DKB/poses/gnina_sdf/mol_00033_out.sdf,9,False,False,1,13.032589073933075,1.0,0.7692307692307693,9,0.8181818181818182,False,False,True,True,True,True,0.6646162868,6.1865134239,AROMATIC:PHE241;AROMATIC:PHE360;AROMATIC:PHE364;AROMATIC:PHE365;AROMATIC:PHE449;CONTACT:ARG477;CONTACT:ASP389;CONTACT:GLN473;CONTACT:LYS393;CONTACT:PHE241;CONTACT:PHE360;CONTACT:PHE364;CONTACT:PHE365;CONTACT:PHE449;HBOND:GLN473;HBOND:LYS393;HYDROPHOBIC:PHE241;HYDROPHOBIC:PHE360;HYDROPHOBIC:PHE364;HYDROPHOBIC:PHE365;HYDROPHOBIC:PHE449;POLAR:ARG477,8,0.9583333333333334,1,C/C(=C\Cc1cccc2c1OC(c1cccs1)CC2=O)C(=O)O,active,False,True,False
