ligand_id,name,chembl_id,inchi_key,canonical_smiles,scaffold,in_nlrp3_train_chembl_id,in_nlrp3_train_inchikey,in_clinical_library_8319,in_urat1_curated_chembl_id,max_tc_nlrp3_train_all,nn_nlrp3_train_all_id,nn_nlrp3_train_all_name,max_tc_nlrp3_train_active,nn_nlrp3_train_active_id,nn_nlrp3_train_active_name,max_tc_nlrp3_direct_or_published_dual,nn_nlrp3_direct_or_published_dual_id,nn_nlrp3_direct_or_published_dual_name,max_tc_urat1_known,nn_urat1_known_id,nn_urat1_known_name
REP_00940,LANIFIBRANOR,CHEMBL4091374,OQDQIFQRNZIEEJ-UHFFFAOYSA-N,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,O=S(=O)(c1ccc2ncsc2c1)n1ccc2ccccc21,False,False,True,False,0.2051,CHEMBL4227524,nan,0.1837,CHEMBL5570706,nan,0.172,NatCommun_compound_32,NatCommun_compound_32,0.2857,CHEMBL3692019,nan
REP_00950,TONAPOFYLLINE,CHEMBL414157,ZWTVVWUOTJRXKM-UHFFFAOYSA-N,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,O=c1[nH]c(=O)c2[nH]c(C34CCC(CC3)CC4)nc2[nH]1,False,False,True,False,0.1975,CHEMBL5590037,nan,0.1556,CHEMBL5573781,nan,0.0952,HNW005,HNW005,0.2,CHEMBL5829713,nan
REP_00992,CAFICRESTAT,CHEMBL4297455,YRGPAXAVTDMKDK-UHFFFAOYSA-N,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,O=c1c2nccnc2cnn1Cc1nc2ccccc2s1,False,False,True,False,0.2778,CHEMBL5399146,nan,0.2778,CHEMBL5399146,nan,0.1928,HNW005,HNW005,0.2785,CHEMBL6173784,nan
REP_01147,ADMILPARANT,CHEMBL5087506,UEUNDURNLYLSNB-HOTGVXAUSA-N,CCCN(C)C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)c(C)n2)nnn1C,c1cc(-c2c[nH]nn2)ncc1OC1CCCCC1,False,False,True,False,0.2404,CHEMBL5592201,nan,0.2404,CHEMBL5592201,nan,0.1111,CHEMBL5219789,CHEMBL5219789,0.1782,CHEMBL5839147,nan
REP_05141,LINTITRIPT,CHEMBL249973,ILNRQFBVVQUOLP-UHFFFAOYSA-N,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,O=C(Nc1nc(-c2ccccc2)cs1)c1cc2ccccc2[nH]1,False,False,True,False,0.2471,CHEMBL6170682,nan,0.2471,CHEMBL6170682,nan,0.3291,NatCommun_compound_32,NatCommun_compound_32,0.3291,NatCommun_compound_32,NatCommun_compound_32
REP_05302,SPIROGLUMIDE,CHEMBL283820,FJCZHMXAGBYXHJ-QGZVFWFLSA-N,O=C(O)CC[C@@H](NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1,O=C(NCC(=O)N1CCC2(CCCC2)CC1)c1ccccc1,False,False,True,False,0.2,CHEMBL4744726,nan,0.1978,CHEMBL5422764,nan,0.1667,NP3-146,NP3-146,0.1948,CHEMBL5881831,nan
REP_06119,CAVOSONSTAT,CHEMBL3989910,BXSZILNGNMDGSL-UHFFFAOYSA-N,O=C(O)c1ccc(-c2ccc3cc(O)ccc3n2)c(Cl)c1,c1ccc(-c2ccc3ccccc3n2)cc1,False,False,True,False,0.2167,CHEMBL6041736,nan,0.2167,CHEMBL6041736,nan,0.1714,HNW005,HNW005,0.2931,CHEMBL6026923,nan
REP_06643,RUNCACIGUAT,CHEMBL4650322,NCRMKIWHFXSBGZ-CNBXIYLPSA-N,C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,O=C(Cc1ccccc1)Nc1cccc(CC2CC2)c1,False,False,True,False,0.1974,CHEMBL4786342,nan,0.1959,CHEMBL5422764,nan,0.1951,HNW005,HNW005,0.2118,CHEMBL6160672,nan
REP_06875,FULIMETIBANT,CHEMBL5095100,DFQFSWDEFZCQLH-UHFFFAOYSA-N,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,O=C(Nc1ccc(-c2cnn(C3CCC3)c2)cc1)C1(c2ccccc2)CC1,False,False,True,False,0.2584,CHEMBL6165821,nan,0.2584,CHEMBL6165821,nan,0.2529,HNW005,HNW005,0.2738,CHEMBL3746480,nan
REP_07580,PF-03882845,CHEMBL1215331,XNULRSOGWPFPBL-REWPJTCUSA-N,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,c1ccc(N2N=C3c4ccccc4CCC3C2C2CCCC2)cc1,False,False,True,False,0.2157,CHEMBL5592492,nan,0.2157,CHEMBL5592492,nan,0.1667,CHEMBL6171925,CHEMBL6171925,0.2949,CHEMBL6148570,nan
