ligand,pdb,seed,self_dock,cnnscore_rank,sdf_index,CNNscore,pose_rmsd_A
benzbromarone,9DKB,43,False,1,0,0.765814543,1.390386237705194
benzbromarone,9DKB,43,False,2,1,0.735961199,6.085658368731284
benzbromarone,9DKB,43,False,3,2,0.731762767,6.096864185718008
benzbromarone,9DKB,43,False,4,3,0.710762262,1.4474332105803405
benzbromarone,9DKB,43,False,5,4,0.621731222,4.454515207680243
benzbromarone,9DKB,43,False,6,5,0.59719938,5.393202715118693
benzbromarone,9DKB,43,False,7,6,0.595559299,
benzbromarone,9DKB,43,False,8,7,0.593213439,6.273040873379586
benzbromarone,9DKB,43,False,9,8,0.593090594,6.255334170929641
benzbromarone,9DKB,44,False,1,0,0.736814618,1.4402118906605377
benzbromarone,9DKB,44,False,2,1,0.700203657,1.4370963271946553
benzbromarone,9DKB,44,False,3,2,0.688660383,6.039065955698178
benzbromarone,9DKB,44,False,4,3,0.601089001,3.9797984792517505
benzbromarone,9DKB,44,False,5,4,0.598731399,5.953094894789068
benzbromarone,9DKB,44,False,6,5,0.597767472,
benzbromarone,9DKB,44,False,7,6,0.597242177,6.254314278160318
benzbromarone,9DKB,44,False,8,7,0.596049726,6.130358705135972
benzbromarone,9DKB,44,False,9,8,0.584349036,6.145755876212465
benzbromarone,9DKC,42,False,1,0,0.746864736,6.667983407740988
benzbromarone,9DKC,42,False,2,1,0.735733986,5.895099217956002
benzbromarone,9DKC,42,False,3,2,0.723914266,4.330504612471435
benzbromarone,9DKC,42,False,4,3,0.704349756,6.409919314376601
benzbromarone,9DKC,42,False,5,4,0.694581807,6.411912623355486
benzbromarone,9DKC,42,False,6,5,0.664429903,1.894456426836421
benzbromarone,9DKC,42,False,7,6,0.656134248,6.397169660980053
benzbromarone,9DKC,42,False,8,7,0.6471591,6.653237783112548
benzbromarone,9DKC,42,False,9,8,0.642186165,6.43084679554157
benzbromarone,9DKC,43,False,1,0,0.745899916,4.536137923638647
benzbromarone,9DKC,43,False,2,1,0.742726684,5.898415875817074
benzbromarone,9DKC,43,False,3,2,0.722649634,
benzbromarone,9DKC,43,False,4,3,0.720670164,4.313956769339173
benzbromarone,9DKC,43,False,5,4,0.683929205,
benzbromarone,9DKC,43,False,6,5,0.67642802,
benzbromarone,9DKC,43,False,7,6,0.673729122,6.684241740398901
benzbromarone,9DKC,43,False,8,7,0.670504391,6.3825784287101675
benzbromarone,9DKC,43,False,9,8,0.649519563,6.269896912194446
benzbromarone,9DKC,44,False,1,0,0.802070737,6.269534688294441
benzbromarone,9DKC,44,False,2,1,0.767783284,4.536730626834101
benzbromarone,9DKC,44,False,3,2,0.761459053,6.252985542086712
benzbromarone,9DKC,44,False,4,3,0.740215123,5.886881122732295
benzbromarone,9DKC,44,False,5,4,0.728794396,6.370790556659212
benzbromarone,9DKC,44,False,6,5,0.717661738,4.368142729779703
benzbromarone,9DKC,44,False,7,6,0.692728937,6.427987350676302
benzbromarone,9DKC,44,False,8,7,0.68883884,6.715386779526283
benzbromarone,9DKC,44,False,9,8,0.674224019,1.8760487947957378
lesinurad,9DKA,42,False,1,0,0.795112073,4.214709048924177
lesinurad,9DKA,42,False,2,1,0.751307845,9.030391295070404
lesinurad,9DKA,42,False,3,2,0.739316702,5.282639052476517
lesinurad,9DKA,42,False,4,3,0.679961562,10.705433848459856
lesinurad,9DKA,42,False,5,4,0.662873447,11.143468295392449
lesinurad,9DKA,42,False,6,5,0.599726081,8.001306548021807
lesinurad,9DKA,42,False,7,6,0.585482121,4.8073015395420455
lesinurad,9DKA,42,False,8,7,0.581490874,5.871042187472624
lesinurad,9DKA,42,False,9,8,0.569512904,5.222252729147004
lesinurad,9DKA,43,False,1,0,0.870005727,9.507385039645934
lesinurad,9DKA,43,False,2,1,0.825499654,5.259496625985227
lesinurad,9DKA,43,False,3,2,0.791536808,4.212432195349458
lesinurad,9DKA,43,False,4,3,0.663815975,5.738691703435838
lesinurad,9DKA,43,False,5,4,0.653052032,4.875946661119596
lesinurad,9DKA,43,False,6,5,0.642905056,5.1958435704657235
lesinurad,9DKA,43,False,7,6,0.642168164,5.675568560395513
lesinurad,9DKA,43,False,8,7,0.632668018,7.951732382029507
lesinurad,9DKA,43,False,9,8,0.606934369,9.210958995063978
lesinurad,9DKA,44,False,1,0,0.869041383,9.50507137841426
lesinurad,9DKA,44,False,2,1,0.795242906,4.217438366522583
lesinurad,9DKA,44,False,3,2,0.722358406,5.130342364347301
lesinurad,9DKA,44,False,4,3,0.675760806,4.875265669726795
lesinurad,9DKA,44,False,5,4,0.6583125,5.2756197756361605
lesinurad,9DKA,44,False,6,5,0.584480882,5.866861453714697
lesinurad,9DKA,44,False,7,6,0.575300694,8.139512589343623
lesinurad,9DKA,44,False,8,7,0.574458182,5.541339213170103
lesinurad,9DKA,44,False,9,8,0.567162991,3.1189990716173663
lesinurad,9DKC,42,False,1,0,0.786039054,6.0098942174897445
lesinurad,9DKC,42,False,2,1,0.722677469,4.508501673366664
lesinurad,9DKC,42,False,3,2,0.692059696,5.123411972382272
lesinurad,9DKC,42,False,4,3,0.657085478,4.880960293707581
lesinurad,9DKC,42,False,5,4,0.655071616,5.0526740557599785
lesinurad,9DKC,42,False,6,5,0.608368874,1.6722595259358928
lesinurad,9DKC,42,False,7,6,0.581091881,5.141894304509768
lesinurad,9DKC,42,False,8,7,0.522182226,4.890508278500644
lesinurad,9DKC,42,False,9,8,0.495863259,5.636729525065932
lesinurad,9DKC,43,False,1,0,0.774171054,6.006934661046625
lesinurad,9DKC,43,False,2,1,0.761679113,4.653776125945109
lesinurad,9DKC,43,False,3,2,0.745484352,5.059275077889124
lesinurad,9DKC,43,False,4,3,0.724953413,4.53257582456341
lesinurad,9DKC,43,False,5,4,0.721163511,5.133848551241391
lesinurad,9DKC,43,False,6,5,0.672405124,5.098771075506007
lesinurad,9DKC,43,False,7,6,0.620132267,5.4765287512940155
lesinurad,9DKC,43,False,8,7,0.592093945,1.698152983513756
lesinurad,9DKC,43,False,9,8,0.585146904,4.836556900876559
lesinurad,9DKC,44,False,1,0,0.781758189,6.005505153364148
lesinurad,9DKC,44,False,2,1,0.739260316,5.087347632976343
lesinurad,9DKC,44,False,3,2,0.737656832,4.502515181956636
lesinurad,9DKC,44,False,4,3,0.6474666,5.059814340838011
lesinurad,9DKC,44,False,5,4,0.637449443,1.6725648733058653
lesinurad,9DKC,44,False,6,5,0.59991473,4.636121826349046
lesinurad,9DKC,44,False,7,6,0.588858724,3.2171846266702384
lesinurad,9DKC,44,False,8,7,0.586959839,5.378098897108842
lesinurad,9DKC,44,False,9,8,0.582899511,3.0164354082398868
TD-3,9DKA,42,False,1,0,0.922343493,1.9245143838307448
TD-3,9DKA,42,False,2,1,0.914361656,5.217987692930239
TD-3,9DKA,42,False,3,2,0.906688511,2.91864204468448
TD-3,9DKA,42,False,4,3,0.852170348,1.5742855883134512
TD-3,9DKA,42,False,5,4,0.792669594,2.7124034609548775
TD-3,9DKA,42,False,6,5,0.790371597,2.767093687943571
TD-3,9DKA,42,False,7,6,0.778309166,5.8690937971109065
TD-3,9DKA,42,False,8,7,0.773409605,2.8974142079003595
TD-3,9DKA,42,False,9,8,0.745944917,2.480010060319457
TD-3,9DKA,43,False,1,0,0.933019221,5.661662097514172
TD-3,9DKA,43,False,2,1,0.922402501,1.9266864410543973
TD-3,9DKA,43,False,3,2,0.913089573,5.223978286913417
TD-3,9DKA,43,False,4,3,0.908539116,2.924221718069371
TD-3,9DKA,43,False,5,4,0.85001415,1.5673510270972688
TD-3,9DKA,43,False,6,5,0.83423835,5.5981813621542695
TD-3,9DKA,43,False,7,6,0.797248363,2.712004757818203
TD-3,9DKA,43,False,8,7,0.789564431,2.7728596055593697
TD-3,9DKA,43,False,9,8,0.781363726,2.907291003297942
TD-3,9DKA,44,False,1,0,0.930541873,5.657924726118983
TD-3,9DKA,44,False,2,1,0.922356069,1.9257334611963908
TD-3,9DKA,44,False,3,2,0.915490031,5.218986669500945
