layer,ligand,target,pdb,seed,self_dock,sdf,status,rmsd_definition,native_like_cutoff_A,n_poses,n_scored_poses,CNNscore_top1,top1_pose_rmsd_A,best_of_9_pose_rmsd_A,best_rmsd_cnnscore_rank,success_at_1,success_at_3,success_at_5,success_at_9,capability_class,acid_arg_top1_A,acid_arg_best_rmsd_A,run_status,reference_transform,reference_ca_rmsd_A
d1,lesinurad,urat1_9dkb,9DKB,42,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.940526247,4.361537544261201,1.2425226523756692,7.0,False,False,False,True,search_ok_selection_fail,14.107409436179271,6.116582787799083,reused,identity,
d1,lesinurad,urat1_9dkb,9DKB,43,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.943714678,4.374537618423235,4.374537618423235,1.0,False,False,False,False,search_incomplete,14.12549942479911,14.12549942479911,reused,identity,
d1,lesinurad,urat1_9dkb,9DKB,44,True,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/lesinurad_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.904750764,4.927145928425501,3.88515891995853,5.0,False,False,False,False,search_incomplete,13.772946634616712,3.0596414822655196,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,42,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed42/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.966074467,3.585375725207765,1.110232858458081,3.0,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,43,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.966175914,3.603307962515454,1.0870610712960318,3.0,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dka,9DKA,44,True,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.965928435,3.5953747370754017,1.108933066264393,3.0,False,True,True,True,search_ok_selection_fail,,,reused,identity,
d1,benzbromarone,urat1_9dkb,9DKB,42,False,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/benzbromarone_out.sdf,ok,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,9.0,9.0,0.7638309,1.3715431783214116,1.3715431783214116,1.0,True,True,True,True,selection_ok,,,reused,chainA_CA_Kabsch_native_onto_dock_receptor,0.8968
d1,benzbromarone,urat1_9dkb,9DKB,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/benzbromarone_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,benzbromarone,urat1_9dkb,9DKB,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/benzbromarone_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,benzbromarone,urat1_9dkc,9DKC,42,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/benzbromarone_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,benzbromarone,urat1_9dkc,9DKC,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/benzbromarone_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,benzbromarone,urat1_9dkc,9DKC,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/benzbromarone_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dka,9DKA,42,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed42/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dka,9DKA,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed43/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dka,9DKA,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed44/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dkc,9DKC,42,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dkc,9DKC,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,lesinurad,urat1_9dkc,9DKC,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/lesinurad_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dka,9DKA,42,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed42/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dka,9DKA,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed43/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dka,9DKA,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dka/seed44/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dkb,9DKB,42,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dkb,9DKB,43,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
d1,TD-3,urat1_9dkb,9DKB,44,False,/workspace/URAT1_NLRP3_DualTarget_AIDD_Project/data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/TD-3_out.sdf,missing,symmetry-aware heavy-atom pose RMSD in docking-receptor frame; no ligand superposition,2.0,,,,,,,,,,,unevaluable,,,scored,,
