layer,ligand,target,pdb,seed,self_dock,action,reuse_source,output_sdf
d1,benzbromarone,urat1_9dka,9DKA,42,True,reuse,data/campaigns/c5/01_crossdock/9dka/seed42/benzbromarone_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dka/seed42/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dka,9DKA,43,True,reuse,data/campaigns/c5/01_crossdock/9dka/seed43/benzbromarone_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dka,9DKA,44,True,reuse,data/campaigns/c5/01_crossdock/9dka/seed44/benzbromarone_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkb,9DKB,42,False,reuse,data/campaigns/c1/03_forced_recovery/urat1_9dkb/seed42/benzbromarone_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkb,9DKB,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkb,9DKB,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkc,9DKC,42,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkc,9DKC,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/benzbromarone_out.sdf
d1,benzbromarone,urat1_9dkc,9DKC,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/benzbromarone_out.sdf
d1,lesinurad,urat1_9dka,9DKA,42,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed42/lesinurad_out.sdf
d1,lesinurad,urat1_9dka,9DKA,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/lesinurad_out.sdf
d1,lesinurad,urat1_9dka,9DKA,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/lesinurad_out.sdf
d1,lesinurad,urat1_9dkb,9DKB,42,True,reuse,data/campaigns/c1/02_selfdock/urat1_9dkb/seed42/lesinurad_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/lesinurad_out.sdf
d1,lesinurad,urat1_9dkb,9DKB,43,True,reuse,data/campaigns/c1/02_selfdock/urat1_9dkb/seed43/lesinurad_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/lesinurad_out.sdf
d1,lesinurad,urat1_9dkb,9DKB,44,True,reuse,data/campaigns/c1/02_selfdock/urat1_9dkb/seed44/lesinurad_out.sdf,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/lesinurad_out.sdf
d1,lesinurad,urat1_9dkc,9DKC,42,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/lesinurad_out.sdf
d1,lesinurad,urat1_9dkc,9DKC,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/lesinurad_out.sdf
d1,lesinurad,urat1_9dkc,9DKC,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/lesinurad_out.sdf
d1,TD-3,urat1_9dka,9DKA,42,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed42/TD-3_out.sdf
d1,TD-3,urat1_9dka,9DKA,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed43/TD-3_out.sdf
d1,TD-3,urat1_9dka,9DKA,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dka/seed44/TD-3_out.sdf
d1,TD-3,urat1_9dkb,9DKB,42,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkb/seed42/TD-3_out.sdf
d1,TD-3,urat1_9dkb,9DKB,43,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkb/seed43/TD-3_out.sdf
d1,TD-3,urat1_9dkb,9DKB,44,False,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkb/seed44/TD-3_out.sdf
d1,TD-3,urat1_9dkc,9DKC,42,True,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed42/TD-3_out.sdf
d1,TD-3,urat1_9dkc,9DKC,43,True,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed43/TD-3_out.sdf
d1,TD-3,urat1_9dkc,9DKC,44,True,new_gnina,,data/campaigns/c5/06_capability_dock/d1/9dkc/seed44/TD-3_out.sdf
