canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
O=C(O)CC1(CSc2ccncc2C2=CC=C(CO)CC2)CC1,C1=CCCC(c2cnccc2SCC2CC2)=C1,B,scaffold_representative,urat1_curated.csv,True,6.26,URAT1,,CHEMBL5904092
O/N=C(\Cc1ccc(Br)cc1)c1ccc(O)cc1O,N=C(Cc1ccccc1)c1ccccc1,B,scaffold_representative,urat1_curated.csv,True,6.84,URAT1,,CHEMBL6133706
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)C1CC1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)C1CC1,B,scaffold_representative,urat1_curated.csv,True,4.93,URAT1,,CHEMBL5268476
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1cc(F)cc(F)c1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,B,scaffold_representative,urat1_curated.csv,True,5.12,URAT1,,CHEMBL5287151
O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(Cl)s1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1cccs1,B,scaffold_representative,urat1_curated.csv,True,5.01,URAT1,,CHEMBL5278085
O=C(CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(Br)cc1,O=C(CSc1nncn1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,B,scaffold_representative,urat1_curated.csv,True,5.38,URAT1,,CHEMBL4756866
CC(NC(=O)Cc1c(Cl)cccc1Cl)c1ccc(CCC(=O)O)cn1,O=C(Cc1ccccc1)NCc1ccccn1,B,scaffold_representative,urat1_curated.csv,True,6.54,URAT1,,CHEMBL5881831
O=C(Nc1ccc(-c2[nH]nnc2-c2ccccc2)cc1)c1c(O)[nH]c(=O)[nH]c1=O,O=C(Nc1ccc(-c2[nH]nnc2-c2ccccc2)cc1)c1c[nH]c(=O)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,6.96,URAT1,,CHEMBL5775947
O=C(Nc1ccc(-c2c[nH]nn2)cc1C(F)(F)F)c1c(O)[nH]c(=O)[nH]c1=O,O=C(Nc1ccc(-c2c[nH]nn2)cc1)c1c[nH]c(=O)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,5.8,URAT1,,CHEMBL5962284
CC(C)Sc1nc(O)c(C(=O)Nc2ccc(-c3c[nH]nn3)cc2)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cc1)c1cnc[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,5.97,URAT1,,CHEMBL5933429
CSc1nc(O)c(C(=O)Nc2ncc(-c3c[nH]nn3)cc2C(F)(F)F)c(=O)[nH]1,O=C(Nc1ccc(-c2c[nH]nn2)cn1)c1cnc[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,4.7,URAT1,,CHEMBL5765233
O=C(Nc1ccc(-c2cc(O)n[nH]2)cc1)c1c(O)[nH]c(=O)[nH]c1=O,O=C(Nc1ccc(-c2ccn[nH]2)cc1)c1c[nH]c(=O)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,5.04,URAT1,,CHEMBL5968035
O=C(Nc1ccc(-c2cnn[nH]2)cc1)c1c(O)[nH]c(=S)[nH]c1=O,O=C(Nc1ccc(-c2cnn[nH]2)cc1)c1c[nH]c(=S)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,4.96,URAT1,,CHEMBL5860383
O=C(Nc1ccc(-c2cnn[nH]2)cc1)c1c(O)nc(O)[nH]c1=O,O=C(Nc1ccc(-c2cnn[nH]2)cc1)c1cnc[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,6.16,URAT1,,CHEMBL5428787
CSc1nc(O)c(C(=O)Nc2ccc(-c3nnc[nH]3)cc2)c(=O)[nH]1,O=C(Nc1ccc(-c2nnc[nH]2)cc1)c1cnc[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,4.99,URAT1,,CHEMBL6057356
O=C(Nc1ccc(-c2nnn[nH]2)cc1)c1c(O)[nH]c(=O)[nH]c1=O,O=C(Nc1ccc(-c2nnn[nH]2)cc1)c1c[nH]c(=O)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,5.02,URAT1,,CHEMBL5949882
O=C(Nc1ccc(-c2nnn[nH]2)cc1)c1c(O)[nH]c(=S)[nH]c1=O,O=C(Nc1ccc(-c2nnn[nH]2)cc1)c1c[nH]c(=S)[nH]c1=O,B,scaffold_representative,urat1_curated.csv,True,6.41,URAT1,,CHEMBL5400912
