canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
O=S(=O)(CCc1ccccc1)NCC(c1cccs1)N1CCOCC1,O=S(=O)(CCc1ccccc1)NCC(c1cccs1)N1CCOCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cn1ccnc1C(NCc1cnn2ccccc12)C1CCOCC1,c1ccn2ncc(CNC(c3ncc[nH]3)C3CCOCC3)c2c1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccc(S(=O)(=O)N2C[C@H]3C[C@H](NC(=O)c4ccnn4C)[C@H]3C2)cc1,O=C(NC1CC2CN(S(=O)(=O)c3ccccc3)CC21)c1ccn[nH]1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(c1n[nH]c2c1CCC2)N1CCCC1c1ccccn1,O=C(c1n[nH]c2c1CCC2)N1CCCC1c1ccccn1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=c1[nH]c2cc3c(cc2cc1CN(C(=S)NCc1ccccc1)C1CCCC1)OCCO3,O=c1[nH]c2cc3c(cc2cc1CN(C(=S)NCc1ccccc1)C1CCCC1)OCCO3,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CCOc1ccccc1-c1noc(-c2ccc3c(=O)n(CCc4ccccc4)c(=O)[nH]c3c2)n1,O=c1[nH]c2cc(-c3nc(-c4ccccc4)no3)ccc2c(=O)n1CCc1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1noc(CC2CCOC3(CCN(C(=O)CCc4c(C)nn(C)c4C)CC3)C2)n1,O=C(CCc1cn[nH]c1)N1CCC2(CC1)CC(Cc1ncno1)CCO2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CCSCCC(=O)N1CCc2ccccc21)N1CCc2ccccc21,O=C(CCSCCC(=O)N1CCc2ccccc21)N1CCc2ccccc21,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=S1(=O)C[C@H](NCc2ccc(F)cc2)[C@@H](S(=O)(=O)c2cccs2)C1,O=S1(=O)CC(NCc2ccccc2)C(S(=O)(=O)c2cccs2)C1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
COc1ccc(CCC(=O)Nc2ccc3c(c2)NC(=O)C(C)(C)CO3)cc1,O=C(CCc1ccccc1)Nc1ccc2c(c1)NC(=O)CCO2,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
NC(=O)CSc1nc2scc(C3CC3)c2c(=O)n1-c1ccccc1,O=c1c2c(C3CC3)csc2ncn1-c1ccccc1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1c(NC(=O)COC(=O)c2ccc(-c3ccccc3)cc2)c(=O)n(-c2ccccc2)n1C,O=C(COC(=O)c1ccc(-c2ccccc2)cc1)Nc1c[nH]n(-c2ccccc2)c1=O,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccc2cc(CN(Cc3cccs3)C(=S)NCCCN3CCOCC3)c(=O)[nH]c2c1,O=c1[nH]c2ccccc2cc1CN(Cc1cccs1)C(=S)NCCCN1CCOCC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
CC1=C(C#N)C(=O)N(CCc2c[nH]c3ccccc23)C(=O)/C1=C\Nc1cccc2ncccc12,O=C1C=CC(=CNc2cccc3ncccc23)C(=O)N1CCc1c[nH]c2ccccc12,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
O=C(CO)N1CCCC(N2C(=O)NC3(CC[NH+](Cc4ccccc4)CC3)C2=O)C1,O=C1NC2(CC[NH+](Cc3ccccc3)CC2)C(=O)N1C1CCCNC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
Cc1ccc(-c2ccc(C(=O)N3CCC(c4nnc5n4CCCCC5)CC3)cc2)o1,O=C(c1ccc(-c2ccco2)cc1)N1CCC(c2nnc3n2CCCCC3)CC1,D,unlabeled_negative,taosu_20210823_100w_asteroid_murcko_protonized.csv,False,,,,
