canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id
O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,E,benchmark_reference,literature_benchmarks.csv,True,7.41,URAT1,lesinurad,CHEMBL3301572
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_reference,literature_benchmarks.csv,True,9.54,URAT1,benzbromarone,CHEMBL892
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,c1cncc(-c2cccc3ccccc23)c1,E,benchmark_reference,literature_benchmarks.csv,True,10.6,URAT1,verinurad,CHEMBL3989871
O=C(c1cc(Cl)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_reference,literature_benchmarks.csv,True,10.43,URAT1,dotinurad,CHEMBL4594374
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_reference,literature_benchmarks.csv,True,11.12,NLRP3,MCC950,CHEMBL230208
CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_reference,literature_benchmarks.csv,True,10.8,NLRP3,GDC-2394,—
Cn1cnc2c(O)ncnc21,c1ncc2nc[nH]c2n1,E,benchmark_reference,literature_benchmarks.csv,True,5.77,URAT1,allopurinol,CHEMBL1467
COc1cc(C)c2ccc(NC(C)=O)c(C3CC4CC(O)C3O4)c2c1,c1ccc2c(C3CC4CCC3O4)cccc2c1,E,benchmark_reference,literature_benchmarks.csv,True,4.62,NLRP3,colchicine,CHEMBL211056
CN[C@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_analog,project_library_neighbor,True,5.85,NLRP3,GDC-2394,
[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.22,NLRP3,MCC950,
[2H]C([2H])([2H])C(O)(c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1)C([2H])([2H])[2H],O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.3,NLRP3,MCC950,
O=C(c1cc(F)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_analog,project_library_neighbor,True,4.47,URAT1,dotinurad,
[2H]C1([2H])CCc2c1cc1c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC1([2H])[2H],O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.15,NLRP3,MCC950,
[2H]C1([2H])CCc2cc3c(c(NC(=O)NS(=O)(=O)c4cc(C(C)(C)O)co4)c21)C([2H])([2H])CC3,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.22,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC(O)C4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,5.74,NLRP3,MCC950,
CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)[O-].[Na+],c1cncc(-c2cccc3ccccc23)c1,E,benchmark_analog,project_library_neighbor,True,6.77,URAT1,verinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2C(O)CC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.63,NLRP3,MCC950,
COc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(Cl)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_analog,project_library_neighbor,True,5.37,URAT1,dotinurad,
CSc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(Cl)c1O,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_analog,project_library_neighbor,True,5.24,URAT1,dotinurad,
O=C(c1cc(Cl)c(O)c(C(F)(F)F)c1)N1CS(=O)(=O)c2ccccc21,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21,E,benchmark_analog,project_library_neighbor,True,5.58,URAT1,dotinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4O)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,5.71,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@@H]4O)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,5.2,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CC[C@H]4O)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,5.91,NLRP3,MCC950,
CN(C)[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_analog,project_library_neighbor,True,7.89,NLRP3,GDC-2394,
CCc1oc2cc(O)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,6.7,URAT1,benzbromarone,
CCc1oc2ccc(O)cc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,6.72,URAT1,benzbromarone,
CN(C)CC1COc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cnn2C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_analog,project_library_neighbor,True,5.62,NLRP3,GDC-2394,
CC(C)(Sc1ccncc1Cc1ccc(C#N)c2ccccc12)C(=O)O,c1cncc(Cc2cccc3ccccc23)c1,E,benchmark_analog,project_library_neighbor,True,5.68,URAT1,verinurad,
COC1CN([C@@H]2COc3c(S(=O)(=O)NC(=O)Nc4c5c(cc6c4CCC6)CCC5)cnn3C2)C1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCC(N1CCC1)C2,E,benchmark_analog,project_library_neighbor,True,7.92,NLRP3,GDC-2394,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cncnc3)ccc3c2CCC3)c1,O=C(Nc1c(-c2cncnc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.82,NLRP3,MCC950,
Cc1cc(F)ccc1-c1ccc2c(c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1)CCC2,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.25,NLRP3,MCC950,
CN[C@H]1COc2c(S(=O)(=O)NC(=O)Nc3c(-c4ccc([N+](=O)[O-])cc4)ccc4c3CCC4)cnn2C1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_analog,project_library_neighbor,True,6.58,NLRP3,GDC-2394,
CC(C)(O)c1coc(/C=C/S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)C=Cc1ccco1,E,benchmark_analog,project_library_neighbor,True,6.68,NLRP3,MCC950,
CCc1oc2cc(O)c(Br)cc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,5.78,URAT1,benzbromarone,
O=C(CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccc(Br)cc1,O=C(CSc1nncn1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1,E,benchmark_analog,project_library_neighbor,True,5.38,URAT1,lesinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccs3)ccc3c2CCC3)c1,O=C(Nc1c(-c2cccs2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,6.53,NLRP3,MCC950,
Cc1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.12,NLRP3,MCC950,
O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cnn2c1OCCC2,E,benchmark_analog,project_library_neighbor,True,7.2,NLRP3,GDC-2394,
CCc1oc2cc(OC)ccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,6.96,URAT1,benzbromarone,
CCc1oc2ccc(OC)cc2c1C(=O)c1cc(Br)c(O)c(Br)c1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,7.38,URAT1,benzbromarone,
CC(C)(O)c1coc(S(=O)(=O)[N-]C(=O)Nc2c3c(cc4c2CCC4)CCC3)c1.[Na+],O=C([N-]S(=O)(=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,7.52,NLRP3,MCC950,
CC(C)(Sc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12)C(=O)O,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,E,benchmark_analog,project_library_neighbor,True,5.67,URAT1,lesinurad,
O=C(O)CSc1nnc(Br)n1Cc1ccc(C2CC2)c2ccccc12,c1ccc2c(C3CC3)ccc(Cn3cnnc3)c2c1,E,benchmark_analog,project_library_neighbor,True,6.7,URAT1,lesinurad,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc4ccccc4c3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccc3ccccc3c2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.72,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.0,NLRP3,MCC950,
CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,O=C(c1ccccc1)c1coc2ccccc12,E,benchmark_analog,project_library_neighbor,True,5.55,URAT1,benzbromarone,
CC(C)(O)c1coc(S(N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,7.54,NLRP3,MCC950,
CC(C)(O)c1coc([S@@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,5.89,NLRP3,MCC950,
CC(C)(O)c1coc([S@](N)(=O)=NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(N=[SH](=O)c1ccco1)Nc1c2c(cc3c1CCC3)CCC2,E,benchmark_analog,project_library_neighbor,True,7.89,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccccc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,8.22,NLRP3,MCC950,
CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccnc(F)c3)ccc3c2CCC3)c1,O=C(Nc1c(-c2ccncc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.57,NLRP3,MCC950,
O=C(O)CCc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,E,benchmark_analog,project_library_neighbor,True,5.74,URAT1,lesinurad,
CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1cccs1,E,benchmark_analog,project_library_neighbor,True,6.57,NLRP3,MCC950,
N#Cc1ccc(-c2cnccc2SCCC(=O)O)c2ccccc12,c1cncc(-c2cccc3ccccc23)c1,E,benchmark_analog,project_library_neighbor,True,6.26,URAT1,verinurad,
COc1cncc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1,O=C(Nc1c(-c2cccnc2)ccc2c1CCC2)NS(=O)(=O)c1ccco1,E,benchmark_analog,project_library_neighbor,True,7.5,NLRP3,MCC950,
