canonical_smiles,scaffold,subset,label_type,source_library,has_bioactivity_label,pActivity,target_arm,benchmark_ref,molecule_chembl_id,inchikey_block1,dock_title,join_method,glide_score_xp,pdb_id,docked,s_u_raw,s_u_percentile
N#Cc1cccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,A,urat1_pactivity,urat1_curated.csv,True,6.69,URAT1,,CHEMBL3683300,PQJSIWFIPFSHFB,A1,title,-9.8985,9DKB,True,9.8985,95.75492831541219
N#Cc1ccc(Oc2cnccc2SCCCCCCC(=O)[O-])c2ccccc12.[Na+],c1cncc(Oc2cccc3ccccc23)c1,A,urat1_pactivity,urat1_curated.csv,True,5.42,URAT1,,CHEMBL5178951,WELOYNXMAZERAA,A2,title,-9.13953,9DKB,True,9.13953,87.02956989247312
N#Cc1ccc(Oc2cnccc2SCc2ccc(-c3ccccc3C(=O)[O-])cc2)c2ccccc12.[Na+],c1ccc(-c2ccc(CSc3ccncc3Oc3cccc4ccccc34)cc2)cc1,A,urat1_pactivity,urat1_curated.csv,True,4.82,URAT1,,CHEMBL5191628,DDWUDMJWVXBVSA,A3,title,-11.2868,9DKB,True,11.2868,99.4567652329749
N#Cc1ccc(Oc2cnccc2SCc2ccc(C(=O)[O-])cc2)c2ccccc12.[Na+],c1ccc(CSc2ccncc2Oc2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,4.99,URAT1,,CHEMBL5204323,PQODUPLVOXHLSI,A4,title,-8.55985,9DKB,True,8.55985,74.60797491039428
N#Cc1ccc(Oc2cnccc2SCc2cccc(C(=O)[O-])c2)c2ccccc12.[Na+],c1ccc(CSc2ccncc2Oc2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.18,URAT1,,CHEMBL5195683,IKTPTZDYJOZHCN,A5,title,-9.63912,9DKB,True,9.63912,93.63799283154121
N#Cc1ccc(Oc2cnccc2SCc2ccccc2C(=O)[O-])c2ccccc12.[Na+],c1ccc(CSc2ccncc2Oc2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.16,URAT1,,CHEMBL5183898,XSSSFTAWSNPAAF,A6,title,-10.7476,9DKB,True,10.7476,98.93593189964157
N#Cc1ccc(Oc2cnccc2Sc2ccc(Br)cc2CC(=O)[O-])c2ccccc12.[Na+],c1ccc(Sc2ccncc2Oc2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,5.09,URAT1,,CHEMBL5175506,IOLVJGBMSHXKSK,A7,title,-8.95212,9DKB,True,8.95212,83.60215053763442
N#Cc1ccc(Oc2cnccc2Sc2cccc([N+](=O)[O-])c2CC(=O)[O-])c2ccccc12.[Na+],c1ccc(Sc2ccncc2Oc2cccc3ccccc23)cc1,A,urat1_pactivity,urat1_curated.csv,True,4.98,URAT1,,CHEMBL5202543,RHQCNHXAEYOUAV,A8,title,-8.70768,9DKB,True,8.70768,78.18100358422939
N#Cc1ccc(S(=O)(=O)Nc2ccncc2-c2ccc(C#N)c3ccccc23)cc1,O=S(=O)(Nc1ccncc1-c1cccc2ccccc12)c1ccccc1,A,urat1_pactivity,urat1_curated.csv,True,5.85,URAT1,,CHEMBL4085591,PMGSOLZLCYMUAB,A9,title,-6.37508,9DKB,True,6.37508,18.962813620071685
N#Cc1ccc(SC2(C(=O)O)CCC2)c2ccccc12,c1ccc2c(SC3CCC3)cccc2c1,A,urat1_pactivity,urat1_curated.csv,True,6.03,URAT1,,CHEMBL3747094,ZXLPEHDPHSNVTC,A10,title,-10.3588,9DKB,True,10.3588,98.10707885304659
