ligand_id,name,seed,sdf_exists,method,9DKB_native_arg_A,9DKB_native_arg_pass_7.7027,9DKB_native_n_phe_cage,9DKB_native_phe_ok,9DKA_benzbromarone_arg_A,9DKA_benzbromarone_arg_pass_7.7027,9DKA_benzbromarone_n_phe_cage,9DKA_benzbromarone_phe_ok,9DKC_TD3_arg_A,9DKC_TD3_arg_pass_7.7027,9DKC_TD3_n_phe_cage,9DKC_TD3_phe_ok,9B1I_verinurad_arg_A,9B1I_verinurad_arg_pass_7.7027,9B1I_verinurad_n_phe_cage,9B1I_verinurad_phe_ok,n_receptors_arg_pass,n_receptors_phe_ok
REP_00940,LANIFIBRANOR,42,True,pose_transfer_CA_Kabsch_not_redock,2.913,True,5,True,3.506,True,5,True,2.53,True,5,True,2.876,True,5,True,4,4
REP_00950,TONAPOFYLLINE,42,True,pose_transfer_CA_Kabsch_not_redock,4.402,True,5,True,4.44,True,5,True,4.395,True,5,True,4.476,True,5,True,4,4
REP_00992,CAFICRESTAT,42,True,pose_transfer_CA_Kabsch_not_redock,3.024,True,3,True,2.709,True,3,True,2.639,True,3,True,1.89,True,3,True,4,4
REP_01147,ADMILPARANT,42,True,pose_transfer_CA_Kabsch_not_redock,3.084,True,5,True,3.224,True,5,True,2.655,True,5,True,2.12,True,5,True,4,4
REP_05141,LINTITRIPT,42,True,pose_transfer_CA_Kabsch_not_redock,7.676,True,2,True,7.834,False,3,True,7.375,True,2,True,7.09,True,3,True,3,4
REP_05302,SPIROGLUMIDE,42,True,pose_transfer_CA_Kabsch_not_redock,6.267,True,4,True,6.558,True,4,True,5.829,True,4,True,6.321,True,4,True,4,4
REP_06119,CAVOSONSTAT,42,True,pose_transfer_CA_Kabsch_not_redock,2.997,True,5,True,3.608,True,5,True,2.651,True,5,True,3.208,True,5,True,4,4
REP_06643,RUNCACIGUAT,42,True,pose_transfer_CA_Kabsch_not_redock,3.086,True,4,True,2.888,True,4,True,2.813,True,5,True,2.021,True,5,True,4,4
REP_06875,FULIMETIBANT,42,True,pose_transfer_CA_Kabsch_not_redock,6.878,True,4,True,6.971,True,4,True,6.753,True,4,True,6.691,True,4,True,4,4
REP_07580,PF-03882845,42,True,pose_transfer_CA_Kabsch_not_redock,3.238,True,5,True,3.229,True,5,True,3.198,True,5,True,3.183,True,5,True,4,4
REP_07704,PSI-697,42,True,pose_transfer_CA_Kabsch_not_redock,3.485,True,3,True,3.662,True,3,True,3.308,True,3,True,3.311,True,4,True,4,4
REP_08210,CR-3465 FREE ACID,42,True,pose_transfer_CA_Kabsch_not_redock,3.177,True,4,True,3.202,True,4,True,3.116,True,4,True,3.114,True,4,True,4,4
