molecule_chembl_id,molecule_name,canonical_smiles,pActivity,n_measurements,scaffold
CHEMBL4560122,,Brc1ccc(Cn2c(Br)nnc2SCc2nnn[n-]2)c2ccccc12.[Na+],5.49,1,c1ccc2c(Cn3cnnc3SCc3nnn[n-]3)cccc2c1
CHEMBL4749075,,C#Cc1cc(C(=O)N2CS(=O)(=O)c3ccccc32)cc(C#N)c1O,5.5,1,O=C(c1ccccc1)N1CS(=O)(=O)c2ccccc21
CHEMBL5818637,,C/C(=C\C(=O)O)Sc1ccc2ccccc2c1-c1ccc(C#N)cc1,7.6,1,c1ccc(-c2cccc3ccccc23)cc1
CHEMBL5927386,,C/C(=C\C(=O)O)c1ccc2cncc(-c3ccc([N+](=O)[O-])cc3)c2c1,6.72,1,c1ccc(-c2cncc3ccccc23)cc1
CHEMBL5620069,,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,6.72,1,O=C1CC(c2cccc3ccccc23)Oc2ccccc21
CHEMBL5619569,,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Br)cc1)CC2=O)C(=O)O,6.08,1,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL5619622,,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(Cl)cc1)CC2=O)C(=O)O,5.54,1,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL5620074,,C/C(=C\Cc1c(O)ccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,5.68,1,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL5618500,,C/C(=C\Cc1c(O)ccc2c1OC(c1cccs1)CC2=O)C(=O)O,6.44,1,O=C1CC(c2cccs2)Oc2ccccc21
CHEMBL5620318,,C/C(=C\Cc1c(O)ccc2c1OC(c1ccsc1)CC2=O)C(=O)O,6.19,1,O=C1CC(c2ccsc2)Oc2ccccc21
CHEMBL5618313,,C/C(=C\Cc1c(O)ccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O,6.64,1,O=C1CC(c2csc3ccccc23)Oc2ccccc21
CHEMBL5619047,,C/C(=C\Cc1cccc2c1OC(c1cc(Br)cs1)CC2=O)C(=O)O,6.01,1,O=C1CC(c2cccs2)Oc2ccccc21
CHEMBL5620313,,C/C(=C\Cc1cccc2c1OC(c1cc3ccccc3s1)CC2=O)C(=O)O,5.79,1,O=C1CC(c2cc3ccccc3s2)Oc2ccccc21
CHEMBL5618375,,C/C(=C\Cc1cccc2c1OC(c1ccc(Br)c3ccccc13)CC2=O)C(=O)O,6.8,1,O=C1CC(c2cccc3ccccc23)Oc2ccccc21
CHEMBL5618751,,C/C(=C\Cc1cccc2c1OC(c1ccc(O)cc1)CC2=O)C(=O)O,5.57,1,O=C1CC(c2ccccc2)Oc2ccccc21
CHEMBL5618194,,C/C(=C\Cc1cccc2c1OC(c1cccs1)CC2=O)C(=O)O,6.07,1,O=C1CC(c2cccs2)Oc2ccccc21
CHEMBL5618197,,C/C(=C\Cc1cccc2c1OC(c1ccsc1)CC2=O)C(=O)O,5.66,1,O=C1CC(c2ccsc2)Oc2ccccc21
CHEMBL5619241,,C/C(=C\Cc1cccc2c1OC(c1csc3ccccc13)CC2=O)C(=O)O,6.02,1,O=C1CC(c2csc3ccccc23)Oc2ccccc21
CHEMBL5921218,,CC(C)(C(=O)O)c1ccc2cncc(-c3ccc(C#N)c4ccccc34)c2c1,6.94,1,c1ccc2c(-c3cncc4ccccc34)cccc2c1
CHEMBL5874013,,CC(C)(C)C(Sc1ccc2cnsc2c1-c1ccc(C#N)cc1)C(=O)O,6.32,1,c1ccc(-c2cccc3cnsc23)cc1
CHEMBL5285786,,CC(C)(C)S(=O)(=O)NC(=O)CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12,4.95,1,O=c1c2ccsc2ncn1-c1ccc(C2CC2)c2ccccc12
CHEMBL4753182,,CC(C)(C)c1cc(C(=O)N2CCc3ccccc32)cc(C#N)c1O,4.5,1,O=C(c1ccccc1)N1CCc2ccccc21
CHEMBL5564048,,CC(C)(C)c1ccc(Nc2cncc(-c3ccc(C(=O)O)c(O)c3)c2)cc1,4.15,1,c1ccc(Nc2cncc(-c3ccccc3)c2)cc1
CHEMBL5272958,,CC(C)(C)c1ccc(S(=O)(=O)NC(=O)CSc2nc3sccc3c(=O)n2-c2ccc(C3CC3)c3ccccc23)cc1,4.87,1,O=C(CSc1nc2sccc2c(=O)n1-c1ccc(C2CC2)c2ccccc12)NS(=O)(=O)c1ccccc1
