"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL1231530","BETAMIPRON","2.0","193.20","0","0.89","Betamipron","O=C(O)CCNC(=O)c1ccccc1","IC50","'='","39000.0","nM","4.41","","inhibitor [IC50=39.0 +/- 16.0uM]","UO_0000065","","","","","0","CHEMBL2077836","TP_TRANSPORTER: inhibition of PHA uptake (PHA: 5uM) in hOAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074482","18","TP-search Transporter Database","J Pharmacol Sci","2004","CHEMBL3308861","","INHIBITOR","","39.0"
"CHEMBL1144","PRAVASTATIN","4.0","424.53","0","2.44","Pravastatin","CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21","IC50","'='","408000.0","nM","","Outside typical range","inhibitor [IC50=408 +/- 144uM]","UO_0000065","","","","","0","CHEMBL2077836","TP_TRANSPORTER: inhibition of PHA uptake (PHA: 5uM) in hOAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074482","18","TP-search Transporter Database","J Pharmacol Sci","2004","CHEMBL3308861","","INHIBITOR","","408.0"
"CHEMBL521","IBUPROFEN","4.0","206.28","0","3.07","Ibuprofen","CC(C)Cc1ccc(C(C)C(=O)O)cc1","IC50","'='","8000.0","nM","5.10","","inhibitor [IC50=8uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","8.0"
"CHEMBL766","CILASTATIN","4.0","358.46","0","1.43","Cilastatin","CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O","IC50","'='","2550000.0","nM","","Outside typical range","inhibitor [IC50=2550 +/- 622uM]","UO_0000065","","","","","0","CHEMBL2077836","TP_TRANSPORTER: inhibition of PHA uptake (PHA: 5uM) in hOAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074482","18","TP-search Transporter Database","J Pharmacol Sci","2004","CHEMBL3308861","","INHIBITOR","","2550.0"
"CHEMBL388590","BENZBROMARONE","4.0","424.09","1","5.46","Benzbromarone","CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1","IC50","'='","4600.0","nM","5.34","","inhibitor [IC50=4.6uM]","UO_0000065","","","","","0","CHEMBL2076903","TP_TRANSPORTER: inhibition of Urate uptake (Urate: 300 uM) in OAT1-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074097","18","TP-search Transporter Database","Kidney Int","2003","CHEMBL3308861","","INHIBITOR","","4.6"
"CHEMBL2074986","","None","216.09","0","1.41","S-dichlorovinylcystein","N[C@H](CS/C(Cl)=C/Cl)C(=O)O","IC50","'='","208000.0","nM","","Outside typical range","inhibitor [IC50208uM]","UO_0000065","","","","","0","CHEMBL2075811","TP_TRANSPORTER: inhibition of PAH uptake in OAT1-COS7 cells","F","BAO_0000219","cell-based format","None","None","None","COS-7","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074104","18","TP-search Transporter Database","J Pharmacol Exp Ther","2003","CHEMBL3307648","","INHIBITOR","","208.0"
"CHEMBL119625","ZONAMPANEL","2.0","331.24","0","-0.13","6, YM-872","O=C(O)Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc21","IC50","'='","3000.0","nM","5.52","","","UO_0000065","16.67","0.31","5.65","3.61","0","CHEMBL1217025","Inhibition of human OAT1","B","BAO_0000357","single protein format","Homo sapiens","None","None","None","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL1212813","1","Scientific Literature","J Med Chem","2010","None","","","","3.0"
"CHEMBL586","SALICYLURIC ACID","None","195.17","0","0.21","o-Hydroxyhippurate","O=C(O)CNC(=O)c1ccccc1O","IC50","'='","27000.0","nM","4.57","","inhibitor [IC50=27uM]","UO_0000065","","","","","0","CHEMBL2077846","TP_TRANSPORTER: inhibition of PAH uptake in OAT-expressing OK cells","F","BAO_0000219","cell-based format","None","None","None","OK","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074206","18","TP-search Transporter Database","Br J Pharmacol","2002","None","","INHIBITOR","","27.0"
"CHEMBL6","INDOMETHACIN","4.0","357.79","0","3.93","Indomethacin","COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1","IC50","'='","3000.0","nM","5.52","","inhibitor [IC50=3uM]","UO_0000065","","","","","0","CHEMBL2076247","TP_TRANSPORTER: inhibition of Adefovir uptake in OAT1-expressing CHO cells","F","BAO_0000219","cell-based format","None","None","None","CHO","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074465","18","TP-search Transporter Database","J Pharmacol Exp Ther","2000","CHEMBL3308072","","INHIBITOR","","3.0"
"CHEMBL2074985","","None","237.63","0","1.26","S-chlorotrifluoroethylcystein","N[C@H](CSC(F)(F)C(F)Cl)C(=O)O","IC50","'='","177000.0","nM","","Outside typical range","inhibitor [IC50177uM]","UO_0000065","","","","","0","CHEMBL2075811","TP_TRANSPORTER: inhibition of PAH uptake in OAT1-COS7 cells","F","BAO_0000219","cell-based format","None","None","None","COS-7","None","","","","CHEMBL1641347","Solute carrier family 22 member 6","Homo sapiens","SINGLE PROTEIN","CHEMBL2074104","18","TP-search Transporter Database","J Pharmacol Exp Ther","2003","CHEMBL3307648","","INHIBITOR","","177.0"
