"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL766","CILASTATIN","4.0","358.46","0","1.43","Cilastatin","CC1(C)C[C@@H]1C(=O)N/C(=C\CCCCSC[C@H](N)C(=O)O)C(=O)O","IC50","'='","249000.0","nM","","Outside typical range","inhibitor [IC50=249 +/- 98.9uM]","UO_0000065","","","","","0","CHEMBL2077092","TP_TRANSPORTER: inhibition of ES uptake (ES: 50nM) in hOAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074482","18","TP-search Transporter Database","J Pharmacol Sci","2004","CHEMBL3308861","","INHIBITOR","","249.0"
"CHEMBL4059813","","None","357.36","1","5.05","9","O=C(O)c1c[nH]c2cc(F)c(-c3ccc([C@H]4CCCCO4)cc3)c(F)c12","Ratio","","","","","","Not Determined","","","","","","0","CHEMBL4023968","Substrate activity at human OAT3 expressed in HEK293 cells assessed as ratio of compound uptake in human OAT3 transfected HEK293 cells to uptake in vector-treated HEK293 cells at 1 uM after 3 mins by LC-MS analysis","A","BAO_0000219","cell-based format","Homo sapiens","None","None","None","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL4020835","1","Scientific Literature","J Med Chem","2018","None","","","",""
"CHEMBL324846","OCTANOIC ACID","2.0","144.21","0","2.43","Octanoate","CCCCCCCC(=O)O","Ki","'='","8600.0","nM","5.07","","inhibitor [Ki=8.6uM]","UO_0000065","","","","","0","CHEMBL2077091","TP_TRANSPORTER: inhibition of Ochratoxin A uptake in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2073777","18","TP-search Transporter Database","Life Sci","2001","CHEMBL3308861","","INHIBITOR","","8.6"
"CHEMBL252036","GS-9148","-1.0","331.20","0","0.27","GS-9148","Nc1ncnc2c1ncn2[C@@H]1O[C@H](OCP(=O)(O)O)C=C1F","Km","'='","1216000.0","nM","","","","UO_0000065","","","","","0","CHEMBL1636046","Activity of human OAT3 transfected in BHK-21 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","BHK-21","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL1629582","1","Scientific Literature","Antimicrob Agents Chemother","2009","CHEMBL3308360","","","","1216.0"
"CHEMBL5314375","CIDOFOVIR","4.0","315.22","0","-1.66","CDV","Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1.O.O","Vmax","","","","","","Not Determined","","","","","","0","CHEMBL1636064","Activity of human OAT3 transfected in BHK-21 cells measured per 10'6 cells","B","BAO_0000219","cell-based format","Homo sapiens","None","None","BHK-21","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL1629582","1","Scientific Literature","Antimicrob Agents Chemother","2009","CHEMBL3308360","","","",""
"CHEMBL902","FAMOTIDINE","4.0","337.46","0","-0.77","Famotidine","NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1","Ki","'='","300000.0","nM","","Outside typical range","inhibitor [Ki=300uM]","UO_0000065","","","","","0","CHEMBL2075341","TP_TRANSPORTER: inhibition of E1S uptake in OAT3 expressing oocytes","F","BAO_0000219","cell-based format","None","None","None","Oocyte","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074288","18","TP-search Transporter Database","Eur J Pharmacol","2004","CHEMBL3833641","","INHIBITOR","","300.0"
"CHEMBL1236749","","None","216.26","0","-0.54","Aminopenicillinic acid","CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O","Inhibition","","","%","","","","UO_0000187","","","","","0","CHEMBL3537398","Inhibition of human OAT3 expressed in CHO cells assessed as inhibition of fluorescein uptake at 500 uM over 20 mins relative to untreated-control","A","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3525990","1","Scientific Literature","Drug Metab Dispos","2013","CHEMBL3308072","","","Not active",""
"CHEMBL1644","CEFADROXIL","4.0","363.39","0","0.15","cefadroxil","CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1","Inhibition","'='","20.0","%","","","","UO_0000187","","","","","0","CHEMBL3537398","Inhibition of human OAT3 expressed in CHO cells assessed as inhibition of fluorescein uptake at 500 uM over 20 mins relative to untreated-control","A","BAO_0000219","cell-based format","Homo sapiens","None","None","CHO","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3525990","1","Scientific Literature","Drug Metab Dispos","2013","CHEMBL3308072","","","","20.0"
"CHEMBL237500","LINAGLIPTIN","4.0","472.55","0","1.15","[14C]linagliptin","CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C","Inhibition","'='","0.0","%","","","","UO_0000187","","","","","0","CHEMBL3536928","Inhibition of OAT3 (unknown origin) expressed in HEK293 cells assessed as reduction of [3H]E-sul substrate uptake at 100 uM by liquid scintillation counting","A","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL3525903","1","Scientific Literature","Drug Metab Dispos","2013","CHEMBL3307715","","","","0.0"
"CHEMBL161","CEFTRIAXONE","4.0","554.59","2","-1.20","ceftriaxone","CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1","Ki","'='","4390.0","nM","5.36","","inhibitor [Ki=4.39uM]","UO_0000065","","","","","0","CHEMBL2078140","TP_TRANSPORTER: inhibition of Estrone sulfate uptake in OAT3-expressing S2 cells","F","BAO_0000219","cell-based format","None","None","None","S2","None","","","","CHEMBL1641348","Organic anion transporter 3","Homo sapiens","SINGLE PROTEIN","CHEMBL2074220","18","TP-search Transporter Database","Eur J Pharmacol","2002","CHEMBL3308861","","INHIBITOR","","4.39"
