"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL1431","METFORMIN","4.0","129.17","0","-1.03","Metformin","CN(C)C(=N)NC(=N)N","IC50","'='","1700000.0","nM","","Outside typical range","inhibitor [IC50=1700uM]","UO_0000065","","","","","0","CHEMBL2075996","TP_TRANSPORTER: inhibition of Cimetidine uptake (Cimetidine: 1 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL2073978","18","TP-search Transporter Database","Pharm Res","2002","CHEMBL3308859","","INHIBITOR","","1700.0"
"CHEMBL660","AMANTADINE","4.0","151.25","0","1.91","amantadine","NC12CC3CC(CC(C3)C1)C2","IC50","'='","23000.0","nM","4.64","","inhibitor [IC50=23uM]","UO_0000065","","","","","0","CHEMBL2077810","TP_TRANSPORTER: inhibition of Dopamine uptake (Dopamine: 200 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL2074348","18","TP-search Transporter Database","Mol Pharmacol","1998","CHEMBL3308859","","INHIBITOR","","23.0"
"CHEMBL4062501","","None","191.28","0","1.89","5","CC(C)(C)c1ccc(N=C(N)N)cc1","IC50","'='","8300.0","nM","5.08","","","UO_0000065","26.56","0.50","3.19","7.89","0","CHEMBL4046326","Inhibition of human OCT2 expressed in HEK293 cells assessed as decrease in uptake of substrate [3H]MPP+ after 1 min by liquid scintillation counting method","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL4043181","1","Scientific Literature","Bioorg Med Chem Lett","2017","CHEMBL3307715","","","","8.3"
"CHEMBL5280198","","None","662.64","3","0.12","19","CC(C)=CCc1c(O)cc(O)c2c(=O)c(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(-c3ccc(O)cc3)oc12","IC50","'='","56540.0","nM","4.25","","","UO_0000065","6.41","0.12","4.13","1.70","0","CHEMBL5229529","Inhibition of OCT2(unknown origin)-mediated ASP+ uptake in HEK293 cells expressing OCT2 using ASP+ as substrate incubated for 5 mins","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5226370","1","Scientific Literature","J Nat Prod","2023","None","TIME = 0.08333 hr","INHIBITOR","","56.54"
"CHEMBL4861111","","None","584.57","2","0.51","47, BP","C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@@]12O[C@@H]1O[C@H](COC(=O)c2ccccc2)[C@@H](O)[C@H](O)[C@H]1O","IC50","'='","4124120.0","nM","","Outside typical range","","UO_0000065","","","","","0","CHEMBL5229529","Inhibition of OCT2(unknown origin)-mediated ASP+ uptake in HEK293 cells expressing OCT2 using ASP+ as substrate incubated for 5 mins","B","BAO_0000219","cell-based format","Homo sapiens","None","None","HEK293","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5226370","1","Scientific Literature","J Nat Prod","2023","None","TIME = 0.08333 hr","INHIBITOR","","4124.12"
"CHEMBL2074647","METIPRENALINE","2.0","225.29","0","1.43","o-Methylisoprenaline","COc1cc(C(O)CNC(C)C)ccc1O","IC50","'>'","100000.0","nM","","","inhibitor [IC50>100uM]","UO_0000065","","","","","0","CHEMBL2078482","TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 0.25 uM) in OCT2-expressing HEK293 cells","F","BAO_0000219","cell-based format","None","None","None","HEK293","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL2074233","18","TP-search Transporter Database","Br J Pharmacol","2002","CHEMBL3307715","","INHIBITOR","","100.0"
"CHEMBL9324","TETRYLAMMONIUM","2.0","130.25","0","1.88","Tetraethylammonium","CC[N+](CC)(CC)CC","IC50","'='","156000.0","nM","","Outside typical range","inhibitor [IC50=156uM]","UO_0000065","","","","","0","CHEMBL2076312","TP_TRANSPORTER: inhibition of MPP+ uptake (MPP+: 1 uM) in Xenopus laevis oocytes","F","BAO_0000219","cell-based format","Xenopus laevis","None","None","Oocyte","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL2073978","18","TP-search Transporter Database","Pharm Res","2002","CHEMBL3308859","","INHIBITOR","","156.0"
"CHEMBL5761245","","None","431.40","0","1.50","BDBM335482","O=C(NCc1ccc(F)cc1F)c1cn2c(c(O)c1=O)C(=O)N1[C@@H]3CC[C@@H](C3)O[C@@H]1C2","IC50","'='","250.0","nM","6.60","","658604","UO_0000065","15.30","0.29","5.10","6.55","0","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","250.0"
"CHEMBL5830493","","None","445.42","0","1.74","BDBM335488","CC1C[C@H]2C[C@@H]1O[C@@H]1Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21","IC50","'='","204.0","nM","6.69","","658610","UO_0000065","15.02","0.29","4.95","6.63","0","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","204.0"
"CHEMBL6028654","","None","463.41","0","1.94","BDBM335490","COc1c2n(cc(C(=O)NCc3c(F)cc(F)cc3F)c1=O)C[C@H]1O[C@@H]3CC[C@@H](C3)N1C2=O","IC50","'='","487.0","nM","6.31","","658612","UO_0000065","13.62","0.26","4.37","7.02","0","CHEMBL5732501","Inhibition Assay: Test compounds were serially diluted in DMSO and then spiked (2 μL) into in 0.4 mL KHB buffer containing wild-type or OCT2-transfected cells and incubated for 10 minutes. Assay was initiated with the addition of 0.1 mL of 100 μM 14C-TEA in KHB buffer (20 μM final concentration after mixing). The concentration of TEA is based on the Km. After 10 minutes of incubation, the assay mixture was quenched with addition of 0.5 mL of ice-cold IX PBS buffer. Samples were then centrifuged at 1000 rpm for 5 min and supernatants were removed. Wash steps were repeated four times with ice-cold PBS.","B","BAO_0000019","assay format","Homo sapiens","None","None","None","None","","","","CHEMBL1743122","Solute carrier family 22 member 2","Homo sapiens","SINGLE PROTEIN","CHEMBL5726334","37","BindingDB Patent Bioactivity Data","","2017","None","","","","487.0"
