name,qed,mw,clogp,tpsa,hbd,hba,heavy_atoms,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok
IDREMCINAL,0.2665909553207153,743.9760000000001,3.670900000000005,165.84,4,13,52,False,False,False,False
ZAMZETOCLAX,0.2469271559424276,738.3510000000002,5.1989000000000045,124.02,3,9,51,False,True,False,False
TILPISERTIB,0.2255780460409031,593.1350000000003,6.371780000000006,113.45,2,9,43,False,True,False,False
ALEMCINAL,0.3255624793454773,697.9510000000001,5.196700000000007,125.38000000000002,2,11,49,False,True,False,False
DIVARASIB,0.3001882893766933,622.067,5.089820000000005,100.71,1,8,43,False,True,False,False
TILDIPIROSIN,0.2951974654670822,734.0319999999999,4.183000000000004,132.24,3,11,52,False,True,False,False
SALINOMYCIN,0.1685426951538735,751.0110000000001,6.188000000000006,161.20999999999998,4,10,53,False,False,False,False
CETHROMYCIN,0.2703662615414226,765.945,5.109700000000005,162.82,2,12,55,False,False,False,False
PC-786,0.1854652635480144,715.8510000000003,7.890340000000008,103.87,2,7,52,False,True,False,False
RUTAMYCIN,0.2242145144592109,777.0489999999999,5.636600000000007,180.04999999999998,5,11,55,False,False,False,False
HKI-357,0.1931174708760313,574.056,6.676580000000005,99.51,2,7,41,False,False,False,False
XP-102,0.3084170476283189,569.6820000000004,4.832900000000005,96.25,1,8,40,False,True,False,False
ZIFTOMENIB,0.2331753876252275,717.8880000000001,5.0148000000000055,122.41999999999996,2,11,49,False,True,False,False
MRTX-1133,0.3190441470793393,600.6450000000003,4.705900000000004,86.64,2,8,44,False,True,False,False
BURIXAFOR,0.1455032978491362,566.7320000000002,2.478800000000001,151.89999999999998,6,9,39,False,False,False,False
BAY1067197,0.0955847435005903,716.2889999999996,5.935260000000006,167.25,2,12,49,False,False,False,False
MITEMCINAL FUMARATE,0.3176199700360607,755.987,4.533200000000005,151.68,2,13,53,False,False,False,False
INDINAVIR,0.2628234200956571,613.8030000000003,2.8669000000000016,118.03000000000002,4,7,45,False,False,False,False
SPH-5030,0.2078554302847721,582.64,5.801620000000004,118.8,2,10,43,False,True,False,False
PYROTINIB,0.2047188344423562,583.0919999999999,6.465080000000006,112.4,2,8,42,False,True,False,False
SELAMECTIN,0.1321842798362698,769.9730000000004,6.069800000000008,154.73000000000002,3,12,55,False,False,False,False
TALORASIB,0.3485043998075957,605.1139999999999,4.9842800000000045,94.82,0,8,43,False,True,False,False
