diverse_rank,name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,dock_score,nlrp3_dock_score,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,ro5_props_ok,oral_absorption_ok,mw_oral_ok,macro_scaffold_risk,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
1,FAZAMOREXANT,CHEMBL5314459,3.0,Cc1ccc(-c2ncccn2)c(C(=O)N2[C@H]3CC[C@@H](COc4ccc(F)cn4)[C@@H]2CC3)c1,O=C(c1ccccc1-c1ncccn1)N1C2CCC(COc3ccccn3)C1CC2,432.4990000000002,83.41772151898735,91.36075949367088,91.36075949367088,83.48101265822785,1.0,-7.921,-7.092,False,False,0.5959550448513331,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,83.41772151898735,0.585258267940533
2,ODANACATIB,CHEMBL481611,3.0,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,O=C(CNCc1ccc(-c2ccccc2)cc1)NC1CC1,525.5680000000002,84.08227848101266,82.40506329113924,82.40506329113924,81.9620253164557,0.94844246,-7.932,-7.065,False,False,0.4654387590840232,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,81.9620253164557,0.21671550363360903
3,VECABRUTINIB,CHEMBL4297640,2.0,NC(=O)[C@H]1CCN(c2ncnc(N)c2F)C[C@@H]1N1CCC[C@@H](Nc2cc(Cl)cc(C(F)(F)F)c2)C1=O,O=C1C(Nc2ccccc2)CCCN1C1CCCN(c2ccncn2)C1,529.9260000000003,96.0759493670886,98.95569620253164,91.36075949367088,98.95569620253164,1.0,-8.386,-7.902,False,False,0.5075186920017714,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,96.0759493670886,0.2280999768007082
4,ZELENIRSTAT,CHEMBL3357685,2.0,Cc1c(NS(=O)(=O)c2c(Cl)cc(-c3ccnc(N4CCNCC4)c3)cc2Cl)c(CC(C)C)nn1C,O=S(=O)(Nc1cn[nH]c1)c1ccc(-c2ccnc(N3CCNCC3)c2)cc1,537.5170000000003,98.29113924050633,95.126582278481,49.68354430379747,95.126582278481,0.9166667,-8.584,-7.477,False,False,0.4611650615256415,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,95.126582278481,0.20006977461025627
5,DEUCRICTIBANT,CHEMBL5095059,2.0,[2H][C@@](C)(NC(=O)COC(F)F)c1cc(F)cc(Cl)c1COc1cccc2c(-c3ncnn3C)cc(C)nc12,c1ccc(COc2cccc3c(-c4ncn[nH]4)ccnc23)cc1,534.9441017780002,91.0759493670886,92.53164556962024,49.68354430379747,92.53164556962024,0.9166667,-8.145,-7.355,False,False,0.3201430604211338,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,91.0759493670886,0.14687709694595324
6,PRALICIGUAT,CHEMBL4297214,2.0,OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,c1ccc(Cn2nc(-c3ncccn3)cc2-c2ccon2)cc1,534.3670000000001,92.40506329113924,91.36075949367088,91.36075949367088,90.85443037974684,1.0,-8.189,-7.294,False,False,0.3347230408174785,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,90.85443037974684,0.1534304663269913
7,BAFREKALANT,CHEMBL5095055,2.0,COc1ccc(Cl)c(C(=O)N2C3CCC2CN(Cc2c(-c4ccc(C(C)C)cc4)nc4ncccn24)C3)n1,O=C(c1ccccn1)N1C2CCC1CN(Cc1c(-c3ccccc3)nc3ncccn13)C2,531.0600000000002,88.9873417721519,92.78481012658229,23.73417721518988,92.78481012658229,0.9166666,-8.061,-7.372,False,False,0.3464502676900512,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,88.9873417721519,0.16225510707602028
8,EMPRUMAPIMOD,CHEMBL4802251,2.0,CN(C)CC[C@H](NC(=O)c1cc2c(cnn2C(C)(C)C)cc1Oc1ccc(F)cc1F)C(N)=O,c1ccc(Oc2ccc3[nH]ncc3c2)cc1,473.5240000000002,83.73417721518987,98.41772151898736,49.68354430379747,98.41772151898736,0.9166667,-7.928,-7.827,False,False,0.5221572117813974,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,83.73417721518987,0.5044578847125587
9,AFIMETORAN,CHEMBL4650329,2.0,Cc1c(-c2[nH]c3ccc(C4CCN(CC(N)=O)CC4)cc3c2C(C)C)cn2ncnc2c1C,c1nc2ccc(-c3cc4cc(C5CCNCC5)ccc4[nH]3)cn2n1,444.58300000000014,83.67088607594937,88.60759493670886,23.73417721518988,88.60759493670886,0.9166666,-7.927,-7.225,False,False,0.480453778650029,True,True,False,True,True,True,False,True,True,True,True,False,True,False,False,83.67088607594937,0.32395276146001145
10,PF-5190457,CHEMBL3287218,2.0,Cc1cc(-c2ccc3c(c2)CC[C@H]3N2CC3(CCN(C(=O)Cc4cn5cc(C)sc5n4)CC3)C2)ncn1,O=C(Cc1cn2ccsc2n1)N1CCC2(CC1)CN(C1CCc3cc(-c4ccncn4)ccc31)C2,512.6830000000002,88.79746835443038,83.67088607594937,49.68354430379747,83.67088607594937,0.9166667,-8.056,-7.095,False,False,0.3991206041445197,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,83.67088607594937,0.2062944916578076
11,VOLPRISTIN,CHEMBL2105600,2.0,CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC[C@@H]2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1,O=C1CCC=CC=CCNC(=O)C=CCCOC(=O)C2CCCN2C(=O)c2coc(n2)C1,527.6180000000004,97.9113924050633,82.05696202531645,49.68354430379747,82.05696202531645,0.9166667,-8.498,-7.066,False,False,0.5314391186215335,False,True,False,True,True,True,False,True,True,True,True,True,True,False,False,82.05696202531645,0.3905531474486129
12,NELUTROCTIV,CHEMBL5314433,2.0,CS(=O)(=O)c1cncc(C(=O)N2[C@@H](C(=O)N[C@@H](c3cc(F)c(C(F)(F)F)cc3F)C3CC3)C[C@H]3C[C@H]32)c1,O=C(NC(c1ccccc1)C1CC1)C1CC2CC2N1C(=O)c1cccnc1,543.5140000000002,97.59493670886076,81.70886075949367,23.73417721518988,81.70886075949367,0.9166666,-8.481,-7.059,False,False,0.5615827269654388,False,True,False,True,True,True,False,True,True,True,True,False,True,False,False,81.70886075949367,0.23274059078617523
