repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,glide_score_xp,docking_status,pdb_id,nlrp3_glide_score_xp,nlrp3_docking_status,nlrp3_pdb_id,s_u_percentile,s_n_ml_percentile,s_n_dock_percentile,s_n_percentile,pareto_front
REP_06358,CHEMBL4297432,SLV-334,O=C(O)CN1C(=O)[C@@H](NC(=O)C2(C[C@@H](CCc3cccc4ccccc34)C(=O)O)CCCC2)CCc2ccccc21,LOFDNSDPZTVIIO-VPUSJEBWSA-N,556.66,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C1Nc2ccccc2CCC1NC(=O)C1(CCCCc2cccc3ccccc23)CCCC1,891,-15.6112530486063,docked,9DKB,-6.72764129173853,docked,7ALV,99.93108201240524,50.137835975189525,92.1433494141971,92.1433494141971,True
REP_03282,CHEMBL2105063,LANPROSTON,O=C(O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C2(COc3cccc(Cl)c3)OCCO2)[C@H](O)C[C@@H]1O,RWTBSBMVEFAIJX-BOCWSOLPSA-N,466.96,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C(=CC1(COc2ccccc2)OCCO1)C1CCCC1,742,-14.1588155100215,docked,9DKB,-7.64801135416505,docked,7ALV,99.86216402481047,50.137835975189525,96.82977257064094,96.82977257064094,True
REP_07713,CHEMBL2324748,PF-05150122,CCN1CC(n2nccc2-c2cc(Cl)ccc2Oc2ccc(S(=O)(=O)Nc3cscn3)cc2C#N)C1,OGBDDOBYHJYBFF-UHFFFAOYSA-N,541.06,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166666,85.41892054333454,True,,O=S(=O)(Nc1cscn1)c1ccc(Oc2ccccc2-c2ccnn2C2CNC2)cc1,1134,-13.1525334707959,docked,9DKB,-5.02244682202043,docked,7ALV,99.79324603721571,24.017918676774638,62.30186078566506,62.30186078566506,False
REP_05727,CHEMBL3545289,AZD2207,C[C@@H](NC(=O)Cc1c(Cl)ccc(NCC(F)(F)c2cccc[n+]2O)[n+]1O)c1cccc(Cl)c1,GNYWBETUYIZBHL-CQSZACIVSA-P,499.35,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(Cc1cccc(NCCc2cccc[nH+]2)[nH+]1)NCc1ccccc1,674,-12.9571959915132,docked,9DKB,-6.11980450467747,docked,7ALV,99.72432804962095,50.137835975189525,84.63128876636802,84.63128876636802,False
REP_01801,CHEMBL145347,LASALOCID,CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C,BBMULGJBVDDDNI-OWKLGTHSSA-N,590.8,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(CCCCCc1ccccc1)CC1CCC(C2CCCCO2)O1,218,-12.9484985115172,docked,9DKB,-8.27416618590422,docked,7ALV,99.65541006202618,91.38525155065473,98.3459682977257,98.3459682977257,True
REP_06771,CHEMBL4871106,RUPITASERTIB,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12,HXAUJHZZPCBFPN-QGZVFWFLSA-N,449.86,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.878073,83.76006731578315,True,,c1ccc(C(CN2CCC2)Nc2ncnc3ccccc23)cc1,1352,-12.832738135252,docked,9DKB,-1.79896849801001,docked,7ALV,99.58649207443143,15.230875258442452,9.028256374913857,15.230875258442452,False
REP_05773,CHEMBL3597634,GEMILUKAST,Cc1c(F)cccc1CCCCOc1ccc(C#Cc2ccc(F)c3c(CCCC(=O)O)c(C)n(CCCC(=O)O)c23)cc1,SILHYVDKGHXGBL-UHFFFAOYSA-N,601.69,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.68088704,82.46183435509076,True,,C(#Cc1cccc2cc[nH]c12)c1ccc(OCCCCc2ccccc2)cc1,1460,-12.7924423612497,docked,9DKB,-5.91872612995378,docked,7ALV,99.51757408683667,8.33907649896623,81.46106133700896,81.46106133700896,False
REP_08130,CHEMBL5095184,IMMH-010,CC1=C(OCc2cccc(-c3ccccc3)c2Br)C=C(OCc2cccnc2)C(CN[C@@H](CO)C(=O)OC(C)C)C1,PIRPOEMFYJJNFA-ACEFPKFPSA-N,621.57,1.0,,True,False,False,phase_only,,Small molecule,MOL,0.6420898,82.17333814160355,True,,C1=C(OCc2cccc(-c3ccccc3)c2)C=C(OCc2cccnc2)CC1,1484,-12.7089567685307,docked,9DKB,-5.90974173456822,docked,7ALV,99.4486560992419,6.753962784286699,81.32322536181944,81.32322536181944,False
REP_00722,CHEMBL2178578,VERCIRNON,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2C(=O)c2cc[n+]([O-])cc2)cc1,JRWROCIMSDXGOZ-UHFFFAOYSA-N,444.94,3.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,O=C(c1cc[nH+]cc1)c1ccccc1NS(=O)(=O)c1ccccc1,658,-12.6229979266008,docked,9DKB,-5.99904739457385,docked,7ALV,99.37973811164714,50.137835975189525,82.70158511371469,82.70158511371469,False
REP_05248,CHEMBL277689,SAMIXOGREL,O=C(O)CCC/C=C(\c1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1)c1cccnc1,LGHLGTHRJNIRCA-ZXKDJJQISA-N,485.01,2.0,,True,False,False,phase_only,,Small molecule,MOL,0.9166667,90.38946988820771,True,,C=C(c1ccc(CCNS(=O)(=O)c2ccccc2)cc1)c1cccnc1,899,-12.387236216519,docked,9DKB,-5.33714068797048,docked,7ALV,99.31082012405238,50.137835975189525,69.95175740868366,69.95175740868366,False
