repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type
REP_00001,CHEMBL101,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,VYMDGNCVAMGZFE-UHFFFAOYSA-N,308.38,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
REP_00002,CHEMBL1018,DIENESTROL,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,NFDFQCUYFHCNBW-SCGPFSFSSA-N,266.34,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL
REP_00003,CHEMBL1020,TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,UPSPUYADGBWSHF-UHFFFAOYSA-N,257.29,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
REP_00004,CHEMBL1029,MIGLUSTAT,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,UQRORFVVSGFNRO-UTINFBMNSA-N,219.28,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
REP_00005,CHEMBL103,PROGESTERONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,RJKFOVLPORLFTN-LEKSSAKUSA-N,314.47,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL
REP_00006,CHEMBL104,CLOTRIMAZOLE,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,344.85,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL
REP_00007,CHEMBL1042,CHOLECALCIFEROL,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,QYSXJUFSXHHAJI-YRZJJWOYSA-N,384.65,4.0,,False,True,False,primary_atc_phase,,Small molecule,MOL
REP_00008,CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,IAKHMKGGTNLKSZ-INIZCTEOSA-N,399.44,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
REP_00009,CHEMBL1070,NABUMETONE,COc1ccc2cc(CCC(C)=O)ccc2c1,BLXXJMDCKKHMKV-UHFFFAOYSA-N,228.29,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
REP_00010,CHEMBL1071,OXAPROZIN,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,OFPXSFXSNFPTHF-UHFFFAOYSA-N,293.32,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL
