repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason
REP_01278,CHEMBL94657,PATUPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,QXRSDHAAWVKZLJ-PVYNADRNSA-N,507.69,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C1CCCCCCC2OC2CC(C=Cc2cscn2)OC(=O)CCC1,1,nlrp3_p_active_ge_threshold
REP_00951,CHEMBL415049,BARASERTIB,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,GBJVVSCPOBPEIT-UHFFFAOYSA-N,587.55,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1,2,nlrp3_p_active_ge_threshold
REP_00956,CHEMBL4204869,ELENBECESTAT,C[C@H]1OC[C@]2(c3cc(NC(=O)c4cnc(C(F)F)cn4)ccc3F)N=C(N)SC[C@H]12,AACUJFVOHGRMTR-DPXNYUHVSA-N,437.45,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(Nc1cccc(C23COCC2CSC=N3)c1)c1cnccn1,3,nlrp3_p_active_ge_threshold
REP_00959,CHEMBL4285417,CERALASERTIB,C[C@@H]1COCCN1c1cc(C2([S@](C)(=N)=O)CC2)nc(-c2cc[nH]c3nccc2-3)n1,OHUHVTCQTUDPIJ-JYCIKRDWSA-N,412.52,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,c1cc2c(-c3nc(C4CC4)cc(N4CCOCC4)n3)cc[nH]c-2n1,4,nlrp3_p_active_ge_threshold
REP_00963,CHEMBL4292264,MILADEMETAN,CC1(C)CCC2(CC1)N[C@@H](C(=O)N[C@@H]1CC[C@@H](C(N)=O)OC1)[C@H](c1ccnc(Cl)c1F)[C@]21C(=O)Nc2cc(Cl)ccc21,RYAYYVTWKAOAJF-QISPRATLSA-N,618.54,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(NC1CCCOC1)C1NC2(CCCCC2)C2(C(=O)Nc3ccccc32)C1c1ccncc1,5,nlrp3_p_active_ge_threshold
REP_00971,CHEMBL4297262,ICOMIDOCHOLIC ACID,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H]1CC[C@@]2(C)[C@@H](C1)C[C@@H](O)[C@@H]1[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]12,SHKXZIQNFMOPBS-OOMQYRRCSA-N,702.12,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,C1CCC2C(C1)CCC1C3CCCC3CCC21,6,nlrp3_p_active_ge_threshold
REP_00274,CHEMBL376359,ALOGLIPTIN,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,ZSBOMTDTBDDKMP-OAHLLOKOSA-N,339.4,4.0,,False,True,True,primary_atc_phase,,Small molecule,MOL,1.0,98.36321122369446,True,,O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1,7,nlrp3_p_active_ge_threshold
REP_00677,CHEMBL2107308,ACOTIAMIDE HYDROCHLORIDE,COc1cc(O)c(C(=O)Nc2nc(C(=O)NCCN(C(C)C)C(C)C)cs2)cc1OC,TWHZNAUBXFZMCA-UHFFFAOYSA-N,450.56,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(Nc1nccs1)c1ccccc1,8,nlrp3_p_active_ge_threshold
REP_00994,CHEMBL4297490,CM-4307,[2H]C([2H])([2H])NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,MLDQJTXFUGDVEO-FIBGUPNXSA-N,467.85,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,9,nlrp3_p_active_ge_threshold
REP_00995,CHEMBL4297502,AVORALSTAT,C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC,TUWMKPVJGGWGNL-UHFFFAOYSA-N,513.55,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,O=C(NCC1CC1)c1ccc(-c2ccccc2C(=O)Nc2ccccc2)cn1,10,nlrp3_p_active_ge_threshold
REP_00642,CHEMBL2104956,BEMOTRIZINOL,CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,XVAMCHGMPYWHNL-UHFFFAOYSA-N,627.83,3.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.36321122369446,True,,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1,11,nlrp3_p_active_ge_threshold
