repurposing_id,chembl_id,name,canonical_smiles,inchi_key,mw,max_phase,atc_code,source_phase,source_atc_l1,source_atc_l2,library_panel,benchmark_ref,mol_type,structure_type,p_active_nlrp3,nlrp3_percentile,nlrp3_pred_active,max_tanimoto_nlrp3_train,scaffold,rank_nlrp3,selection_reason
REP_08262,CHEMBL6068523,RLY-2608,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12,VYWRYBZVVSPTQN-SANMLTNESA-N,608.91,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1cc(-c2ccc3ncnn3c2)cc2c1C(c1ccccc1)NC2=O)c1ccccc1,1,nlrp3_ml_top
REP_02480,CHEMBL2043025,TMC-647055,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,UOBYJVFBFSLCTQ-UHFFFAOYSA-N,606.75,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C1NCCOCCNS(=O)(=O)NC(=O)c2ccc3c(C4CCCCC4)c4n(c3c2)CC1=Cc1ccccc1-4,2,nlrp3_ml_top
REP_08230,CHEMBL574738,AST-487,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,ODPGGGTTYSGTGO-UHFFFAOYSA-N,529.57,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1ccc(CN2CCNCC2)cc1)Nc1ccc(Oc2ccncn2)cc1,3,nlrp3_ml_top
REP_04666,CHEMBL2107822,FILOREXANT,Cc1ccc(-c2ncccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1,NPFDWHQSDBWQLH-QZTJIDSGSA-N,420.49,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(c1ccccc1-c1ncccn1)N1CCCC(COc2ccccn2)C1,4,nlrp3_ml_top
REP_08213,CHEMBL5409389,NT-0796,CC(C)OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,UMUQEMHROZVOTF-LJQANCHMSA-N,409.49,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1c2c(cc3c1CCC3)CCC2)OCCc1ncccn1,5,nlrp3_ml_top
REP_01984,CHEMBL1621346,TANSHINONE IIA SULFONIC ACID,Cc1c(S(=O)(=O)O)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,UJCACMLMPLLRGW-UHFFFAOYSA-N,374.41,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C1C(=O)c2c(ccc3c2CCCC3)-c2occc21,6,nlrp3_ml_top
REP_08127,CHEMBL5095170,BMS-986299,CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,UHNRLQRZRNKOKU-UHFFFAOYSA-N,349.4,1.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,c1cc(-c2ccc3c(c2)ncc2nc[nH]c23)n[nH]1,7,nlrp3_ml_top
REP_04980,CHEMBL2178573,ILACIRNON,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,LUUMLYXKTPBTQR-UHFFFAOYSA-N,495.87,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(c1ncccc1NS(=O)(=O)c1ccccc1)c1ncnc2[nH]ccc12,8,nlrp3_ml_top
REP_06645,CHEMBL4650325,VEMIRCOPAN,CC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2ccc(-c3cnc(C)nc3)cc12,OCXAGXCMZACNEC-CTWZREHQSA-N,602.49,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1ccccn1)C1CC2CC2N1C(=O)Cn1ncc2cc(-c3cncnc3)ccc21,9,nlrp3_ml_top
REP_07200,CHEMBL572878,TOZASERTIB,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,GCIKSSRWRFVXBI-UHFFFAOYSA-N,464.6,2.0,,True,False,False,phase_only,,Small molecule,MOL,1.0,98.35917778579156,True,,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,10,nlrp3_ml_top
