name,pains_any,brenk,nih,aggregation_risk_heuristic
IDREMCINAL,False,False,False,False
ZAMZETOCLAX,False,True,False,False
TILPISERTIB,False,False,False,True
ALEMCINAL,False,False,False,False
DIVARASIB,False,True,True,False
TILDIPIROSIN,False,False,False,False
SALINOMYCIN,False,True,False,False
CETHROMYCIN,False,True,False,False
PC-786,False,False,False,True
RUTAMYCIN,False,False,False,False
HKI-357,False,True,False,True
XP-102,False,False,False,False
ZIFTOMENIB,False,False,False,True
MRTX-1133,False,True,False,False
BURIXAFOR,False,True,False,False
BAY1067197,False,True,False,True
MITEMCINAL FUMARATE,False,False,False,False
INDINAVIR,False,False,False,False
SPH-5030,False,True,False,True
PYROTINIB,False,True,False,True
SELAMECTIN,False,True,True,False
TALORASIB,False,True,True,False
ICOMIDOCHOLIC ACID,False,True,True,False
KOSN-1724,False,True,False,False
OCTOTIAMINE,False,True,True,False
H3B-6527,False,True,True,False
ZELENIRSTAT,False,False,False,False
ATUMELNANT,False,False,False,False
NCX 1000,False,True,False,False
PYRONARIDINE,True,True,False,True
CARZELESIN,False,True,True,True
BMS-852927,False,False,False,True
VOLPRISTIN,False,False,False,False
MILVEXIAN,False,False,False,True
CHAULMOSULFONE,False,True,True,False
IRALUKAST,False,True,False,True
SACIBERTINIB,False,True,False,True
NELUTROCTIV,False,False,False,False
NAVAFENTEROL,False,False,False,True
GSK-3008348 FREE BASE,False,False,False,False
TELRATOLIMOD,False,True,True,False
APG-2449,False,False,False,False
TUXOBERTINIB,False,True,True,False
TIVUMECIRNON,False,False,False,False
TIVUMECIRNON BESYLATE,False,True,False,True
AUMOLERTINIB,False,True,True,True
VARLITINIB,False,False,False,True
DEPULFAVIRINE,False,False,False,False
PREDNIMUSTINE,True,True,True,False
FULZERASIB,False,True,True,False
BN-104,False,False,False,False
GLECIRASIB,False,True,True,True
GARSORASIB,False,True,True,False
AMG-650,False,False,False,False
LAIDLOMYCIN PROPIONATE,False,False,False,False
LECIMIBIDE,False,True,False,True
RELICPIXANT,False,False,False,False
BI 653048,False,False,False,False
TAS-119,False,False,False,False
REMIBRUTINIB,False,True,True,False
TILPISERTIB FOSMECARBIL,False,True,True,True
VECABRUTINIB,False,False,False,False
KOS-1584,False,True,False,False
GSK-923295A,False,False,False,False
SNS-314,False,False,False,True
ENSITRELVIR,False,True,False,False
ALRIZOMADLIN,False,False,False,False
CRS-3123,False,True,False,False
DERSALAZINE,True,True,True,True
ABBV-744,False,False,False,True
GSK-356278,False,False,False,False
PETESICATIB,False,False,True,False
UNECRITINIB,False,True,False,False
SNX 5422,False,False,False,False
MK-6592,False,False,False,False
TELOTRISTAT,False,False,False,False
M4344,False,False,False,False
BEFETUPITANT,False,False,False,False
PREDNISOLONE STEAGLATE,False,True,True,False
TRANIMILAST,False,True,False,False
AZD-5991,True,False,False,True
ASK-120067,False,True,True,True
VIDUPIPRANT,False,False,False,False
