repurposing_id,canonical_smiles,dock_score,docking_status,pdb_id,docking_engine,pose_file,log_file
REP_08262,N#Cc1c(-c2cc(NC(=O)c3cc(F)cc(C(F)(F)F)c3)c3c(c2)C(=O)N[C@H]3c2cc(F)ccc2Cl)ccc2ncnn12,-6.539,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08262_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08262_out.log
REP_02480,COc1ccc2c(c1)C=C1Cn3c-2c(C2CCCCC2)c2ccc(cc23)C(=O)NS(=O)(=O)N(C)CCOCCN(C)C1=O,-6.623,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_02480_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_02480_out.log
REP_08230,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,-6.388,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08230_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08230_out.log
REP_04666,Cc1ccc(-c2ncccn2)c(C(=O)N2C[C@H](COc3ccc(F)cn3)CC[C@H]2C)c1,-6.328,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04666_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04666_out.log
REP_08213,CC(C)OC(=O)[C@@H](Cc1ncccn1)OC(=O)Nc1c2c(cc3c1CCC3)CCC2,-6.001,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08213_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08213_out.log
REP_01984,Cc1c(S(=O)(=O)O)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,-5.91,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_01984_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_01984_out.log
REP_08127,CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,-6.435,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_08127_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_08127_out.log
REP_04980,Cc1cnc(C(=O)c2ncnc3[nH]ccc23)c(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c1,-6.869,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04980_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04980_out.log
REP_06645,CC(=O)c1nn(CC(=O)N2[C@H](C(=O)Nc3nc(Br)ccc3C)C[C@@]3(C)C[C@@H]23)c2ccc(-c3cnc(C)nc3)cc12,-7.679,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_06645_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_06645_out.log
REP_07200,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,-6.46,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_07200_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_07200_out.log
REP_04368,CCCCCC(C)(O)CS[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)Oc1ccc(NC(=O)c2ccccc2)cc1,-6.792,docked,7ALV,gnina,results/repurposing/docking_p2/7alv/poses/REP_04368_out.sdf,results/repurposing/docking_p2/7alv/poses/REP_04368_out.log
