rank,murcko_smiles,n_actives,fraction_of_469
1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,127,0.27078891257995735
2,c1ccc(Cn2ncc3ccccc32)cc1,32,0.06823027718550106
3,O=S(=O)(Nc1ccccc1)c1ccccc1,23,0.04904051172707889
4,c1ccc2c(Cn3cnnc3)cccc2c1,13,0.02771855010660981
5,O=S(=O)(Nc1ccccn1)c1ccc(Oc2cccnc2)cc1,13,0.02771855010660981
6,c1ccc2c(SC3CCC3)ccnc2c1,12,0.0255863539445629
7,c1ccc2c(-c3cncc4ccccc34)cccc2c1,11,0.023454157782515993
8,c1ccc(Cn2ccc3ccccc32)cc1,11,0.023454157782515993
9,c1cc(-c2cnccc2SC2CCC2)n2cccc2c1,10,0.021321961620469083
10,c1ccc(-c2cncc3ccccc23)cc1,8,0.017057569296375266
